league,season,n_clubs,entropy,hhi,mco_rate,state_link_rate,prop_member-owned,count_member-owned,prop_investment fund,count_investment fund,prop_corporate-MCO,count_corporate-MCO,prop_domestic private,count_domestic private,prop_hybrid,count_hybrid,prop_foreign private,count_foreign private,prop_unknown,count_unknown,prop_state-linked,count_state-linked
Bundesliga,2019,31,1.0167483083728106,0.5275754422476587,0.03225806451612903,0.06451612903225806,0.7096774193548387,22,0.0,0,0.03225806451612903,1,0.03225806451612903,1,0.12903225806451613,4,0.0,0,0.03225806451612903,1,0.06451612903225806,2
Bundesliga,2020,31,1.0167483083728106,0.5275754422476587,0.03225806451612903,0.06451612903225806,0.7096774193548387,22,0.0,0,0.03225806451612903,1,0.03225806451612903,1,0.12903225806451613,4,0.0,0,0.03225806451612903,1,0.06451612903225806,2
Bundesliga,2021,31,1.0167483083728106,0.5275754422476587,0.03225806451612903,0.06451612903225806,0.7096774193548387,22,0.0,0,0.03225806451612903,1,0.03225806451612903,1,0.12903225806451613,4,0.0,0,0.03225806451612903,1,0.06451612903225806,2
Bundesliga,2022,31,1.0167483083728106,0.5275754422476587,0.03225806451612903,0.06451612903225806,0.7096774193548387,22,0.0,0,0.03225806451612903,1,0.03225806451612903,1,0.12903225806451613,4,0.0,0,0.03225806451612903,1,0.06451612903225806,2
Bundesliga,2023,31,1.0167483083728106,0.5275754422476587,0.03225806451612903,0.06451612903225806,0.7096774193548387,22,0.0,0,0.03225806451612903,1,0.03225806451612903,1,0.12903225806451613,4,0.0,0,0.03225806451612903,1,0.06451612903225806,2
Bundesliga,2024,30,0.9495936677167385,0.5599999999999999,0.03333333333333333,0.03333333333333333,0.7333333333333333,22,0.0,0,0.03333333333333333,1,0.03333333333333333,1,0.13333333333333333,4,0.0,0,0.03333333333333333,1,0.03333333333333333,1
Bundesliga,2025,31,1.0167483083728106,0.5275754422476587,0.03225806451612903,0.06451612903225806,0.7096774193548387,22,0.0,0,0.03225806451612903,1,0.03225806451612903,1,0.12903225806451613,4,0.0,0,0.03225806451612903,1,0.06451612903225806,2
LaLiga,2019,33,1.9542357193389897,0.15335169880624427,0.2727272727272727,0.12121212121212122,0.12121212121212122,4,0.09090909090909091,3,0.12121212121212122,4,0.21212121212121213,7,0.18181818181818182,6,0.18181818181818182,6,0.030303030303030304,1,0.06060606060606061,2
LaLiga,2020,33,1.9542357193389897,0.15335169880624427,0.2727272727272727,0.12121212121212122,0.12121212121212122,4,0.09090909090909091,3,0.12121212121212122,4,0.21212121212121213,7,0.18181818181818182,6,0.18181818181818182,6,0.030303030303030304,1,0.06060606060606061,2
LaLiga,2021,33,1.9542357193389897,0.15335169880624427,0.2727272727272727,0.12121212121212122,0.12121212121212122,4,0.09090909090909091,3,0.12121212121212122,4,0.21212121212121213,7,0.18181818181818182,6,0.18181818181818182,6,0.030303030303030304,1,0.06060606060606061,2
