LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
FRA-Ligue 1,2223,2023-02-05 Brest-Lens,19865,2023-02-05 16:05:00,1,X,Brest,Lens,1,1,19,45,15,3,4,1,1,27,0,0,0,1,0,0,0,0,0,0,0,2,0,2,2,5,0,1,0,0,1,1,0,0,0,-40,2,5,0,0,1,2,1,3,0,1,71.09,58.36,Pierre Lees-Melou | Jeremy Le Douaron | Franck Honorat | Christophe Herelle | Hugo Magnetti | Lilian Brassier | Brendan Chardonnet | Jean-Kevin Duverne | Noah Fadiga | Marco Bizot | Mahdi Camara,Kevin Danso | Brice Samba | Massadio Haidara | Jonathan Gradit | Loïs Openda | Salis Abdul Samed | Przemyslaw Frankowski | Florian Sotoca | Facundo Medina | Deiver Machado | Seko Fofana,7,9,2,1,2,1,1,1,15,16,1,1,0.51,0.4,-0.51,-0.4,0.9,0.69,0,0,1,0,1.04,1.06,0.57,0.71,-0.04,0.04,-0.43,0.07,-26,12,-26,0,-1,-3,-2,12.730000000000004,0.10999999999999999,-0.020000000000000018,-0.14
FRA-Ligue 1,2223,2023-02-05 Marseille-Nice,19862,2023-02-05 19:45:00,1,2,Marseille,Nice,1,3,46,31,2,9,1,4,28,13,0,0,1,0,3,2,0,0,0,0,0,2,1,2,4,3,0,1,0,0,2,0,0,0,12,-47,4,2,0,0,1,1,2,1,1,2,60.09,73.64,Pau López | Leonardo Balerdi | Valentin Rongier | Alexis Sánchez | Cengiz Ünder | Sead Kolasinac | Jordan Veretout | Samuel Gigot | Matteo Guendouzi | Nuno Tavares | Chancel Mbemba,Kephren Thuram | Jean-Clair Todibo | Jordan Lotomba | Kasper Schmeichel | Aaron Ramsey | Gaetan Laborde | Hichem Boudaoui | Nicolas Pepe | Sofiane Diop | Dante | Melvin Bard,8,9,3,1,0,1,0,1,13,14,1,1,1.95,2.23,0.05,-1.23,0.62,0.65,2,0,2,0,1.39,1.05,1.22,0.66,0.34,-0.54,0.39,0.21,15,-7,15,0,1,2,-1,-13.549999999999997,-0.28,0.33999999999999986,0.5599999999999999
FRA-Ligue 1,2223,2023-02-10 Nice-Ajaccio,19874,2023-02-10 20:00:00,1,1,Nice,Ajaccio,3,0,34,18,8,18,4,5,16,0,0,0,0,0,1,2,0,1,0,1,1,1,1,0,5,5,0,1,0,0,3,3,1,1,48,-20,3,3,0,0,1,1,1,2,1,0,64.09,63.27,Kephren Thuram | Jean-Clair Todibo | Jordan Lotomba | Kasper Schmeichel | Aaron Ramsey | Gaetan Laborde | Hichem Boudaoui | Nicolas Pepe | Sofiane Diop | Dante | Melvin Bard,Ismael Diallo | Mathieu Coutadeur | Thomas Mangani | Benjamin Leroy | Riad Nouri | Cyrille Bayala | Mounaim El Idrissy | Oumar Gonzalez | Mohamed Youcef Belaïli | Vincent Marchetti | Mohamed Youssouf,8,6,2,0,1,5,1,2,14,15,1,1,1.51,0.22,1.49,-0.22,0.41,0.89,2,0,0,-1,1.1,0.61,0.96,0.32,-0.05,0.5,0.26,0.36,16,-10,16,0,0,0,2,0.8200000000000003,1.29,0.4900000000000001,0.6399999999999999
FRA-Ligue 1,2223,2023-02-11 Monaco-Paris Saint Germain,19868,2023-02-11 16:00:00,1,1,Monaco,Paris Saint Germain,3,1,44,54,4,1,2,1,26,36,0,1,0,1,2,2,0,0,0,1,0,1,1,1,2,4,0,1,0,0,1,2,1,0,20,-7,2,5,0,0,0,3,2,1,2,1,73.64,57.18,Guillermo Maripán | Aleksandr Golovin | Krépin Diatta | Axel Disasi | Caio Henrique | Alexander Nübel | Youssouf Fofana | Mohamed Camara | Breel Embolo | Wissam Ben Yedder | Vanderson,Marquinhos | Fabián | Gianluigi Donnarumma | Vitinha | Neymar | Danilo Pereira | Achraf Hakimi | Sergio Ramos | Kylian Mbappe-Lottin | Hugo Ekitike | Lionel Messi,9,6,1,2,1,3,0,1,16,15,1,1,1.47,1.86,0.53,0.14,0.68,0.73,0,0,0,2,1.41,1.02,0.73,0.7,-0.39,0.49,0.26,1.4,-10,3,-10,-1,-1,-3,3,16.46,-0.3900000000000001,0.3899999999999999,0.030000000000000027
FRA-Ligue 1,2223,2023-02-11 Clermont Foot-Marseille,19870,2023-02-11 20:00:00,1,2,Clermont Foot,Marseille,0,2,30,46,11,3,4,1,12,28,0,0,0,1,1,0,0,0,0,0,0,0,2,0,3,5,0,0,0,0,2,1,0,0,-6,-11,0,4,0,0,0,2,0,2,0,1,85.64,66.0,Maximiliano Caufriez | Grejohn Kyei | Mateusz Wieteska | Saif-Eddine Khaoui | Yohann Magnin | Elbasan Rashani | Neto Borges | Jim Allevinah | Alidu Seidu | Johan Gastien | Mory Diaw,Pau López | Leonardo Balerdi | Valentin Rongier | Cengiz Ünder | Alexis Sánchez | Sead Kolasinac | Jordan Veretout | Samuel Gigot | Matteo Guendouzi | Nuno Tavares | Chancel Mbemba,8,9,1,1,2,1,0,0,14,16,1,1,0.28,2.61,-0.28,-1.61,0.76,0.44,0,2,0,0,0.96,1.9,0.61,1.74,0.02,-0.51,0.07,-0.04,-16,8,-16,0,-1,-4,-1,19.64,-2.33,-0.94,-1.13
FRA-Ligue 1,2223,2023-02-12 Toulouse-Rennes,19877,2023-02-12 12:00:00,1,1,Toulouse,Rennes,3,1,29,40,12,5,4,3,11,22,0,0,1,0,2,1,0,0,0,0,0,0,1,1,5,5,0,0,0,0,2,2,1,0,-1,-5,4,2,0,0,2,0,1,2,2,1,62.27,74.45,Anthony Rouault | Farès Chaïbi | Moussa Diarra | Rafael Ratão | Issiaga Sylla | Zakaria Aboukhlal | Stijn Spierings | Rasmus Nicolaisen | Branco van den Boomen | Brecht Dejaegere | Maxime Dupé,Hamari Traore | Arthur Theate | Chimuanya Ugochukwu | Flavien Tait | Amine Gouiri | Arnaud Kalimuendo Muinga | Christopher Wooh | Benjamin Bourigeaud | Steve Mandanda | Adrien Truffert | Lovro Majer,8,6,1,2,2,3,1,0,15,16,1,1,0.74,2.27,0.26,-1.27,0.63,0.8,0,0,0,-1,1.07,1.23,0.76,0.52,0.11,-0.17,0.09,0.12,-11,7,-11,0,1,2,2,-12.18,-1.53,-0.15999999999999992,0.24
FRA-Ligue 1,2223,2023-02-12 Reims-Troyes,19876,2023-02-12 14:00:00,1,1,Reims,Troyes,4,0,30,19,11,16,4,4,12,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,3,0,0,0,0,1,3,0,0,2,58,2,2,0,0,0,1,2,1,0,0,75.36,72.73,Alexis Flips | Azor Matusiwa | Thomas Foket | Emmanuel Agbadou | Marshall Munetsi | Junya Ito | Yehvann Diouf | Folarin Balogun | Jens Cajuste | Yunis Abdelhamid | Thibault De Smet,Erik Palmer-Brown | Mama Baldé | Jackson Porozo | Yoann Salmier | Rominigue Kouame | Thierno Baldé | Andreas Bruus | Yasser Larouci | Abdu Conté | Xavier Chavalerin | Rony Lopes,10,8,1,1,0,2,1,4,13,12,1,1,0.41,0.7,-0.41,0.3,0.71,0.58,0,0,1,0,1.41,0.83,0.84,0.56,0.38,0.04,0.04,0.04,11,-5,11,0,0,0,2,2.6299999999999955,-0.29,0.58,0.2799999999999999
FRA-Ligue 1,2223,2023-02-12 Montpellier-Brest,19873,2023-02-12 14:00:00,1,1,Montpellier,Brest,3,0,20,20,15,14,4,4,2,2,0,0,0,0,1,4,0,0,0,0,2,0,1,0,5,4,1,0,0,0,1,1,0,0,-41,-16,6,2,0,0,2,0,2,2,2,0,45.09,77.27,Christopher Jullien | Stephy Mavididi | Sepe Elye Wahi | Jonas Omlin | Faitout Maouassa | Joris Chotard | Jordan Ferri | Téji Savanier | Maxime Estève | Léo Leroy | Falaye Sacko,Pierre Lees-Melou | Jeremy Le Douaron | Haris Belkebla | Franck Honorat | Steve Mounie | Christophe Herelle | Lilian Brassier | Brendan Chardonnet | Jean-Kevin Duverne | Marco Bizot | Mahdi Camara,7,7,2,2,2,2,2,3,17,13,1,1,0.61,2.17,-0.61,-1.17,0.55,0.7,0,0,0,1,0.75,0.99,0.54,0.44,-0.29,0.05,0.05,0.05,0,1,0,0,0,4,0,-32.17999999999999,-1.56,-0.24,0.10000000000000003
FRA-Ligue 1,2223,2023-02-12 Lille-Strasbourg,19872,2023-02-12 14:00:00,1,1,Lille,Strasbourg,2,0,38,18,6,17,4,5,20,0,0,0,1,0,2,3,0,1,0,1,1,1,3,0,4,4,1,2,0,0,2,1,1,1,-31,-35,3,4,0,0,2,2,1,2,0,0,69.64,63.91,Tiago Djaló | Timothy Weah | Jonathan Bamba | Benjamin André | Rémy Cabella | Lucas Chevalier | José Fonte | Jonathan Christian David | Bafode Diakite | Ismaily | Angel Gomes,Sanjin Prcic | Gerzino Nyamsi | Habib Diallo | Matz Sels | Maxime Le Marchand | Alexander Djiku | Ismaël Doukouré | Jean-Ricner Bellegarde | Lucas Perrin | Kevin Gameiro | Ludovic Ajorque,10,7,0,1,1,3,2,5,16,16,1,1,2.42,1.52,0.58,0.48,0.73,0.85,1,0,3,0,1.57,1.05,1.31,0.45,-0.19,-0.5,-0.23,0.27,20,-11,20,0,1,-1,3,5.730000000000004,0.8999999999999999,0.52,0.8600000000000001
FRA-Ligue 1,2223,2023-02-12 Angers-Auxerre,19869,2023-02-12 14:00:00,1,X,Angers,Auxerre,1,1,9,14,20,19,5,5,-9,-4,0,0,1,1,4,2,0,0,1,0,0,0,1,1,4,5,0,0,0,0,1,4,1,0,2,47,2,0,0,0,1,0,1,0,1,0,75.91,85.73,Adrien Hunou | Amine Salama | Souleyman Doumbia | Himad Abdelli | Yan Valery | Miha Blazic | Cédric Hountondji | Nabil Bentaleb | Batista Mendy | Paul Bernardoni | Abdallah Sima,Julian Jeanvier | Rayan Raveloson | Hamza Sakhi | Birama Touré | Benoit Costil | Joia Nuno Da Costa | Gideon Mensah | Jubal | M'Baye Niang | Lassine Sinayoko | Akim Zedadka,9,5,1,3,1,3,1,3,14,18,1,1,0.58,0.62,-0.58,-0.62,0.42,0.6,0,0,-2,-2,0.85,0.52,0.39,0.39,-0.14,0.02,0.0,0.2,-5,1,-5,0,0,2,4,-9.820000000000007,-0.040000000000000036,0.32999999999999996,0.0
