LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
FRA-Ligue 1,1920,2019-11-29 Marseille-Brest,12855,2019-11-29 19:00:00,0,1,Marseille,Brest,2,1,25,18,2,13,1,4,11,4,0,0,0,0,3,2,0,0,1,0,0,0,1,0,3,3,0,0,0,0,1,1,1,0,0,-10,2,2,0,0,2,0,0,2,1,1,72.55,73.36,Valère Germain | Duje Caleta-Car | Boubacar Kamara | Darío Benedetto | Valentin Rongier | Morgan Sanson | Steve Mandanda | Maxime Lopez | Kevin Strootman | Hiroki Sakai | Bouna Sarr,Julien Faussurier | Romain Perraud | Mathias Autret | Yoann Court | Ibrahima Diallo | Samuel Grandsir | Haris Belkebla | Gaëtan Charbonnier | Jean-Charles Castelletto | Gautier Larsonneur | Denys Bain,9,9,2,1,0,1,1,1,14,18,1,1,1.96,0.57,0.04,0.43,0.78,0.53,2,0,0,1,0.91,0.7,0.77,0.47,0.17,0.15,-0.12,-0.04,7,-11,7,0,0,0,0,-0.8100000000000023,1.3900000000000001,0.21000000000000008,0.30000000000000004
FRA-Ligue 1,1920,2019-11-30 Strasbourg-Lyon,12849,2019-11-30 17:00:00,0,2,Strasbourg,Lyon,1,2,18,19,12,9,4,4,4,5,0,1,0,0,1,2,0,1,0,1,0,1,1,0,3,3,0,2,0,0,3,2,1,1,-2,-16,1,5,0,0,0,3,1,2,0,2,79.45,49.82,Matz Sels | Alexander Djiku | Kenny Lala | Stefan Mitrovic | Jean-Ricner Bellegarde | Mohamed Simakan | Dmitri Lienard | Ibrahima Sissoko | Ludovic Ajorque | Lamine Koné | Adrien Thomasson,Thiago Mendes | Moussa Dembele | Lucas Tousart | Youssouf Kone | Jason Denayer | Memphis Depay | Jeff Reine-Adelaide | Houssem Aouar | Joachim Andersen | Anthony Lopes | Léo Dubois,8,6,3,2,0,3,2,2,13,15,1,0,2.67,1.17,1.33,0.83,0.75,0.59,1,0,0,0,1.43,0.83,1.0,0.37,-0.33,0.09,-0.56,0.43,-1,3,-1,-1,0,-4,2,29.630000000000003,1.5,0.6,0.63
FRA-Ligue 1,1920,2019-11-30 Lille-Dijon,12857,2019-11-30 19:00:00,0,1,Lille,Dijon,1,0,19,15,10,17,4,4,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,1,-1,3,5,4,0,0,1,1,2,1,3,3,48.36,59.27,Gabriel | Boubakary Soumare | Benjamin André | Mehmet Zeki Çelik | Reinildo | Luiz Araujo | Jonathan Bamba | Mike Maignan | Victor Osimhen | Jonathan Ikone | José Fonte,Naif Aguerd | Mounir Chouiar | Stephy Mavididi | Bruno Ecuele Manga | Wesley Lautoa | Alfred Gomis | Didier Ndong | Júlio Tavares | Hamza Mendyl | Romain Amalfitano | Mickaël Alphonse,7,7,4,2,0,2,1,2,16,17,1,1,0.75,0.62,-0.75,1.38,0.75,0.6,0,2,0,2,1.52,0.86,0.71,0.7,-1.11,0.06,-0.21,0.02,4,-7,4,1,0,1,0,-10.910000000000004,0.13,0.66,0.010000000000000009
FRA-Ligue 1,1920,2019-11-30 Montpellier-Amiens,12856,2019-11-30 19:00:00,0,1,Montpellier,Amiens,4,2,20,16,8,16,4,4,6,2,0,0,0,0,3,0,0,1,0,1,0,1,0,1,2,3,0,0,0,0,1,1,0,1,13,-1,0,5,0,0,0,2,0,2,0,3,89.0,50.82,Gerónimo Rulli | Daniel Congré | Damien Le Tallec | Hilton | Arnaud Souquet | Joris Chotard | Ambroise Oyongo | Florent Mollet | Gaetan Laborde | Andy Delort | Pedro Mendes,Aurélien Chedjou | Serhou Guirassy | Arturo Calabresi | Haitam Aleesami | Bakaye Dibassy | Gaël Kakuta | John Mendoza | Régis Gurtner | Juan Ferney Otero | Eddy Gnahore | Alexis Blin,10,8,1,1,0,2,0,0,13,15,1,1,1.37,0.21,-1.37,-0.21,0.89,1.0,0,0,1,0,1.04,0.85,0.69,0.67,0.1,0.38,0.05,0.34,4,-8,4,0,0,-5,2,38.18,1.1600000000000001,0.19000000000000006,0.019999999999999907
FRA-Ligue 1,1920,2019-11-30 Nice-Angers,12858,2019-11-30 19:00:00,0,1,Nice,Angers,3,1,17,24,15,3,4,1,3,10,0,0,0,0,2,2,1,0,1,0,0,0,2,0,3,3,0,0,0,0,1,1,1,0,4,-9,4,4,0,0,2,2,1,1,2,1,63.82,61.91,Youcef Atal | Alexis Claude Maurice | Andy Pelmard | Malang Sarr | Wylan Cyprien | Ignatius Ganago | Kasper Dolberg | Dante | Pierre Lees-Melou | Walter Benítez | Patrick Burner,Baptiste Santamaria | Ludovic Butelle | Pereira Lage | Casimir Ninga | Romain Thomas | Vincent Manceau | Ismael Traoré | Rachid Alioui | Rayan Ait Nouri | Pierrick Capelle | Thomas Mangani,7,5,2,3,2,3,1,1,16,15,1,1,2.35,1.14,-1.35,-0.14,0.92,0.7,0,0,0,0,1.03,0.38,0.87,0.68,-0.11,0.34,0.0,0.44,-7,12,-7,0,0,0,2,1.9100000000000037,1.2100000000000002,0.65,0.18999999999999995
FRA-Ligue 1,1920,2019-11-30 Nimes-Metz,12852,2019-11-30 19:00:00,0,X,Nimes,Metz,1,1,11,14,20,18,5,5,-3,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,3,3,0,1,0,0,1,2,0,1,-4,-53,3,2,0,0,1,1,1,2,1,0,69.18,78.73,Paul Bernardoni | Pablo Martinez | Theo Valls | Lamine Fomba | Romain Philippoteaux | Florian Miguel | Renaud Ripart | Anthony Briancon | Gaetan Paquiez | Lucas Deaux | Zinedine Ferhat,Digbo Maiga | Stoppila Sunzu | Mamadou Fofana | Fabien Centonze | Opa Nguette | Kevin N'Doram | Thomas Delaine | Habib Diallo | Alexandre Oukidja | Adama Traoré | John Boye,9,9,2,1,0,1,2,2,15,14,1,1,0.57,0.9,-0.57,0.1,0.68,0.89,0,0,0,1,0.87,0.61,0.81,0.39,0.23,-0.13,-0.02,-0.01,-3,2,-3,0,0,1,0,-9.549999999999997,-0.33000000000000007,0.26,0.42000000000000004
FRA-Ligue 1,1920,2019-11-30 Reims-Bordeaux,12850,2019-11-30 19:00:00,0,X,Reims,Bordeaux,1,1,20,22,9,7,4,4,5,7,0,0,0,0,0,3,1,0,1,0,0,0,0,0,3,3,0,0,0,0,2,1,0,0,12,2,2,4,0,0,0,2,1,2,1,0,72.27,57.27,Thomas Foket | Yunis Abdelhamid | Predrag Rajkovic | Mathieu Cafaro | Remi Oudin | Boulaye Dia | Moussa Doumbia | Ghislain Konan | Axel Disasi | Xavier Chavalerin | Jacques-Alaixys Romao,Samuel Kalu | Nicolas de Preville | Pablo | Benoit Costil | Laurent Koscielny | Jimmy Briand | Otávio | Hwang Ui-Jo | Loris Benito | Aurelien Tchouameni | Mexer,8,9,2,0,1,2,2,3,14,17,1,1,1.53,1.48,-0.53,0.52,0.73,0.61,0,0,-2,0,0.88,0.73,0.52,0.51,0.04,0.04,0.03,0.19,-2,2,-2,0,0,-2,-1,14.999999999999993,0.050000000000000044,0.15000000000000002,0.010000000000000009
FRA-Ligue 1,1920,2019-12-01 Nantes-Toulouse,12853,2019-12-01 14:00:00,0,1,Nantes,Toulouse,2,1,20,12,10,20,4,5,5,-3,0,0,0,0,1,3,0,1,0,1,0,0,0,0,1,3,0,1,0,0,1,2,0,1,11,-9,3,3,0,0,2,1,1,2,1,0,66.27,65.64,Fabio | Moses Simon | Alban Lafont | Abdoulaye Touré | Dennis Appiah | Nicolas Pallois | Mehdi Abeid | Kalifa Coulibaly | Imran Louza | Ludovic Blas | Andrei Girotto,Yaya Sanogo | Ibrahim Sangare | Efthymios Koulouris | Nicolas Isimat-Mirin | Kelvin Adou | Steven Moreira | Issiaga Sylla | William Vainqueur | Max Gradel | Baptiste Reynet | Mathieu Dossevi,9,7,1,2,1,2,0,5,17,16,1,1,1.5,0.9,-0.5,-0.9,0.96,0.9,0,0,1,0,0.84,0.84,0.49,0.37,-0.09,0.2,0.03,0.04,8,-10,8,0,0,0,2,0.6299999999999955,0.6,0.0,0.12
FRA-Ligue 1,1920,2019-12-01 Rennes-Saint-Etienne,12854,2019-12-01 16:00:00,0,1,Rennes,Saint-Etienne,2,1,18,22,12,9,4,4,3,7,0,1,0,0,2,3,0,0,0,0,1,0,0,1,3,2,0,0,0,0,2,1,0,1,-4,4,3,3,0,0,1,1,3,2,1,1,62.27,62.18,Faitout Maouassa | M'Baye Niang | Hamari Traore | Benjamin Bourigeaud | Damien Da Silva | Raphinha | Eduardo Camavinga | Joris Gnagnon | Jérémy Morel | Edouard Mendy | Clément Grenier,Miguel Trauco | Harold Moukoudi | Zaydou Youssef | Timothée Kolodziejczak | Yann M'Vila | Loic Perrin | Mathieu Debuchy | Ryad Boudebouz | Denis Bouanga | Wahbi Khazri | Stéphane Ruffier,9,9,0,0,2,2,2,3,15,17,1,1,0.67,0.49,0.33,-0.49,0.53,0.56,0,0,-1,-2,1.27,0.59,0.63,0.39,0.02,0.01,-0.46,0.13,-4,3,-4,-1,0,0,0,0.09000000000000341,0.18000000000000005,0.68,0.24
FRA-Ligue 1,1920,2019-12-03 Angers-Marseille,12865,2019-12-03 18:00:00,0,2,Angers,Marseille,0,2,24,28,3,2,1,1,9,13,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,3,0,0,-3,8,5,0,0,0,3,0,2,0,1,0,54.91,87.73,Baptiste Santamaria | Ludovic Butelle | Pereira Lage | Casimir Ninga | Romain Thomas | Angelo Fulgini | Vincent Manceau | Ismael Traoré | Rachid Alioui | Rayan Ait Nouri | Thomas Mangani,Duje Caleta-Car | Boubacar Kamara | Darío Benedetto | Valentin Rongier | Hiroki Sakai | Steve Mandanda | Morgan Sanson | Kevin Strootman | Maxime Lopez | Jordan Amavi | Bouna Sarr,9,10,1,1,1,0,1,3,16,14,0,1,0.39,4.58,0.61,-2.58,0.55,0.45,0,1,0,0,0.59,1.21,0.63,0.96,-0.21,-0.3,0.2,-0.24,-4,1,-4,0,0,5,-1,-32.82000000000001,-4.19,-0.62,-0.32999999999999996
FRA-Ligue 1,1920,2019-12-03 Bordeaux-Nimes,12860,2019-12-03 18:00:00,0,1,Bordeaux,Nimes,6,0,23,12,5,19,3,5,8,-3,0,0,0,0,1,1,0,0,0,0,0,0,0,1,3,3,0,0,0,0,2,2,0,0,-8,-3,4,3,0,0,3,0,1,2,0,2,60.36,67.36,Samuel Kalu | Nicolas de Preville | Pablo | Benoit Costil | Laurent Koscielny | Jimmy Briand | Otávio | Hwang Ui-Jo | Loris Benito | Aurelien Tchouameni | Mexer,Paul Bernardoni | Pablo Martinez | Theo Valls | Lamine Fomba | Romain Philippoteaux | Florian Miguel | Renaud Ripart | Anthony Briancon | Gaetan Paquiez | Lucas Deaux | Zinedine Ferhat,5,8,3,3,3,0,3,0,18,17,1,1,0.21,0.47,0.79,0.53,0.81,0.57,0,1,1,-2,0.61,0.88,0.47,0.67,0.12,-0.01,0.28,-0.08,11,-14,11,0,0,1,-3,-7.0,-0.26,-0.27,-0.20000000000000007
FRA-Ligue 1,1920,2019-12-03 Brest-Strasbourg,12866,2019-12-03 18:00:00,0,1,Brest,Strasbourg,5,0,18,18,15,13,4,4,3,3,0,0,0,0,1,3,1,0,0,0,0,0,0,1,3,3,0,0,0,0,0,3,0,1,9,1,4,5,0,0,2,2,1,2,1,1,59.55,49.0,Julien Faussurier | Romain Perraud | Mathias Autret | Yoann Court | Ibrahima Diallo | Samuel Grandsir | Haris Belkebla | Gaëtan Charbonnier | Jean-Charles Castelletto | Gautier Larsonneur | Denys Bain,Matz Sels | Alexander Djiku | Lebo Mothiba | Kenny Lala | Stefan Mitrovic | Jean-Ricner Bellegarde | Mohamed Simakan | Dmitri Lienard | Ibrahima Sissoko | Ludovic Ajorque | Adrien Thomasson,5,7,2,4,4,0,1,0,14,13,1,1,0.69,0.42,0.31,0.58,0.81,0.7,0,0,0,0,0.65,0.89,0.44,0.53,0.05,0.54,-0.01,0.26,0,2,0,0,0,-1,-2,10.549999999999997,0.26999999999999996,-0.24,-0.09000000000000002
