LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
FRA-Ligue 1,2324,2024-04-28 Strasbourg-Nice,23642,2024-04-28 13:00:00,1,2,Strasbourg,Nice,1,3,36,48,13,5,4,2,7,19,0,0,0,0,3,3,0,0,0,0,0,0,1,0,5,4,0,0,0,0,1,1,1,1,8,0,2,3,0,0,1,1,0,2,1,1,78.09,69.73,Habib Diarra | Emanuel Emegha | Dilane Bakwa | Ibrahima Sissoko | Kevin Gameiro | Lucas Perrin | Alaa Bellarouch | Marvin Senaya | Thomas Delaine | Saidou Sow | Frederic Guilbert,Jeremie Boga | Jordan Lotomba | Pablo Rosario | Melvin Bard | Kephren Thuram | Jean-Clair Todibo | Mohamed Ali-Cho | Marcin Bulka | Terem Igobor Moffi | Hichem Boudaoui | Dante,9,9,2,2,0,0,5,0,12,13,1,1,0.95,1.3,-0.95,0.7,0.82,0.84,0,0,-1,-2,1.18,0.97,0.98,0.94,-0.17,0.18,0.03,0.09,-12,8,-12,0,0,-1,0,8.36,-0.3500000000000001,0.20999999999999996,0.040000000000000036
FRA-Ligue 1,2324,2024-04-28 Rennes-Brest,23643,2024-04-28 15:05:00,1,2,Rennes,Brest,4,5,42,53,7,4,4,1,13,24,0,0,0,0,4,5,0,0,0,0,0,0,2,5,5,4,0,0,0,0,2,2,1,1,34,-10,2,3,0,0,1,1,2,2,1,0,74.55,65.36,Warmed Omari | Amine Gouiri | Guela Doué | Désiré Doué | Arthur Theate | Christopher Wooh | Steve Mandanda | Baptiste Santamaria | Martin Terrier | Benjamin Bourigeaud | Arnaud Kalimuendo Muinga,Pereira Lage | Pierre Lees-Melou | Lilian Brassier | Martín Satriano | Hugo Magnetti | Bradley Locko | Brendan Chardonnet | Marco Bizot | Kenny Lala | Romain Del Castillo | Mahdi Camara,9,10,1,1,1,0,3,1,17,13,1,1,2.38,0.64,0.62,-0.64,0.65,0.58,2,0,2,0,1.22,1.26,0.89,0.93,-0.14,0.01,0.29,-0.17,-11,3,-11,0,0,-1,-1,9.189999999999998,1.7399999999999998,-0.040000000000000036,-0.040000000000000036
FRA-Ligue 1,2324,2024-04-28 Lyon-Monaco,23646,2024-04-28 17:00:00,1,1,Lyon,Monaco,3,2,41,58,9,2,4,1,12,29,0,0,0,0,0,1,0,0,1,2,0,0,2,2,5,3,0,0,0,0,2,2,0,0,-21,-12,2,0,0,0,1,0,1,0,0,0,71.18,87.36,Nicolás Tagliafico | Said Benrahma | Clinton Mata | Nemanja Matic | Jake O'Brien | Anthony Lopes | Duje Caleta-Car | Ernest Nuamah | Alexandre Lacazette | Ainsley Maitland-Niles | Maxence Caqueret,Youssouf Fofana | Takumi Minamino | Thilo Kehrer | Maghnes Akliouche | Radoslaw Majecki | Wilfried Stephane Singo | Folarin Balogun | Wissam Ben Yedder | Aleksandr Golovin | Denis Zakaria | Guillermo Maripán,10,9,0,0,1,2,1,2,15,15,1,1,0.67,2.23,0.33,-1.23,0.57,0.7,0,0,0,2,1.36,2.13,1.05,1.24,0.14,-0.19,0.0,0.04,-17,7,-17,0,0,2,1,-16.179999999999993,-1.56,-0.7699999999999998,-0.18999999999999995
FRA-Ligue 1,2324,2024-04-28 Marseille-Lens,23644,2024-04-28 19:00:00,1,1,Marseille,Lens,2,1,41,46,9,6,4,3,12,17,1,0,0,0,0,1,1,0,1,0,0,0,1,2,5,3,0,0,0,0,1,2,1,0,-15,14,3,1,0,0,1,1,1,0,1,0,66.09,80.73,Jordan Veretout | Chancel Mbemba | Amine Harit | Pape Alassane Gueye | Iliman Ndiaye | Pau López | Pierre-Emerick Aubameyang | Ismaila Sarr | Quentin Merlin | Leonardo Balerdi | Ulisses García,Brice Samba | Jonathan Gradit | Facundo Medina | Nampalys Mendy | David Pereira Da Costa | Sepe Elye Wahi | Ruben Aguilar | Neil El Aynaoui | Kevin Danso | Przemyslaw Frankowski | Florian Sotoca,8,8,1,2,2,1,2,0,17,16,1,1,1.78,2.81,0.22,-1.81,0.61,0.62,0,0,1,0,1.57,1.38,0.75,0.76,-0.14,-0.24,-0.11,0.05,-5,3,-5,1,0,2,0,-14.64,-1.03,0.19000000000000017,-0.010000000000000009
FRA-Ligue 1,2324,2024-05-03 Toulouse-Montpellier,23650,2024-05-03 17:00:00,1,2,Toulouse,Montpellier,1,2,40,38,10,12,4,4,11,9,0,0,0,0,3,2,0,2,0,2,0,0,3,1,5,4,0,0,0,0,1,0,0,0,-24,0,4,5,0,1,1,4,2,1,2,0,64.73,44.82,Logan Costa | Christian Mawissa Elebi | Rasmus Nicolaisen | Gabriel Suazo | Guillaume Restes | Moussa Diarra | Vincent Sierro | Yann Gboho | Warren Kamanzi | Stijn Spierings | Thijs Dallinga,Kiki Kouyate | Téji Savanier | Joris Chotard | Arnaud Nordin | Jordan Ferri | Mousa Al Tamari | Akor Adams | Benjamin Lecomte | Modibo Sagnan | Enzo Tchato Mbiayi | Becir Omeragic,7,6,3,3,1,2,3,2,15,16,1,0,2.61,0.68,-0.61,0.32,0.9,0.87,2,0,3,1,1.43,1.27,0.6,0.72,-0.24,0.26,-0.26,0.19,2,-2,2,0,0,-1,1,19.910000000000004,1.9299999999999997,0.15999999999999992,-0.12
FRA-Ligue 1,2324,2024-05-03 Lens-Lorient,23655,2024-05-03 19:00:00,1,1,Lens,Lorient,2,0,46,26,6,17,3,5,17,-3,0,0,0,0,2,1,0,0,0,0,1,0,3,2,5,5,0,0,0,0,3,5,1,0,-14,11,2,2,0,0,1,1,1,1,0,0,70.82,73.82,Brice Samba | Jonathan Gradit | Facundo Medina | Nampalys Mendy | David Pereira Da Costa | Sepe Elye Wahi | Ruben Aguilar | Neil El Aynaoui | Kevin Danso | Przemyslaw Frankowski | Florian Sotoca,Souleymane Isaak Touré | Nathaniel Adjei | Mohamed Bamba | Ayman Kari | Théo Le Bris | Laurent Abergel | Panos Katseris | Tiemoué Bakayoko | Julien Laporte | Julien Ponceau | Yvon Mvogo,9,8,1,2,1,1,0,0,15,19,1,1,1.27,1.82,-0.27,-0.82,0.55,0.75,1,0,-3,0,1.37,1.14,0.89,0.75,0.01,-0.06,-0.01,-0.03,20,-11,20,0,0,0,1,-3.0,-0.55,0.2300000000000002,0.14
FRA-Ligue 1,2324,2024-05-04 Le Havre-Strasbourg,23656,2024-05-04 13:00:00,1,1,Le Havre,Strasbourg,3,1,29,36,15,13,4,4,0,7,0,0,0,0,1,2,0,0,0,0,0,0,2,2,4,4,0,0,0,0,2,2,0,1,13,23,2,1,0,0,1,0,3,1,0,0,72.73,78.27,Étienne Youté | Arouna Sangante | Daler Kuzyaev | Yassine Kechta | André Ayew | Arthur Desmas | Abdoulaye Touré | Emmanuel Sabbi | Christopher Operi | Loïc Négo | Gautier Lloris,Habib Diarra | Emanuel Emegha | Dilane Bakwa | Andrey Santos | Ibrahima Sissoko | Lucas Perrin | Alaa Bellarouch | Marvin Senaya | Thomas Delaine | Saidou Sow | Frederic Guilbert,8,9,1,1,2,1,2,4,16,13,1,1,1.21,1.1,1.79,-0.1,0.66,0.54,0,0,-2,-1,0.79,1.15,0.52,0.96,-0.06,0.03,0.0,-0.1,-7,2,-7,0,0,1,-1,-5.539999999999992,0.10999999999999988,-0.3599999999999999,-0.43999999999999995
FRA-Ligue 1,2324,2024-05-04 Monaco-Clermont Foot,23651,2024-05-04 15:00:00,1,1,Monaco,Clermont Foot,4,1,58,25,2,18,1,5,29,-4,0,0,0,0,3,0,0,0,1,0,0,0,2,0,3,4,0,0,0,0,0,2,1,0,-19,11,3,1,0,0,1,0,1,0,1,1,65.45,78.82,Youssouf Fofana | Takumi Minamino | Thilo Kehrer | Maghnes Akliouche | Radoslaw Majecki | Wilfried Stephane Singo | Folarin Balogun | Wissam Ben Yedder | Aleksandr Golovin | Denis Zakaria | Guillermo Maripán,Johan Gastien | Maximiliano Caufriez | Habib Keita | Andy Pelmard | Mory Diaw | Muhammed-Cham Saracevic | Jim Allevinah | Alan Virginius | Neto Borges | Chrislain Matsima | Yohann Magnin,7,8,2,1,2,2,2,3,13,13,1,1,2.05,2.57,-0.05,1.43,0.64,0.86,0,1,-1,2,1.62,0.74,1.06,0.38,0.51,-0.13,0.57,-0.07,33,-16,33,0,0,2,-1,-13.36999999999999,-0.52,0.8800000000000001,0.68
FRA-Ligue 1,2324,2024-05-04 Metz-Rennes,23657,2024-05-04 17:00:00,1,2,Metz,Rennes,2,3,29,42,16,9,5,4,0,13,0,0,0,0,1,4,0,0,0,0,1,0,1,1,5,4,0,0,0,0,1,2,0,1,-32,-10,4,4,0,0,2,3,1,1,2,1,59.27,61.09,Kévin Van Den Kerkhof | Alexandre Oukidja | Georges Mikautadze | Matthieu Udol | Maxime Colin | Arthur Atta | Danley Jean Jacques | Sadibou Sané | Fali Candé | Lamine Camara | Ismael Traoré,Warmed Omari | Amine Gouiri | Guela Doué | Désiré Doué | Arthur Theate | Christopher Wooh | Steve Mandanda | Baptiste Santamaria | Martin Terrier | Benjamin Bourigeaud | Arnaud Kalimuendo Muinga,7,8,3,1,1,2,3,3,11,15,1,0,1.28,2.38,-0.28,1.62,1.0,0.75,0,0,0,-3,1.21,1.51,0.64,0.97,0.06,-0.29,0.01,0.04,-13,7,-13,0,0,0,-1,-1.8200000000000003,-1.0999999999999999,-0.30000000000000004,-0.32999999999999996
FRA-Ligue 1,2324,2024-05-04 Brest-Nantes,23658,2024-05-04 19:00:00,1,X,Brest,Nantes,0,0,56,32,3,15,1,4,27,3,0,0,0,0,1,1,0,0,0,0,0,2,4,2,4,5,0,0,0,0,2,2,1,0,7,42,0,5,0,0,0,3,0,1,0,2,86.27,51.36,Pierre Lees-Melou | Steve Mounie | Lilian Brassier | Martín Satriano | Hugo Magnetti | Bradley Locko | Brendan Chardonnet | Marco Bizot | Kenny Lala | Romain Del Castillo | Mahdi Camara,Kelvin Adou | Nicolas Pallois | Nicolas Cozza | Pedro Chirivella | Mostafa Mohamed | Florent Mollet | Douglas Augusto | Nathan Zeze | Jean-Charles Castelletto | Alban Lafont | Moussa Sissoko,11,4,0,6,0,1,0,5,14,14,1,1,2.6,1.71,2.4,-0.71,0.6,0.67,1,0,3,-2,1.4,0.54,0.99,0.36,-0.14,0.37,0.0,0.27,24,-12,24,0,0,-5,7,34.91,0.8900000000000001,0.8599999999999999,0.63
