LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
FRA-Ligue 1,2021,2020-12-05 Montpellier-Paris Saint Germain,15881,2020-12-05 20:00:00,1,2,Montpellier,Paris Saint Germain,1,3,23,25,6,1,4,1,15,17,0,1,0,0,1,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,2,2,0,0,0,3,1,7,0,1,0,3,0,2,3,1,78.18,34.27,Gaetan Laborde | Téji Savanier | Ambroise Oyongo | Junior Sambia | Jordan Ferri | Andy Delort | Jonas Omlin | Pedro Mendes | Mihailo Ristic | Florent Mollet | Daniel Congré,Pablo Sarabia | Keylor Navas | Kylian Mbappe-Lottin | Colin Dagba | Mitchel Bakker | Ander Herrera | Rafinha | Presnel Kimpembe | Alessandro Florenzi | Marquinhos | Abdou Diallo,9,6,1,1,1,4,1,3,13,22,1,0,1.47,2.55,-0.47,-0.55,0.67,0.64,1,0,0,-2,0.93,1.04,0.81,1.25,0.41,1.91,0.33,0.81,-2,5,-2,-1,0,-6,3,43.910000000000004,-1.0799999999999998,-0.10999999999999999,-0.43999999999999995
FRA-Ligue 1,2021,2020-12-06 Lille-Monaco,15879,2020-12-06 12:00:00,1,1,Lille,Monaco,2,1,23,23,3,5,1,3,15,15,1,0,0,0,1,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,4,0,1,-3,17,3,1,0,0,1,0,2,0,1,1,67.27,82.27,Domagoj Bradaric | Luiz Araujo | Renato Sanches | Jonathan Christian David | Benjamin André | Mehmet Zeki Çelik | Jonathan Bamba | Burak Yilmaz | Sven Botman | Mike Maignan | José Fonte,Aurelien Tchouameni | Benjamin Lecomte | Sofiane Diop | Ruben Aguilar | Axel Disasi | Kevin Volland | Benoit Badiashile Mukinayi | Wissam Ben Yedder | Cesc Fàbregas | Youssouf Fofana | Gelson Martins,7,9,1,1,3,1,1,1,18,15,1,1,0.39,3.5,0.61,-0.5,0.65,0.48,0,1,-2,0,1.09,1.77,0.68,1.19,-0.13,-0.45,0.34,0.24,0,-2,0,1,0,2,-2,-15.0,-3.11,-0.6799999999999999,-0.5099999999999999
FRA-Ligue 1,2021,2020-12-06 Angers-Lorient,15876,2020-12-06 14:00:00,1,1,Angers,Lorient,2,0,19,8,9,18,4,5,11,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,5,5,0,0,0,0,3,2,1,0,-2,2,2,4,0,0,1,1,0,1,1,3,71.18,60.64,Ismael Traoré | Vincent Manceau | Thomas Mangani | Stéphane Bahoken | Sada Thioub | Souleyman Doumbia | Angelo Fulgini | Romain Thomas | Paul Bernardoni | Ibrahim Amadou | Pierrick Capelle,Yoane Wissa | Trevoh Chalobah | Andrew Gravillon | Julien Laporte | Vincent Le Goff | Paul Nardi | Houboulang Mendes | Adrian Grbic | Pierre-Yves Hamel | Laurent Abergel | Jérémy Morel,8,8,1,1,2,2,2,6,13,18,1,1,2.95,0.34,0.05,-0.34,0.78,0.49,1,0,0,0,1.06,0.72,0.5,0.68,-0.19,-0.09,0.07,0.09,11,-9,11,0,0,-2,0,10.540000000000006,2.6100000000000003,0.3400000000000001,-0.18000000000000005
FRA-Ligue 1,2021,2020-12-06 Bordeaux-Brest,15877,2020-12-06 14:00:00,1,1,Bordeaux,Brest,1,0,16,18,13,10,4,4,8,10,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,3,0,0,0,0,1,2,0,0,-12,8,2,0,0,0,2,0,0,0,0,0,68.55,88.55,Laurent Koscielny | Paul Baysse | Hatem Ben Arfa | Loris Benito | Pablo | Nicolas de Preville | Remi Oudin | Youssouf Sabaly | Toma Basic | Otávio | Benoit Costil,Ronael Pierre Gabriel | Gautier Larsonneur | Franck Honorat | Haris Belkebla | Romain Faivre | Steve Mounie | Jean-Kevin Duverne | Gaëtan Charbonnier | Christophe Herelle | Irvin Cardona | Romain Perraud,8,9,2,2,1,0,3,1,15,12,1,1,1.14,1.32,0.86,0.68,0.64,0.79,1,0,1,3,0.75,1.13,0.35,0.84,0.03,-0.12,-0.22,-0.02,-2,3,-2,0,0,2,-1,-20.0,-0.18000000000000016,-0.3799999999999999,-0.49
FRA-Ligue 1,2021,2020-12-06 Dijon-Saint-Etienne,15878,2020-12-06 14:00:00,1,X,Dijon,Saint-Etienne,0,0,7,11,20,15,5,4,-1,3,0,0,0,0,3,4,0,0,0,0,0,0,0,0,3,4,0,0,0,0,2,1,1,1,43,21,0,0,0,0,0,0,0,0,0,0,86.36,86.73,Fouad Chafik | Ngonda Muzinga | Pape Cheikh | Didier Ndong | Eric Junior Dina Ebimbe | Jonathan Panzo | Wesley Lautoa | Mama Baldé | Bruno Ecuele Manga | Bersant Celina | Mounir Chouiar,Adil Aouchiche | Aïmen Moueffek | Yvan Neyou | Yvann Maçon | Jessy Moulin | Timothée Kolodziejczak | Romain Hamouma | Mahdi Camara | Harold Moukoudi | Denis Bouanga | Zaydou Youssef,9,8,0,2,2,1,3,3,16,16,1,1,0.99,0.98,2.01,0.02,0.77,0.68,0,0,0,1,0.95,0.62,0.57,0.47,-0.02,0.02,-0.01,-0.01,-4,5,-4,0,0,0,1,-0.37000000000000455,0.010000000000000009,0.32999999999999996,0.09999999999999998
FRA-Ligue 1,2021,2020-12-06 Nantes-Strasbourg,15882,2020-12-06 14:00:00,1,2,Nantes,Strasbourg,0,4,13,7,14,20,4,5,5,-1,0,0,0,0,2,0,0,1,0,1,0,0,0,0,5,4,0,1,0,0,2,1,1,0,2,-28,3,3,0,0,1,1,1,2,1,0,69.18,64.36,Mehdi Abeid | Fabio | Marcus Coco | Alban Lafont | Andrei Girotto | Nicolas Pallois | Randal Kolo Muani | Ludovic Blas | Dennis Appiah | Imran Louza | Pedro Chirivella,Bingourou Kamara | Ibrahima Sissoko | Habib Diallo | Kenny Lala | Anthony Caci | Alexander Djiku | Adrien Thomasson | Stefan Mitrovic | Mohamed Simakan | Jean-Ricner Bellegarde | Ludovic Ajorque,7,8,4,1,0,2,4,3,16,15,1,1,0.33,0.8,0.67,0.2,0.83,0.93,0,0,0,-2,1.26,1.24,0.75,0.73,-0.13,-0.04,-0.28,0.01,6,-6,6,0,0,0,-1,4.820000000000007,-0.47000000000000003,0.020000000000000018,0.020000000000000018
FRA-Ligue 1,2021,2020-12-06 Reims-Nice,15884,2020-12-06 16:00:00,1,X,Reims,Nice,0,0,9,17,18,12,5,4,0,8,0,1,0,0,1,3,1,0,1,0,0,0,0,0,4,4,1,0,0,0,2,1,0,1,-27,18,2,4,0,0,0,2,2,1,2,1,69.36,56.91,Mathieu Cafaro | Ghislain Konan | Predrag Rajkovic | El Bilal Touré | Yunis Abdelhamid | Boulaye Dia | Thomas Foket | Wout Faes | Nathanael Mbuku | Valon Berisha | Marshall Munetsi,Morgan Schneiderlin | Kasper Dolberg | Pierre Lees-Melou | Andy Pelmard | Kephren Thuram | Amine Gouiri | Dante | Hassane Kamara | Jordan Lotomba | Walter Benítez | Rony Lopes,9,6,2,2,0,3,3,3,18,17,1,1,0.33,2.53,-0.33,-1.53,0.74,0.64,0,0,0,0,0.96,0.98,0.59,0.7,0.07,-0.03,0.11,0.32,-8,6,-8,-1,0,-2,3,12.450000000000003,-2.1999999999999997,-0.020000000000000018,-0.10999999999999999
FRA-Ligue 1,2021,2020-12-06 Metz-Lyon,15880,2020-12-06 20:00:00,1,2,Metz,Lyon,1,3,16,23,13,4,4,2,6,13,0,0,0,0,2,2,0,0,0,0,0,0,2,1,5,5,0,0,0,0,1,2,1,1,32,3,3,2,0,0,0,1,2,1,2,0,69.45,67.91,Alexandre Oukidja | Matthieu Udol | Fabien Centonze | Farid Boulaya | John Boye | Victorien Angban | Opa Nguette | Digbo Maiga | Vincent Pajot | Lamine Gueye | Dylan Bronn,Thiago Mendes | Tinotenda Kadewere | Léo Dubois | Bruno Guimarães | Anthony Lopes | Memphis Depay | Jason Denayer | Houssem Aouar | Maxwel Cornet | Marcelo | Karl Toko Ekambi,8,9,0,1,3,1,2,0,17,17,1,1,0.71,1.97,-0.71,1.03,0.88,0.62,0,1,-3,0,0.6,1.96,0.55,1.56,0.17,-0.29,0.18,0.01,-7,9,-7,0,0,1,-1,1.5400000000000063,-1.26,-1.3599999999999999,-1.01
FRA-Ligue 1,2021,2020-12-11 Saint-Etienne-Angers,15893,2020-12-11 20:00:00,1,X,Saint-Etienne,Angers,0,0,12,22,15,7,4,4,2,12,0,0,0,0,1,3,0,0,0,0,0,2,0,1,2,5,0,0,0,0,1,3,0,0,-3,-10,2,3,0,0,0,1,0,1,2,1,75.91,70.0,Adil Aouchiche | Aïmen Moueffek | Yvan Neyou | Jessy Moulin | Timothée Kolodziejczak | Romain Hamouma | Miguel Trauco | Mahdi Camara | Harold Moukoudi | Denis Bouanga | Zaydou Youssef,Ismael Traoré | Vincent Manceau | Thomas Mangani | Stéphane Bahoken | Sada Thioub | Souleyman Doumbia | Romain Thomas | Angelo Fulgini | Paul Bernardoni | Ibrahim Amadou | Pierrick Capelle,8,8,2,1,1,2,3,2,15,15,1,1,0.68,1.91,-0.68,0.09,0.86,0.78,0,2,0,2,0.49,0.94,0.53,0.54,0.13,0.12,0.11,0.28,-10,8,-10,0,0,-1,0,5.909999999999997,-1.23,-0.44999999999999996,-0.010000000000000009
FRA-Ligue 1,2021,2020-12-12 Marseille-Monaco,15890,2020-12-12 16:00:00,1,1,Marseille,Monaco,2,1,24,23,4,5,2,3,14,13,1,0,0,0,4,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,1,0,0,-9,-6,2,0,0,0,1,0,0,0,1,0,71.55,79.55,Dimitri Payet | Florian Thauvin | Boubacar Kamara | Darío Benedetto | Hiroki Sakai | Morgan Sanson | Álvaro González | Jordan Amavi | Steve Mandanda | Duje Caleta-Car | Valentin Rongier,Caio Henrique | Aurelien Tchouameni | Benjamin Lecomte | Sofiane Diop | Ruben Aguilar | Axel Disasi | Kevin Volland | Benoit Badiashile Mukinayi | Wissam Ben Yedder | Youssouf Fofana | Gelson Martins,9,10,0,0,2,1,2,0,16,15,1,1,2.17,0.67,-0.17,0.33,0.81,0.76,1,2,0,-1,0.87,1.7,0.85,1.19,-0.12,0.07,0.09,0.0,1,-1,1,1,0,2,-1,-8.0,1.5,-0.83,-0.33999999999999997
