LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
FRA-Ligue 1,2122,2021-10-24 Lorient-Bordeaux,17924,2021-10-24 13:00:00,1,X,Lorient,Bordeaux,1,1,14,8,12,17,4,4,8,2,0,0,0,0,1,2,0,0,0,0,0,0,1,0,3,5,0,0,0,0,1,3,1,0,12,13,4,3,0,0,1,1,2,1,1,2,58.0,64.91,Paul Nardi | Julien Laporte | Houboulang Mendes | Fabien Lemoine | Enzo Le Fée | Igor Silva | Armand Lauriente | Terem Igobor Moffi | Laurent Abergel | Vincent Le Goff | Thomas Monconduit,Hwang Ui-Jo | Timothee Pembele | Otávio | Mexer | Laurent Koscielny | Enock Kwateng | Fransérgio | Benoit Costil | Yacine Adli | Ricardo Mangas | Remi Oudin,7,7,3,3,1,1,3,3,14,16,1,1,2.09,0.71,-1.09,0.29,0.82,0.71,0,0,-1,1,0.59,0.37,0.39,0.4,-0.15,0.4,0.22,0.22,6,-5,6,0,0,1,0,-6.909999999999997,1.38,0.21999999999999997,-0.010000000000000009
FRA-Ligue 1,2122,2021-10-24 Monaco-Montpellier,17926,2021-10-24 15:00:00,1,1,Monaco,Montpellier,3,1,14,13,12,13,4,4,8,7,1,0,0,0,2,2,0,1,0,1,0,0,0,0,4,2,0,0,0,0,2,3,1,1,12,-8,4,1,0,0,2,0,2,1,0,0,54.82,79.91,Sofiane Diop | Aurelien Tchouameni | Caio Henrique | Ruben Aguilar | Youssouf Fofana | Gelson Martins | Kevin Volland | Benoit Badiashile Mukinayi | Wissam Ben Yedder | Alexander Nübel | Axel Disasi,Valère Germain | Maxime Estève | Mamadou Sakho | Florent Mollet | Téji Savanier | Joris Chotard | Jordan Ferri | Junior Sambia | Stephy Mavididi | Thuler | Nicolas Cozza,8,9,3,0,0,2,0,1,17,14,1,1,0.51,1.63,-0.51,-0.63,0.82,0.79,0,0,0,0,1.16,1.08,0.73,0.59,-0.23,-0.08,0.0,0.01,1,-1,1,1,0,3,-1,-25.089999999999996,-1.1199999999999999,0.07999999999999985,0.14
FRA-Ligue 1,2122,2021-10-24 Marseille-Paris Saint Germain,17925,2021-10-24 18:45:00,1,X,Marseille,Paris Saint Germain,0,0,17,27,5,1,3,1,11,21,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,5,0,0,0,0,2,0,0,0,30,-13,1,7,0,1,1,3,0,1,1,2,80.73,34.36,Dimitri Payet | William Saliba | Boubacar Kamara | Pau López | Luan Peres | Cengiz Ünder | Leonardo Balerdi | Matteo Guendouzi | Gerson | Konrad De la Fuente | Valentin Rongier,Idrissa Gueye | Kylian Mbappe-Lottin | Presnel Kimpembe | Thilo Kehrer | Georginio Wijnaldum | Mauro Icardi | Achraf Hakimi | Ander Herrera | Marquinhos | Keylor Navas | Abdou Diallo,8,5,3,3,0,3,3,3,16,20,1,0,1.71,2.49,2.29,-0.49,0.74,0.93,0,0,2,3,1.5,1.82,1.22,1.42,-0.51,-0.75,-0.36,-0.45,-10,4,-10,0,0,-6,3,46.370000000000005,-0.7800000000000002,-0.32000000000000006,-0.19999999999999996
FRA-Ligue 1,2122,2021-10-27 Nice-Marseille,17851,2021-10-27 21:00:00,1,X,Nice,Marseille,1,1,20,18,3,5,1,3,14,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,2,4,0,0,7,-2,5,5,0,0,1,3,3,2,2,0,54.55,50.45,Amine Gouiri | Calvin Stengs | Andy Delort | Youcef Atal | Walter Benítez | Jean-Clair Todibo | Mario Lemina | Melvin Bard | Hichem Boudaoui | Pablo Rosario | Dante,Dimitri Payet | William Saliba | Boubacar Kamara | Pau López | Luan Peres | Cengiz Ünder | Leonardo Balerdi | Matteo Guendouzi | Gerson | Pol Lirola | Valentin Rongier,7,5,2,4,2,2,1,4,16,15,1,1,2.01,1.29,0.99,-1.29,0.66,0.86,3,0,3,1,1.29,1.22,1.0,0.75,0.81,0.28,0.87,-0.13,2,-2,2,0,0,0,2,4.099999999999994,0.7199999999999998,0.07000000000000006,0.25
FRA-Ligue 1,2122,2021-10-29 Paris Saint Germain-Lille,17939,2021-10-29 19:00:00,1,1,Paris Saint Germain,Lille,2,1,28,15,1,11,1,4,22,9,0,1,0,0,2,1,1,0,1,0,1,1,0,1,3,5,0,0,0,0,1,3,1,0,-15,1,5,3,1,0,2,0,2,3,1,0,52.91,66.73,Idrissa Gueye | Ángel Di María | Kylian Mbappe-Lottin | Neymar | Presnel Kimpembe | Thilo Kehrer | Achraf Hakimi | Ander Herrera | Marquinhos | Keylor Navas | Abdou Diallo,Sven Botman | Reinildo | Benjamin André | Jonathan Ikone | José Fonte | Timothy Weah | Ivo Grbic | Mehmet Zeki Çelik | Burak Yilmaz | Jonathan Christian David | Xeka,6,8,1,1,4,2,2,1,19,17,0,1,2.26,1.68,-2.26,-0.68,0.79,0.78,0,0,-2,-2,1.34,1.53,0.8,0.85,0.48,-0.09,0.25,0.15,13,-10,13,-1,0,2,-2,-13.820000000000007,0.5799999999999998,-0.18999999999999995,-0.04999999999999993
FRA-Ligue 1,2122,2021-10-30 Metz-Saint-Etienne,17937,2021-10-30 15:00:00,1,X,Metz,Saint-Etienne,1,1,6,5,19,20,5,5,0,-1,0,0,0,0,3,0,0,0,0,0,0,2,1,0,4,5,0,0,0,0,2,1,1,0,14,7,2,4,0,1,1,1,3,1,1,1,72.18,58.0,Digbo Maiga | Dylan Bronn | Pape Sarr | Ibrahima Niane | Nicolas de Preville | Vincent Pajot | Lamine Gueye | Kiki Kouyate | Alexandre Oukidja | Matthieu Udol | Fabien Centonze,Saidou Sow | Yvan Neyou | Arnaud Nordin | Romain Hamouma | Denis Bouanga | Harold Moukoudi | Mickael Nade | Mahdi Camara | Wahbi Khazri | Timothée Kolodziejczak | Etienne Green,7,7,3,3,1,1,3,3,17,18,1,0,0.79,1.5,0.21,0.5,0.93,0.82,0,1,-1,-2,0.68,0.56,0.47,0.7,-0.16,0.05,0.15,0.53,1,-1,1,0,0,-2,0,14.180000000000007,-0.71,0.12,-0.22999999999999998
FRA-Ligue 1,2122,2021-10-30 Lyon-Lens,17936,2021-10-30 19:00:00,1,1,Lyon,Lens,2,1,16,21,9,3,4,1,9,14,1,0,0,0,0,2,1,0,1,0,0,0,0,0,2,4,0,0,0,0,2,2,0,0,19,-1,1,0,0,0,0,0,0,2,1,1,81.73,86.18,Lucas Paquetá | Sinaly Diomande | Houssem Aouar | Maxence Caqueret | Jason Denayer | Karl Toko Ekambi | Xherdan Shaqiri | Léo Dubois | Anthony Lopes | Emerson | Bruno Guimarães,Cheick Oumar Doucoure | Jonathan Gradit | Gaël Kakuta | Seko Fofana | Facundo Medina | Florian Sotoca | Przemyslaw Frankowski | Kevin Danso | Jonathan Clauss | Jean-Louis Leca | Arnaud Kalimuendo Muinga,10,10,1,1,0,0,4,2,16,14,1,1,1.46,2.47,0.54,1.53,0.62,0.92,0,1,-3,2,1.24,1.67,1.13,1.01,0.25,-0.05,0.02,-0.36,-5,6,-5,1,0,1,0,-4.450000000000003,-1.0100000000000002,-0.42999999999999994,0.11999999999999988
FRA-Ligue 1,2122,2021-10-31 Angers-Nice,17932,2021-10-31 12:00:00,1,2,Angers,Nice,1,2,17,21,7,2,4,1,10,14,0,0,0,0,3,2,0,0,0,0,0,1,0,0,4,3,0,0,0,0,1,0,0,0,7,-15,2,2,0,0,0,0,1,1,1,1,73.55,73.0,Pierrick Capelle | Romain Thomas | Vincent Manceau | Paul Bernardoni | Sofiane Boufal | Angelo Fulgini | Mohamed Ali-Cho | Thomas Mangani | Batista Mendy | Ismael Traoré | Jimmy Cabot,Amine Gouiri | Calvin Stengs | Andy Delort | Youcef Atal | Walter Benítez | Jean-Clair Todibo | Mario Lemina | Melvin Bard | Hichem Boudaoui | Pablo Rosario | Dante,10,9,1,1,0,1,1,1,13,17,1,1,0.68,1.51,1.32,-0.51,0.95,0.69,0,0,1,-2,1.18,1.83,0.7,1.21,-0.19,-0.54,-0.01,0.35,-4,5,-4,0,0,0,1,0.5499999999999972,-0.83,-0.6500000000000001,-0.51
FRA-Ligue 1,2122,2021-10-31 Strasbourg-Lorient,17940,2021-10-31 14:00:00,1,1,Strasbourg,Lorient,4,0,14,15,13,11,4,4,7,8,0,0,0,0,2,4,0,0,0,0,1,0,1,0,5,5,1,0,0,0,2,3,1,1,-32,4,3,1,0,0,1,0,1,2,1,0,69.09,81.55,Jean-Ricner Bellegarde | Sanjin Prcic | Anthony Caci | Alexander Djiku | Dmitri Lienard | Kevin Gameiro | Frederic Guilbert | Ludovic Ajorque | Maxime Le Marchand | Gerzino Nyamsi | Matz Sels,Paul Nardi | Julien Laporte | Houboulang Mendes | Fabien Lemoine | Moritz Jenz | Igor Silva | Armand Lauriente | Terem Igobor Moffi | Laurent Abergel | Vincent Le Goff | Thomas Monconduit,7,9,2,1,2,1,2,3,14,15,1,1,1.03,1.8,-1.03,-0.8,0.89,0.8,0,0,0,1,1.14,0.74,0.95,0.5,-0.26,-0.15,-0.2,0.11,-1,2,-1,0,0,2,-2,-12.459999999999994,-0.77,0.3999999999999999,0.44999999999999996
FRA-Ligue 1,2122,2021-10-31 Bordeaux-Reims,17933,2021-10-31 14:00:00,1,1,Bordeaux,Reims,3,2,9,11,17,16,4,4,2,4,0,0,0,0,2,2,1,1,1,1,0,0,0,0,4,5,0,0,0,0,1,1,0,0,18,8,3,3,0,0,1,1,2,1,1,1,65.64,61.45,Hwang Ui-Jo | Timothee Pembele | Otávio | Mexer | Laurent Koscielny | Enock Kwateng | Javairo Dilrosun | Benoit Costil | Yacine Adli | Ricardo Mangas | Stian Rode Gregersen,Mitchell van Bergen | Andrew Gravillon | Ilan Kebbal | Azor Matusiwa | Thomas Foket | Marshall Munetsi | Yunis Abdelhamid | Predrag Rajkovic | Ghislain Konan | El Bilal Touré | Wout Faes,7,6,1,1,3,4,4,3,18,17,1,1,1.06,1.02,-0.06,-0.02,0.73,0.67,0,0,0,-3,0.54,0.63,0.47,0.51,-0.17,0.21,0.05,-0.1,-2,1,-2,0,0,0,1,4.189999999999998,0.040000000000000036,-0.08999999999999997,-0.040000000000000036
