LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ESP-La Liga,1920,2020-07-01 Valencia-Athletic Club,12351,2020-07-01 17:30:00,1,2,Valencia,Athletic Club,0,2,46,45,9,10,4,4,17,16,0,0,0,0,2,1,0,0,0,0,1,0,2,2,5,5,1,0,0,0,2,4,1,1,-9,6,4,1,0,0,2,0,2,1,0,1,61.18,80.18,Carlos Soler | Mouctar Diakhaby | Rodrigo | Daniel Wass | Jasper Cillessen | Maxi Gómez | Ferrán Torres | Daniel Parejo | Geoffrey Kondogbia | Gabriel | José Gayá,Raúl García | Iñigo Martínez | Dani García | Unai Simón | Iñigo Córdoba | Iñaki Williams | Muniain | Yeray Álvarez | Ander Capa | Mikel Vesga | Yuri,8,10,2,1,1,0,0,0,15,17,1,1,0.18,2.77,-0.18,0.23,1.0,0.81,0,2,0,0,0.66,1.04,0.59,0.77,0.05,-0.09,0.0,0.05,1,-1,1,0,0,3,-2,-19.000000000000007,-2.59,-0.38,-0.18000000000000005
ESP-La Liga,1920,2020-07-01 Real Betis-Villarreal,12345,2020-07-01 20:00:00,1,2,Real Betis,Villarreal,0,2,37,51,13,6,4,3,8,22,0,0,0,0,4,0,0,0,1,0,0,0,1,2,5,5,0,0,0,0,2,1,1,0,-34,8,5,6,0,0,3,2,1,3,1,1,46.09,41.09,Andrés Guardado | Marc Bartra | Loren Morón | Emerson | Borja Iglesias | Nabil Fekir | Joel Robles | Álex Moreno | Guido Rodríguez | Sergio Canales | Aissa Mandi,Santiago Cazorla | Vicente Iborra | Pau Torres | Moi Gómez | Gerard Moreno | Alberto Moreno | Manu Trigueros | Sergio Asenjo | Raúl Albiol | Paco Alcácer | Mario,9,7,2,3,0,1,2,3,17,18,1,1,1.55,2.41,0.45,-0.41,0.49,0.66,1,0,0,0,1.04,1.15,0.64,0.65,-0.03,-0.18,0.12,0.03,-14,7,-14,0,0,-1,2,5.0,-0.8600000000000001,-0.10999999999999988,-0.010000000000000009
ESP-La Liga,1920,2020-07-01 Real Valladolid-Levante,12352,2020-07-01 20:00:00,1,X,Real Valladolid,Levante,0,0,35,41,14,11,4,4,6,12,0,0,0,0,2,0,0,0,0,0,0,0,3,3,5,5,0,0,0,0,3,1,1,0,-2,5,5,4,0,0,2,2,2,1,3,1,51.64,54.09,Mohammed Salisu | Míchel | Sergi Guardiola | Fede San Emeterio | Javi Moyano | Jordi Masip | Kiko Olivas | Rubén Alcaraz | Enes Ünal | Óscar Plano | Raúl García,Rubén Rochina | Nikola Vukcevic | Rúben Vezo | Morales | Roger | Aitor Fernández | Borja Mayoral | Enis Bardhi | Sergio Postigo | José Campaña | Jorge Miramón,7,9,4,2,0,0,4,2,22,18,1,1,0.58,1.77,0.42,2.23,0.76,0.81,0,0,1,0,0.66,1.0,0.5,0.65,-0.3,-0.18,0.4,0.07,-6,3,-6,0,0,1,-2,-2.450000000000003,-1.19,-0.33999999999999997,-0.15000000000000002
ESP-La Liga,1920,2020-07-02 Real Sociedad-Espanyol,12350,2020-07-02 17:30:00,1,1,Real Sociedad,Espanyol,2,1,47,24,8,20,4,5,18,-5,0,0,0,0,3,1,0,0,0,0,0,0,3,1,4,5,0,0,0,0,2,1,1,1,10,-10,4,2,1,0,1,0,0,1,2,2,59.0,72.27,Martin Odegaard | Remiro | Adnan Januzaj | Robin Le Normand | Nacho Monreal | Igor Zubeldia | Zaldúa | Mikel Merino | Alexander Isak | Mikel Oyarzabal | Aritz Elustondo,Marc Roca | Sergi Darder | Bernardo | David López | Diego López | Dídac Vilá | Adrián Embarba | Jonathan Calleri | Wu Lei | Leandro Cabrera | Javi López,7,7,3,3,1,1,2,3,17,20,0,1,0.73,1.01,0.27,-1.01,0.94,0.84,0,0,-1,0,0.87,0.96,0.81,0.82,-0.02,0.44,0.13,-0.01,23,-12,23,0,0,2,0,-13.269999999999996,-0.28,-0.08999999999999997,-0.009999999999999898
ESP-La Liga,1920,2020-07-02 Eibar-Osasuna,12346,2020-07-02 17:30:00,1,2,Eibar,Osasuna,0,2,35,41,15,12,4,4,6,12,0,0,0,0,0,1,0,0,0,0,0,0,2,2,4,5,0,0,0,0,1,2,0,1,-13,-18,6,5,0,0,2,2,4,2,1,1,46.0,51.36,Sebastián Cristóforo | Paulo Oliveira | Pedro Bigas | Gonzalo Escalante | Fabián Orellana | Papakouly Diop | Anaitz Arbilla | Edu Expósito | José Ángel | Sergi Enrich | Marko Dmitrovic,David García | Enric Gallego | Darko Brasanac | Nacho Vidal | Oier | Roberto Torres | Sergio Herrera | Iñigo Pérez | Unai García | Aridane Hernández | Estupiñán,6,7,2,2,3,2,2,3,20,20,1,1,1.68,0.9,0.32,1.1,0.75,0.86,0,1,0,3,0.94,1.19,0.5,0.6,-0.16,-0.13,-0.31,-0.22,-6,3,-6,0,0,1,-1,-5.359999999999999,0.7799999999999999,-0.25,-0.09999999999999998
ESP-La Liga,1920,2020-07-02 Real Madrid-Getafe,12349,2020-07-02 20:00:00,1,1,Real Madrid,Getafe,1,0,71,52,1,6,1,3,42,23,0,0,0,0,1,6,0,0,0,0,0,0,1,1,2,4,0,0,0,0,0,1,0,1,3,5,3,2,0,0,1,1,1,1,1,0,65.45,71.82,Raphael Varane | Casemiro | Toni Kroos | Karim Benzema | Luka Modric | Sergio Ramos | Thibaut Courtois | Vinícius Júnior | Daniel Carvajal | Marcelo | Federico Valverde,Nemanja Maksimovic | Etxeita | Oghenekaro Etebo | Marc Cucurella | Mauro Arambarri | Nyom | Mathías Olivera | David Soria | Djené Dakonam | Damián Suárez | Jaime Mata,9,10,1,0,1,1,3,2,16,15,1,1,2.5,1.39,-1.5,0.61,0.86,0.7,0,1,0,2,1.34,0.9,0.97,0.51,0.02,0.17,-0.04,0.04,19,-5,19,0,0,1,-1,-6.36999999999999,1.11,0.44000000000000006,0.45999999999999996
ESP-La Liga,1920,2020-07-03 Atletico Madrid-Mallorca,12354,2020-07-03 20:00:00,1,1,Atletico Madrid,Mallorca,3,0,59,29,3,18,1,5,30,0,0,0,0,0,5,3,0,0,0,2,0,1,2,3,4,5,0,1,0,0,3,2,1,0,14,-8,6,4,0,0,3,2,2,2,2,2,41.73,61.82,Koke | Renan Lodi | Giménez | Thomas Partey | Felipe | Jan Oblak | Saúl Ñíguez | Stefan Savic | Marcos Llorente | Kieran Trippier | Ángel Correa,Takefusa Kubo | Alejandro Pozo | Iddrisu Baba | Raíllo | Dani Rodríguez | Juan Camilo Hernández | Martin Valjent | Salva Sevilla | Aleksander Sedlar | Ante Budimir | Manolo Reina,7,8,3,1,1,2,3,1,17,14,0,1,1.78,1.68,0.22,3.32,0.48,0.8,0,0,-2,0,1.15,0.49,0.64,0.37,-0.2,0.32,-0.46,0.46,30,-15,30,0,0,2,-1,-20.090000000000003,0.10000000000000009,0.6599999999999999,0.27
ESP-La Liga,1920,2020-07-04 Celta Vigo-Real Betis,12355,2020-07-04 15:00:00,1,X,Celta Vigo,Real Betis,1,1,34,37,17,13,4,4,5,8,0,0,0,0,2,2,0,1,0,1,1,0,5,2,5,5,1,0,0,0,2,2,1,1,-35,-2,3,5,0,0,0,2,3,0,1,3,69.18,52.0,Rafinha | Néstor Araújo | Joseph Aidoo | Iago Aspas | Fedor Smolov | Kevin | Lucas Olaza | Filip Bradaric | Okay Yokuslu | Rubén Blanco | Jeison Murillo,Andrés Guardado | Marc Bartra | Loren Morón | Emerson | Borja Iglesias | Nabil Fekir | Joel Robles | Álex Moreno | Guido Rodríguez | Sergio Canales | Aissa Mandi,9,8,1,1,1,2,5,2,17,16,1,1,1.56,0.4,-0.56,-0.4,0.7,0.74,0,0,-1,0,1.01,0.85,0.43,0.61,-0.42,0.19,-0.27,0.22,-3,4,-3,0,0,-2,1,17.180000000000007,1.1600000000000001,0.16000000000000003,-0.18
ESP-La Liga,1920,2020-07-04 Real Valladolid-Alaves,12362,2020-07-04 17:30:00,1,1,Real Valladolid,Alaves,1,0,36,35,14,17,4,4,7,6,0,0,0,0,2,3,0,0,0,0,0,0,4,3,3,5,0,0,0,0,2,1,0,0,5,1,8,4,0,0,4,1,3,1,2,2,26.91,62.27,Nacho | Mohammed Salisu | Sergi Guardiola | Fede San Emeterio | Javi Moyano | Jordi Masip | Kiko Olivas | Rubén Alcaraz | Enes Ünal | Óscar Plano | Raúl García,Rodrigo Ely | Rubén Duarte | Fernando Pacheco | Ximo Navarro | Ljubomir Fejsa | Víctor Laguardia | Víctor Camarasa | Joselu | Edgar Méndez | Aleix Vidal | Lucas Pérez,6,6,3,1,2,4,0,2,20,22,0,1,1.37,1.02,-1.37,-1.02,0.57,0.83,0,0,-2,0,0.68,0.74,0.19,0.51,-0.02,0.34,0.49,0.13,1,-3,1,0,0,4,0,-35.36,0.3500000000000001,-0.05999999999999994,-0.32
ESP-La Liga,1920,2020-07-04 Granada-Valencia,12357,2020-07-04 20:00:00,1,X,Granada,Valencia,2,2,46,46,9,10,4,4,17,17,0,0,0,0,2,1,0,0,0,0,0,0,3,1,5,5,0,0,0,0,1,3,1,1,0,25,7,7,1,0,3,2,3,3,0,2,37.73,38.73,Carlos Neva | Dimitri Foulquier | Roberto Soldado | Carlos Fernández | Germán Sánchez | Darwin Machís | Antonio Puertas | Jesús Vallejo | Domingos Duarte | Rui Silva | Yangel Herrera,Carlos Soler | Rodrigo | Daniel Wass | Jasper Cillessen | Maxi Gómez | Ferrán Torres | Daniel Parejo | Gonçalo Guedes | Geoffrey Kondogbia | Gabriel | José Gayá,9,5,2,3,0,3,5,2,19,16,0,1,1.27,1.27,0.73,-1.27,0.66,0.79,1,0,0,0,1.08,0.55,0.59,0.34,-0.56,0.11,0.11,0.13,0,-1,0,0,0,0,4,-1.0,0.0,0.53,0.24999999999999994
