LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ESP-La Liga,2021,2021-01-23 Alaves-Real Madrid,14968,2021-01-23 20:00:00,1,2,Alaves,Real Madrid,1,4,18,37,17,2,4,1,1,20,0,0,0,1,2,0,0,0,1,0,0,0,1,1,4,3,0,0,0,0,1,2,1,0,9,-8,0,1,0,0,0,1,0,0,0,0,83.82,76.91,Rubén Duarte | Lucas Pérez | Ximo Navarro | Luis Rioja | Jota | Víctor Laguardia | Tomás Pina | Rodrigo Battaglia | Florian Lejeune | Fernando Pacheco | Joselu,Luka Modric | Sergio Ramos | Marco Asensio | Lucas Vázquez | Karim Benzema | Toni Kroos | Daniel Carvajal | Ferland Mendy | Raphael Varane | Thibaut Courtois | Casemiro,9,9,2,0,0,2,1,2,17,14,1,1,1.41,0.43,-0.41,-0.43,0.75,0.46,0,0,0,0,0.65,1.16,0.37,0.73,-0.07,0.3,0.41,0.18,-19,15,-19,0,-1,-1,0,6.909999999999997,0.98,-0.5099999999999999,-0.36
ESP-La Liga,2021,2021-01-24 Osasuna-Granada,14977,2021-01-24 13:00:00,1,1,Osasuna,Granada,3,1,16,28,19,7,5,4,-1,11,0,0,1,1,3,4,0,1,1,2,0,0,0,0,4,5,0,0,0,0,4,2,1,0,12,0,7,2,0,0,2,0,2,1,3,3,36.36,72.82,David García | Nacho Vidal | Rubén García | Juan Cruz | Facundo Roncaglia | Roberto Torres | Oier | Sergio Herrera | Jon Moncayola | Jonathan Calleri | Aridane Hernández,Germán Sánchez | Roberto Soldado | Luis Suárez | Darwin Machís | Rui Silva | Carlos Neva | Domingos Duarte | Maxime Gonalons | Dimitri Foulquier | Luis Milla | Yangel Herrera,4,8,5,1,2,2,4,0,16,16,1,1,1.83,0.14,-0.83,1.86,0.62,0.89,0,1,-2,0,0.54,1.16,0.71,0.87,0.04,0.15,0.15,0.11,-12,12,-12,0,0,5,-4,-36.459999999999994,1.69,-0.6199999999999999,-0.16000000000000003
ESP-La Liga,2021,2021-01-24 Elche-Barcelona,14972,2021-01-24 15:15:00,1,2,Elche,Barcelona,0,2,17,34,19,4,5,1,-1,16,0,0,0,1,3,3,0,0,0,0,1,0,2,1,4,5,0,0,0,0,4,1,0,1,62,-10,3,2,0,0,1,1,3,0,0,1,66.55,70.73,Josema | Tete Morente | Lucas Boyé | Josan | Iván Marcone | Antonio Barragán | Raúl Guti | Fidel | Pere Milla | Edgar Badía | Gonzalo Verdú,Antoine Griezmann | Óscar Mingueza | Marc-André ter Stegen | Martin Braithwaite | Pedri | Ronald Araújo | Lionel Messi | Clement Lenglet | Frenkie de Jong | Jordi Alba | Sergiño Dest,7,8,3,2,1,1,1,3,17,14,1,1,0.58,1.65,1.42,2.35,0.78,0.54,0,0,0,0,0.28,1.52,0.38,1.17,0.13,0.4,0.37,0.75,-17,15,-17,0,-1,1,-1,-4.180000000000007,-1.0699999999999998,-1.24,-0.7899999999999999
ESP-La Liga,2021,2021-01-24 Celta Vigo-Eibar,14974,2021-01-24 17:30:00,1,X,Celta Vigo,Eibar,1,1,23,19,12,16,4,4,5,1,0,0,0,0,3,3,0,0,1,1,1,0,3,0,3,2,0,0,0,0,0,1,1,0,9,7,2,3,0,0,1,1,2,3,0,0,68.91,64.45,Renato Tapia | Lucas Olaza | Rubén Blanco | Nolito | Iago Aspas | Néstor Araújo | Brais Méndez | Hugo Mallo | Jeison Murillo | Santi Mina | Denis Suárez,Pedro Bigas | Bryan Gil Salvatierra | Papakouly Diop | Yoshinori Muto | Esteban Burgos | Anaitz Arbilla | Takashi Inui | Edu Expósito | Kike García | Alejandro Pozo | Marko Dmitrovic,9,7,0,3,2,1,2,3,16,14,1,1,0.98,1.27,0.02,-0.27,0.59,0.84,0,0,0,-1,1.15,0.92,0.63,0.6,-0.04,-0.11,0.5,0.4,4,-4,4,0,0,-1,2,4.459999999999994,-0.29000000000000004,0.22999999999999987,0.030000000000000027
ESP-La Liga,2021,2021-01-24 Atletico Madrid-Valencia,14973,2021-01-24 20:00:00,1,1,Atletico Madrid,Valencia,3,1,44,20,1,14,1,4,26,2,0,0,0,1,2,1,0,0,0,1,0,0,0,1,3,3,0,0,0,0,0,0,0,1,-19,-13,3,2,0,0,1,0,1,1,1,1,65.45,71.82,Yannick Carrasco | Jan Oblak | Luis Suárez | Mario Hermoso | Ángel Correa | Koke | Kieran Trippier | Marcos Llorente | Felipe | Stefan Savic | Thomas Lemar,Daniel Wass | Yunus Musah | Uros Racic | Gonçalo Guedes | Gabriel | Mouctar Diakhaby | José Gayá | Maxi Gómez | Denis Cheryshev | Carlos Soler | Jaume,8,9,2,1,1,1,2,3,14,14,1,1,1.23,0.44,0.77,0.56,0.87,0.61,0,0,2,1,1.15,0.86,0.71,0.61,-0.04,0.09,-0.14,-0.09,24,-13,24,0,-1,1,-1,-6.36999999999999,0.79,0.2899999999999999,0.09999999999999998
ESP-La Liga,2021,2021-01-25 Athletic Club-Getafe,14969,2021-01-25 20:00:00,1,1,Athletic Club,Getafe,5,1,21,23,13,12,4,4,3,5,0,0,1,0,2,2,0,0,0,0,1,0,0,1,4,4,1,0,0,0,1,3,1,0,-35,-3,3,0,0,0,2,0,1,0,0,0,70.0,86.18,Iñaki Williams | Asier Villalibre | Ander Capa | Unai Vencedor | Iñigo Martínez | Yuri | Unai Simón | Muniain | Alex Berenguer | Mikel Vesga | Yeray Álvarez,Rubén Yáñez | Marc Cucurella | Djené Dakonam | Nemanja Maksimovic | Erick Cabaco | Mauro Arambarri | Nyom | Jaime Mata | Mathías Olivera | Ángel | Damián Suárez,6,8,4,1,1,2,1,1,13,15,1,1,0.64,0.66,1.36,0.34,0.75,0.8,1,0,0,0,0.66,0.8,0.43,0.66,0.15,-0.06,0.22,0.04,-2,1,-2,0,1,3,-2,-16.180000000000007,-0.020000000000000018,-0.14,-0.23000000000000004
ESP-La Liga,2021,2021-01-29 Real Valladolid-SD Huesca,14986,2021-01-29 20:00:00,1,2,Real Valladolid,SD Huesca,1,3,20,13,16,20,4,5,2,-5,0,0,1,0,1,3,0,0,1,1,0,0,3,0,3,5,0,0,0,0,0,2,0,1,4,-4,1,2,0,0,0,0,1,1,0,1,79.45,74.82,Joaquín Fernández | Fabián Orellana | Shon Weissman | Jordi Masip | Rubén Alcaraz | Marcos de Sousa | Roque Mesa | Pablo Hervías | Nacho | Bruno | Óscar Plano,Rafa Mir | Pedro Mosquera | Mikel Rico | Álvaro Fernández | Jorge Pulido | Javi Galán | David Ferreiro | Borja | Shinji Okazaki | Dimitrios Siovas | Javi Ontiveros,8,7,1,3,2,1,4,4,16,18,1,1,0.63,0.18,1.37,-0.18,0.76,0.72,2,0,1,1,0.71,0.43,0.34,0.14,0.03,0.03,0.23,0.18,7,-4,7,0,1,-1,1,4.63000000000001,0.45,0.27999999999999997,0.2
ESP-La Liga,2021,2021-01-30 Eibar-Sevilla,14980,2021-01-30 13:00:00,1,2,Eibar,Sevilla,0,2,20,36,15,4,4,1,2,18,0,0,0,1,3,1,0,0,0,1,0,0,1,1,3,5,0,0,0,0,2,3,1,0,-14,-17,3,1,0,0,1,0,2,1,1,0,65.36,77.55,Pedro Bigas | Bryan Gil Salvatierra | Papakouly Diop | Yoshinori Muto | Esteban Burgos | Anaitz Arbilla | Takashi Inui | Edu Expósito | Kike García | Alejandro Pozo | Marko Dmitrovic,Diego Carlos | Joan Jordán | Fernando | Marcos Acuña | Jules Koundé | Lucas Ocampos | Suso | Youssef En-Nesyri | Bono | Jesús Navas | Ivan Rakitic,10,9,1,2,0,0,3,0,15,13,1,1,0.59,2.53,0.41,0.47,0.79,0.85,0,0,0,0,1.1,1.1,0.71,0.99,-0.18,-0.04,0.25,0.14,-16,11,-16,0,-1,2,1,-12.189999999999998,-1.94,0.0,-0.28
ESP-La Liga,2021,2021-01-30 Real Madrid-Levante,14984,2021-01-30 15:15:00,1,2,Real Madrid,Levante,1,2,40,23,2,12,1,4,22,5,0,0,0,1,3,0,0,0,0,0,0,1,1,0,3,5,0,0,0,0,2,4,1,0,-2,-3,1,3,0,0,1,1,0,1,0,1,78.36,65.45,Luka Modric | Sergio Ramos | Marco Asensio | Lucas Vázquez | Karim Benzema | Toni Kroos | Daniel Carvajal | Ferland Mendy | Raphael Varane | Thibaut Courtois | Casemiro,Mickaël Malsa | Jorge Miramón | Morales | Gonzalo Melero | Dani Gómez | Aitor Fernández | Roger | Rúben Vezo | Jorge De Frutos | Nemanja Radoja | Carlos Clerc,8,8,1,2,2,1,2,2,14,13,1,1,1.54,1.05,2.46,0.95,0.83,0.82,0,0,0,-2,1.08,0.76,0.66,0.63,0.08,0.15,0.2,0.27,17,-10,17,0,-1,-2,0,12.909999999999997,0.49,0.32000000000000006,0.030000000000000027
ESP-La Liga,2021,2021-01-30 Valencia-Elche,14985,2021-01-30 17:30:00,1,1,Valencia,Elche,1,0,20,17,14,19,4,5,2,-1,0,0,1,0,0,0,0,0,0,0,1,0,1,3,5,3,0,0,0,0,3,2,0,0,-12,-2,3,1,0,0,1,1,2,1,0,0,70.36,80.45,Daniel Wass | Yunus Musah | Uros Racic | Gonçalo Guedes | Gabriel | Mouctar Diakhaby | José Gayá | Maxi Gómez | Denis Cheryshev | Carlos Soler | Jaume,Josema | Tete Morente | Lucas Boyé | Josan | Iván Marcone | Antonio Barragán | Raúl Guti | Fidel | Emiliano Rigoni | Edgar Badía | Gonzalo Verdú,8,9,1,1,2,1,3,3,14,15,1,1,0.25,0.48,0.75,-0.48,0.88,1.0,0,0,-3,0,0.78,0.37,0.52,0.4,0.08,-0.09,-0.04,0.21,3,-5,3,0,1,2,-1,-10.090000000000003,-0.22999999999999998,0.41000000000000003,0.12
