LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ESP-La Liga,2223,2023-04-15 Villarreal-Real Valladolid,19246,2023-04-15 12:00:00,1,2,Villarreal,Real Valladolid,1,2,47,29,5,17,2,4,20,2,0,0,0,0,3,3,0,0,2,0,0,0,1,1,5,5,1,0,0,0,0,2,1,0,-30,22,2,4,0,0,1,2,1,4,2,0,68.45,58.45,Juan Foyth | Etienne Capoue | Samuel Chukwueze | Raúl Albiol | Ramón Terrats | Álex Baena | Yeremi Pino | José Reina | Daniel Parejo | Morales | Pau Torres,Monchu | Javi Sánchez | Joaquín Fernández | Sergio Asenjo | Kike Pérez | Jawad El Yamiq | Lucas Olaza | Óscar Plano | Martin Hongla | Gonzalo Plata | Cyle Larin,7,7,2,4,2,0,3,6,15,18,1,0,1.24,0.95,1.76,2.05,0.58,0.7,1,3,0,-2,1.21,0.82,0.82,0.35,-0.09,0.08,0.13,0.09,18,-12,18,0,0,-2,0,10.0,0.29000000000000004,0.39,0.47
ESP-La Liga,2223,2023-04-15 Athletic Club-Real Sociedad,19242,2023-04-15 14:15:00,1,1,Athletic Club,Real Sociedad,2,0,40,51,7,4,4,1,13,24,0,0,0,0,4,2,0,0,1,0,0,0,2,2,5,5,0,0,0,0,2,2,0,1,12,-20,3,2,0,0,2,1,0,1,1,0,64.64,69.64,Oihan Sancet | Iñaki Williams | Dani Vivian | Dani García | Alex Berenguer | De Marcos | Muniain | Nico Williams | Yuri | Mikel Vesga | Yeray Álvarez,Brais Méndez | Takefusa Kubo | Remiro | Asier Illarramendi | Mikel Oyarzabal | Igor Zubeldia | Mikel Merino | Alexander Sørloth | Martín Zubimendi | Robin Le Normand | Diego Rico,7,8,3,3,1,0,2,2,16,15,1,1,2.74,2.18,-0.74,-0.18,0.57,0.84,1,0,0,0,1.27,0.87,0.81,0.9,-0.24,-0.2,-0.11,0.11,-11,3,-11,0,0,1,-1,-5.0,0.56,0.4,-0.08999999999999997
ESP-La Liga,2223,2023-04-15 Real Betis-Espanyol,19243,2023-04-15 16:30:00,1,1,Real Betis,Espanyol,3,1,45,27,6,19,3,5,18,0,0,0,0,0,3,4,2,1,2,3,1,0,1,1,5,5,2,0,0,0,0,3,1,1,-41,-16,4,3,0,0,2,1,1,2,1,0,59.91,64.45,Ayoze Pérez | Luiz Felipe | Borja Iglesias | Youssouf Sabaly | Juan Miranda | Guido Rodríguez | William Carvalho | Sergio Canales | Rui Silva | Aitor Ruibal | Germán Pezzella,Óscar Gil | Sergi Gómez | Joselu | Rubén Sánchez | Javi Puado | Martin Braithwaite | Vinicius Souza | César Montes | Fernando Pacheco | Leandro Cabrera | Sergi Darder,7,10,0,0,4,1,2,1,15,14,1,1,1.59,1.21,-1.59,-0.21,0.76,0.74,0,0,0,0,0.97,1.22,0.7,0.92,0.32,0.21,0.27,-0.02,18,-13,18,0,0,1,-3,-4.540000000000006,0.3800000000000001,-0.25,-0.22000000000000008
ESP-La Liga,2223,2023-04-15 Cadiz-Real Madrid,19245,2023-04-15 19:00:00,1,2,Cadiz,Real Madrid,0,2,31,59,15,2,4,1,4,32,0,1,0,0,2,0,0,0,0,0,1,0,2,1,5,4,0,0,0,0,1,1,1,0,11,-17,1,2,0,0,1,1,0,1,0,1,76.64,74.91,Fali | Alfonso Espino | Gonzalo Escalante | Sergi Guardiola | Theo Bongonda | Jeremías Ledesma | Isaac Carcelén | Rubén Alcaraz | Roger | Rubén Sobrino | Luis Hernández,Federico Valverde | Marco Asensio | Eder Militão | Rodrygo | Thibaut Courtois | Eduardo Camavinga | Nacho | Karim Benzema | Vinícius Júnior | Antonio Rüdiger | Daniel Carvajal,7,8,1,2,3,1,0,4,17,17,1,1,2.86,2.23,-0.86,-0.23,0.84,0.5,0,0,0,0,0.97,1.86,0.43,1.08,-0.17,0.2,-0.02,0.18,-28,13,-28,-1,0,-1,-1,1.730000000000004,0.6299999999999999,-0.8900000000000001,-0.6500000000000001
ESP-La Liga,2223,2023-04-16 Girona-Elche,19248,2023-04-16 12:00:00,1,1,Girona,Elche,2,0,35,13,11,20,4,5,8,-14,0,0,0,0,2,3,0,0,0,0,0,0,3,3,5,4,0,0,0,0,1,0,1,1,-24,1,1,2,0,1,1,0,0,1,0,0,70.64,71.64,Paulo Gazzaniga | Valentín Castellanos | Oriol Romeu | Aleix García | Borja | Miguel Gutiérrez | Arnau Martinez | Santiago Bueno | Viktor Tsygankov | Iván Martín | Rodrigo Riquelme,Tete Morente | Gerard Gumbau | Enzo Roco | Carlos Clerc | Ezequiel Ponce | José Ángel Carmona | Omar Mascarell | Helibelton Palacios | Lucas Boyé | Fidel | Edgar Badía,8,6,3,2,0,3,2,3,13,16,1,0,0.49,0.66,-0.49,0.34,0.78,0.84,0,0,0,-1,0.94,0.99,0.7,0.56,0.07,-0.04,0.08,-0.11,22,-9,22,0,0,-1,2,-1.0,-0.17000000000000004,-0.050000000000000044,0.1399999999999999
ESP-La Liga,2223,2023-04-16 Getafe-Barcelona,19247,2023-04-16 14:15:00,1,X,Getafe,Barcelona,0,0,30,72,16,1,4,1,3,45,0,0,0,0,1,0,0,0,0,0,0,0,4,2,5,3,0,0,0,0,3,1,0,0,-10,-22,1,2,0,0,1,2,1,1,0,1,76.73,73.64,Domingos Duarte | Nemanja Maksimovic | Luis Milla | Borja Mayoral | David Soria | Enes Ünal | Damián Suárez | Munir | Portu | Omar Alderete | Djené Dakonam,Sergi Roberto | Sergio Busquets | Raphinha | Marc-André ter Stegen | Jules Koundé | Álex Balde | Andreas Christensen | Gavi | Ronald Araújo | Robert Lewandowski | Frenkie de Jong,10,9,1,0,0,2,2,1,14,16,1,1,0.24,1.05,-0.24,-1.05,0.62,0.53,0,0,0,0,1.2,1.52,0.5,1.44,0.08,0.09,0.01,-0.04,-42,15,-42,0,0,-1,1,3.0900000000000034,-0.81,-0.32000000000000006,-0.94
ESP-La Liga,2223,2023-04-16 Atletico Madrid-Almeria,19251,2023-04-16 16:30:00,1,1,Atletico Madrid,Almeria,2,1,57,30,3,17,1,4,30,3,0,0,0,0,0,3,0,0,0,1,0,1,3,3,3,5,0,0,0,0,0,2,0,0,9,7,2,2,0,0,1,3,0,1,1,0,69.73,72.09,Nahuel Molina | Jan Oblak | Yannick Carrasco | Antoine Griezmann | Álvaro Morata | Stefan Savic | Koke | Rodrigo de Paul | Giménez | Marcos Llorente | Mario Hermoso,César De la Hoz | Luis Suárez | Sergio Akieme | Fernando Martínez | Chumi | Lucas Robertone | Samú Costa | Srdjan Babic | Alejandro Pozo | Rodrigo Ely | Leo Baptistao,9,7,1,1,1,3,0,2,13,15,1,1,2.37,1.5,-0.37,0.5,0.57,0.81,0,0,0,0,1.05,1.0,1.24,0.63,0.42,0.05,0.14,-0.06,27,-14,27,0,0,0,2,-2.3599999999999994,0.8700000000000001,0.050000000000000044,0.61
ESP-La Liga,2223,2023-04-16 Valencia-Sevilla,19250,2023-04-16 19:00:00,1,2,Valencia,Sevilla,0,2,27,32,18,13,5,4,0,5,0,1,0,0,2,4,0,2,0,3,1,1,4,2,4,4,1,1,0,0,2,3,0,1,-9,-53,4,3,0,0,1,1,3,2,2,1,58.55,62.27,Hugo Guillamón | Mouctar Diakhaby | Hugo Duro | Yunus Musah | Justin Kluivert | Samuel Lino | José Gayá | André Almeida | Giorgi Mamardashvili | Dimitri Foulquier | Cenk Özkacar,Óliver Torres | Marcos Acuña | Loic Bade | Bono | Youssef En-Nesyri | Pape Alassane Gueye | Lucas Ocampos | Suso | Ivan Rakitic | Nemanja Gudelj | Jesús Navas,7,6,3,2,1,3,2,3,16,17,1,1,1.09,0.48,-0.09,1.52,0.76,1.0,0,0,-1,0,0.73,1.26,0.78,0.53,0.47,-0.1,0.47,0.04,-5,5,-5,-1,0,1,1,-3.720000000000006,0.6100000000000001,-0.53,0.25
ESP-La Liga,2223,2023-04-17 Celta Vigo-Mallorca,19244,2023-04-17 19:00:00,1,2,Celta Vigo,Mallorca,0,1,36,34,11,13,4,4,9,7,0,0,0,0,2,5,0,0,0,1,0,0,3,4,5,4,0,0,0,0,3,3,1,0,-10,4,3,1,0,0,0,1,3,0,0,1,68.27,80.27,Carles Pérez | Fran Beltrán | Iván Villar | Javi Galán | Gabriel Veiga | Luca De La Torre | Unai Núñez | Iago Aspas | Joseph Aidoo | Haris Seferovic | Hugo Mallo,Lee Kang-In | Martin Valjent | Vedat Muriqi | Jaume Costa | Pablo Maffeo | Matija Nastasic | Predrag Rajkovic | Inigo Ruiz de Galarreta | Dani Rodríguez | Giovanni González | Raíllo,10,7,1,1,0,3,1,1,13,16,1,1,0.61,1.99,1.39,1.01,0.59,0.92,3,0,1,1,1.32,0.71,0.85,0.4,-0.19,-0.23,0.03,-0.05,2,-2,2,0,0,2,3,-12.0,-1.38,0.6100000000000001,0.44999999999999996
ESP-La Liga,2223,2023-04-21 Espanyol-Cadiz,19259,2023-04-21 19:00:00,1,X,Espanyol,Cadiz,0,0,27,31,19,16,5,4,0,4,0,0,0,0,2,1,0,0,0,0,2,0,1,2,5,5,0,0,0,0,3,1,1,0,12,-16,3,2,0,1,2,1,1,0,0,0,63.73,67.45,Óscar Gil | Sergi Gómez | Joselu | Rubén Sánchez | Javi Puado | Martin Braithwaite | Vinicius Souza | Fernando Pacheco | César Montes | Leandro Cabrera | Sergi Darder,Fali | Alfonso Espino | Sergi Guardiola | Gonzalo Escalante | Theo Bongonda | Rubén Alcaraz | Isaac Carcelén | Jeremías Ledesma | Roger | Rubén Sobrino | Luis Hernández,8,9,3,1,0,1,3,0,14,14,1,0,0.62,0.58,0.38,-0.58,0.46,0.54,0,0,0,0,1.16,0.9,0.6,0.51,0.06,0.07,0.02,0.0,-4,3,-4,0,0,1,-1,-3.720000000000006,0.040000000000000036,0.2599999999999999,0.08999999999999997
