LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ITA-Serie A,2223,2022-08-28 Salernitana-Sampdoria,18608,2022-08-28 16:30:00,1,1,Salernitana,Sampdoria,4,0,1,1,13,15,4,4,1,1,0,0,0,0,4,3,0,0,0,0,0,2,0,0,3,5,0,0,0,0,0,2,1,1,-4,9,2,2,0,0,0,1,1,1,1,0,77.18,70.27,Federico Fazio | Pasquale Mazzocchi | Luigi Sepe | Erik Botheim | Federico Bonazzoli | Lassana Coulibaly | Tonny Vilhena | Dylan Bronn | Giulio Maggiore | Antonio Candreva | Norbert Gyömbér,Ronaldo Vieira | Alex Ferrari | Tommaso Augello | Mehdi Leris | Filip Djuricic | Abdelhamid Sabiri | Bartosz Bereszynski | Tomás Rincón | Francesco Caputo | Emil Audero | Omar Colley,10,9,1,2,0,0,3,2,13,11,1,1,1.6,0.95,-1.6,-0.95,0.8,0.74,0,0,0,1,1.08,0.67,0.41,0.5,-0.59,-0.2,0.02,-0.02,0,-2,0,0,0,0,1,6.910000000000011,0.6500000000000001,0.41000000000000003,-0.09000000000000002
ITA-Serie A,2223,2022-08-28 Verona-Atalanta,18609,2022-08-28 16:30:00,1,2,Verona,Atalanta,0,1,1,4,15,9,4,4,1,4,0,0,0,0,3,4,0,0,0,0,1,1,0,0,3,5,0,0,0,0,1,1,1,0,-5,9,3,3,0,0,2,2,1,1,0,0,68.82,64.64,Marco Faraoni | Darko Lazovic | Adrien Tameze | Koray Günter | Thomas Henry | Lorenzo Montipò | Martin Hongla | Panagiotis Retsos | Pawel Dawidowicz | Ivan Ilic | Kevin Lasagna,Marten de Roon | Mario Pasalic | Teun Koopmeiners | Berat Gjimshiti | Caleb Okoli | Merih Demiral | Hans Hateboer | Juan Musso | Duván Zapata | Rafael Toloi | Joakim Maehle,7,8,3,2,1,1,2,2,13,13,1,1,2.47,0.54,-1.47,0.46,0.75,0.56,0,0,0,1,1.82,0.87,1.22,1.05,-0.66,0.89,-0.09,0.2,-3,6,-3,0,0,0,-1,4.179999999999993,1.9300000000000002,0.9500000000000001,0.16999999999999993
ITA-Serie A,2223,2022-08-28 Fiorentina-Napoli,18611,2022-08-28 18:45:00,1,X,Fiorentina,Napoli,0,0,4,6,10,6,4,3,4,6,0,0,0,0,3,2,0,0,0,0,0,0,0,0,5,5,0,0,0,0,3,3,1,1,-26,2,4,0,0,0,1,0,2,0,1,0,60.09,85.0,Pierluigi Gollini | Cristiano Biraghi | Aleksa Terzic | Giacomo Bonaventura | Nikola Milenkovic | Riccardo Sottil | Rolando Mandragora | Youssef Maleh | Dodô | Lucas Martínez Quarta | Luka Jovic,Mário Rui | Alex Meret | Victor Osimhen | Stanislav Lobotka | Amir Rrahmani | Giovanni Di Lorenzo | Franck Zambo | Piotr Zielinski | Hirving Lozano | Kim Min-Jae | Khvicha Kvaratskhelia,8,11,3,0,0,0,5,0,16,11,1,1,0.8,3.27,-0.8,0.73,0.61,0.62,0,0,0,0,1.21,2.93,0.6,2.8,0.34,-0.29,-0.15,0.0,-2,4,-2,0,0,4,-3,-24.909999999999997,-2.4699999999999998,-1.7200000000000002,-2.1999999999999997
ITA-Serie A,2223,2022-08-28 Lecce-Empoli,18610,2022-08-28 18:45:00,1,X,Lecce,Empoli,1,1,0,1,18,14,5,4,0,1,0,0,0,0,1,1,0,1,0,1,0,0,0,0,5,5,0,0,0,0,2,1,1,0,28,10,2,3,0,0,1,1,0,1,1,1,74.45,64.45,Federico Baschirotto | Alexis Blin | Kristijan Bistrovic | Gabriel Strefezza | Morten Hjulmand | Federico Di Francesco | Valentin Gendrey | Assan Ceesay | Joan Gonzàlez | Wladimiro Falcone | Antonino Gallo,Petar Stojanovic | Nedim Bajrami | Filippo Bandinelli | Guglielmo Vicario | Liam Henderson | Mattia Destro | Fabiano Parisi | Razvan Marin | Sebastiano Luperto | Sam Lammers | Ardian Ismajli,9,8,2,2,0,1,1,4,12,11,1,1,0.7,0.76,-0.7,-0.76,0.96,0.96,0,0,0,-2,0.67,0.46,0.39,0.67,0.06,0.48,0.02,0.39,-1,4,-1,0,0,-1,1,10.0,-0.06000000000000005,0.21000000000000002,-0.28
ITA-Serie A,2223,2022-08-30 Sassuolo-AC Milan,18612,2022-08-30 16:30:00,1,X,Sassuolo,AC Milan,0,0,4,7,13,2,4,1,3,6,0,0,0,0,1,2,0,0,0,0,0,0,0,0,3,5,0,0,0,0,2,2,0,1,7,3,1,5,0,0,0,2,1,2,0,1,80.27,49.64,Davide Frattesi | Andrea Pinamonti | Georgios Kyriakopoulos | Jeremy Toljan | Rogerio | Matheus Henrique | Andrea Consigli | Maxime Lopez | Gianmarco Ferrari | Martin Erlic | Domenico Berardi,Fikayo Tomori | Ante Rebic | Theo Hernández | Ismael Bennacer | Pierre Kalulu Kyatengwa | Rafael Leão | Olivier Giroud | Junior Messias | Mike Maignan | Davide Calabria | Sandro Tonali,10,6,1,4,0,1,1,1,15,14,1,1,2.88,2.91,-0.88,-0.91,0.67,0.65,0,0,-2,0,0.77,1.49,1.16,1.18,-0.2,-0.04,0.21,0.64,-3,11,-3,0,0,-4,4,30.629999999999995,-0.03000000000000025,-0.72,-0.020000000000000018
ITA-Serie A,2223,2022-08-30 Inter-Cremonese,18614,2022-08-30 18:45:00,1,1,Inter,Cremonese,3,1,6,0,7,19,4,5,5,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,2,0,0,3,2,4,4,0,0,1,1,1,3,2,0,58.27,56.82,Lautaro Martínez | Federico Dimarco | Hakan Calhanoglu | Samir Handanovic | Nicolò Barella | Stefan de Vrij | Denzel Dumfries | Milan Skriniar | Alessandro Bastoni | Romelu Lukaku | Marcelo Brozovic,David Okereke | Emanuele Valeri | Cyriel Dessers | Luca Zanimacchia | Matteo Bianchetti | Emanuel Aiwu | Ionut Radu | Charles Pickel | Johan Vásquez | Santiago Ascacibar | Paolo Ghiglione,8,8,2,3,1,0,1,4,14,16,1,1,1.63,0.82,-0.63,0.18,0.78,0.46,0,1,-3,0,1.04,0.82,1.43,0.35,1.05,0.19,0.9,0.05,6,-12,6,0,0,0,0,1.4500000000000028,0.8099999999999999,0.22000000000000008,1.08
ITA-Serie A,2223,2022-08-30 Roma-Monza,18613,2022-08-30 18:45:00,1,1,Roma,Monza,3,0,7,0,7,20,4,5,6,-1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,1,2,1,0,3,13,3,3,0,0,3,1,0,2,0,0,67.91,66.36,Gianluca Mancini | Tammy Abraham | Leonardo Spinazzola | Rui Patrício | Chris Smalling | Lorenzo Pellegrini | Paulo Dybala | Ibañez | Rick Karsdorp | Nicolo Zaniolo | Bryan Cristante,Samuele Birindelli | Mattia Valoti | Marlon Santos | Gianluca Caprari | Andrea Petagna | Marco D'Alessandro | Andrea Barberis | Stefano Sensi | Carlos Augusto | Filippo Ranocchia | Michele Di Gregorio,7,7,3,3,1,1,0,5,12,18,1,1,0.97,0.99,0.03,0.01,0.95,0.57,0,0,1,-3,1.6,0.44,1.18,0.34,0.61,-0.28,0.8,0.06,7,-13,7,0,0,0,0,1.5499999999999972,-0.020000000000000018,1.1600000000000001,0.8399999999999999
ITA-Serie A,2223,2022-08-31 Sampdoria-Lazio,18616,2022-08-31 16:30:00,1,X,Sampdoria,Lazio,1,1,1,7,18,5,5,2,0,6,0,0,0,0,2,2,0,0,0,1,1,1,0,0,5,5,0,0,0,0,1,2,1,1,-5,-3,5,1,0,0,2,0,2,1,1,0,53.09,79.55,Ronaldo Vieira | Alex Ferrari | Emil Audero | Mehdi Leris | Filip Djuricic | Abdelhamid Sabiri | Bartosz Bereszynski | Tomás Rincón | Francesco Caputo | Tommaso Augello | Omar Colley,Alessio Romagnoli | Patric | Ciro Immobile | Sergej Milinkovic-Savic | Adam Marusic | Danilo Cataldi | Matías Vecino | Manuel Lazzari | Mattia Zaccagni | Felipe Anderson | Ivan Provedel,8,10,3,1,0,0,2,1,13,13,1,1,1.71,1.0,-1.71,2.0,0.47,0.39,0,3,-1,3,0.85,0.73,0.44,0.66,-0.18,-0.07,0.06,-0.04,-6,13,-6,0,0,4,-2,-26.459999999999994,0.71,0.12,-0.22000000000000003
ITA-Serie A,2223,2022-08-31 Udinese-Fiorentina,18617,2022-08-31 16:30:00,1,1,Udinese,Fiorentina,1,0,4,5,12,9,4,4,3,4,0,0,0,0,2,2,0,0,1,0,0,0,0,0,5,5,0,0,0,0,2,2,0,1,46,13,1,9,0,1,1,3,0,2,0,3,74.45,22.27,Rodrigo Becão | Marco Silvestri | Gerard Deulofeu | Jean-Victor Makengo | Isaac Success | Walace | Bram Nuytinck | Iyenoma Destiny Udogie | Nehuén Pérez | Roberto Pereyra | Adam Masina,Pierluigi Gollini | Cristiano Biraghi | Jonathan Ikone | Giacomo Bonaventura | Nikola Milenkovic | Riccardo Sottil | Youssef Maleh | Dodô | Lucas Martínez Quarta | Sofyan Amrabat | Luka Jovic,8,2,2,8,1,1,1,4,15,17,1,0,2.26,0.38,-0.26,-0.38,0.53,0.49,1,0,3,-2,1.43,0.28,0.87,0.47,-0.54,0.93,-0.25,0.67,-1,3,-1,0,0,-8,6,52.18000000000001,1.88,1.15,0.4
ITA-Serie A,2223,2022-08-31 Empoli-Verona,18615,2022-08-31 16:30:00,1,X,Empoli,Verona,1,1,2,1,14,17,4,4,1,0,0,0,0,0,2,3,0,0,0,0,0,1,0,0,5,5,0,0,0,0,2,3,1,1,-6,-5,3,3,0,0,1,2,2,1,0,0,60.64,65.64,Petar Stojanovic | Nedim Bajrami | Filippo Bandinelli | Guglielmo Vicario | Liam Henderson | Mattia Destro | Fabiano Parisi | Razvan Marin | Sebastiano Luperto | Sam Lammers | Ardian Ismajli,Marco Faraoni | Filippo Terracciano | Diego Coppola | Darko Lazovic | Adrien Tameze | Koray Günter | Thomas Henry | Lorenzo Montipò | Martin Hongla | Ivan Ilic | Kevin Lasagna,7,9,4,1,0,1,4,3,14,16,1,1,0.38,0.37,0.62,-0.37,0.79,0.56,0,0,1,0,0.41,1.29,0.41,1.11,0.05,0.53,0.24,0.04,1,-3,1,0,0,0,-2,-5.0,0.010000000000000009,-0.8800000000000001,-0.7000000000000002
