LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ITA-Serie A,1920,2020-07-29 Sampdoria-AC Milan,13456,2020-07-29 17:30:00,1,2,Sampdoria,AC Milan,1,4,41,60,15,6,4,3,6,25,0,0,0,0,3,1,1,0,1,0,0,0,2,3,3,4,1,0,0,0,2,0,0,0,-10,52,4,2,1,0,2,1,2,1,0,0,56.27,66.73,Karol Linetty | Omar Colley | Maya Yoshida | Tommaso Augello | Bartosz Bereszynski | Fabio Depaoli | Manolo Gabbiadini | Emil Audero | Jakub Jankto | Morten Thorsby | Albin Ekdal,Ismael Bennacer | Hakan Calhanoglu | Franck Kessié | Andrea Conti | Alessio Romagnoli | Zlatan Ibrahimovic | Alexis Saelemaekers | Simon Kjaer | Gianluigi Donnarumma | Ante Rebic | Theo Hernández,7,9,1,0,3,2,1,2,17,15,0,1,1.09,0.46,-1.09,0.54,0.47,0.78,0,0,0,0,1.08,1.79,0.89,1.05,0.09,-0.19,-0.37,-0.04,-19,9,-19,0,0,2,-2,-10.46,0.6300000000000001,-0.71,-0.16000000000000003
ITA-Serie A,1920,2020-07-29 Sassuolo-Genoa,13455,2020-07-29 17:30:00,1,1,Sassuolo,Genoa,5,0,48,36,9,17,4,4,13,1,0,0,0,0,3,2,0,0,0,0,0,0,1,4,5,4,0,0,0,0,3,2,0,0,-2,-9,2,6,0,0,1,2,1,3,0,1,75.36,45.36,Francesco Magnanelli | Domenico Berardi | Jeremie Boga | Manuel Locatelli | Francesco Caputo | Filip Djuricic | Marlon Santos | Gianmarco Ferrari | Mert Müldür | Rogerio | Andrea Consigli,Andrea Pinamonti | Cristian Romero | Valon Behrami | Cristian Zapata | Edoardo Goldaniga | Lasse Schöne | Mattia Perin | Iago Falque | Goran Pandev | Davide Biraschi | Andrea Masiello,8,8,0,2,3,1,0,3,17,19,1,1,0.64,0.4,-0.64,-0.4,0.86,0.68,0,0,0,0,1.02,0.74,0.99,0.44,0.08,0.31,0.09,0.19,12,-8,12,0,0,-4,0,30.0,0.24,0.28,0.55
ITA-Serie A,1920,2020-07-29 Cagliari-Juventus,13449,2020-07-29 19:45:00,1,1,Cagliari,Juventus,2,0,42,83,13,1,4,1,7,48,0,0,0,0,2,4,0,0,1,1,0,0,3,4,5,4,0,2,0,0,1,2,0,0,-9,-33,5,6,0,1,1,2,4,2,1,2,54.91,51.73,Giovanni Simeone | Nahitan Nández | João Pedro | Sebastian Walukiewicz | Artur Ionita | Charalampos Lykogiannis | Fabio Pisacane | Federico Mattiello | Marko Rog | Alessio Cragno | Ragnar Klavan,Danilo | Rodrigo Bentancur | Wojciech Szczesny | Adrien Rabiot | Cristiano Ronaldo | Matthijs de Ligt | Juan Cuadrado | Leonardo Bonucci | Paulo Dybala | Federico Bernardeschi | Miralem Pjanic,8,6,1,0,2,5,3,1,18,16,1,0,1.22,3.56,-1.22,-1.56,0.77,0.65,0,1,0,0,0.79,1.94,0.36,0.92,0.25,-0.24,0.11,0.09,-41,12,-41,0,0,-1,2,3.1799999999999997,-2.34,-1.15,-0.56
ITA-Serie A,1920,2020-07-29 Fiorentina-Bologna,13451,2020-07-29 19:45:00,1,1,Fiorentina,Bologna,4,0,43,46,12,11,4,4,8,11,0,0,0,0,4,1,0,0,0,1,0,0,4,1,3,5,0,0,0,0,1,1,0,0,-4,-5,4,4,0,0,2,1,1,1,3,2,61.0,60.91,Pietro Terracciano | Martín Cáceres | Alfred Duncan | Pol Lirola | Germán Pezzella | Federico Chiesa | Franck Ribéry | Erick Pulgar | Rachid Ghezzal | Nikola Milenkovic | Gaetano Castrovilli,Danilo | Musa Barrow | Riccardo Orsolini | Gary Medel | Stefano Denswil | Roberto Soriano | Lukasz Skorupski | Rodrigo Palacio | Takehiro Tomiyasu | Mitchell Dijks | Nicola Sansone,8,8,2,0,1,3,4,1,16,18,1,1,0.71,2.69,0.29,0.31,0.8,0.47,0,1,0,0,1.14,0.85,0.73,0.7,-0.18,-0.17,-0.2,0.08,-3,1,-3,0,0,0,0,0.09000000000000341,-1.98,0.2899999999999999,0.030000000000000027
ITA-Serie A,1920,2020-07-29 Torino-Roma,13454,2020-07-29 19:45:00,1,2,Torino,Roma,2,3,39,64,16,5,4,2,4,29,0,0,0,0,3,1,0,0,0,0,0,0,3,3,2,3,0,0,0,0,1,2,0,0,56,14,4,2,1,0,3,0,1,2,0,0,59.0,73.64,Salvatore Sirigu | Soualiho Meité | Bremer | Tomás Rincón | Andrea Belotti | Simone Verdi | Simone Zaza | Lorenzo De Silvestri | Ola Aina | Nicolas N'Koulou | Alex Berenguer,Henrikh Mkhitaryan | Ibañez | Leonardo Spinazzola | Edin Dzeko | Aleksandar Kolarov | Jordan Veretout | Bruno Peres | Lorenzo Pellegrini | Amadou Diawara | Gianluca Mancini | Pau López,6,8,2,2,3,1,2,0,15,15,0,1,1.58,2.94,-0.58,-0.94,0.36,0.69,0,0,0,0,0.63,1.45,0.55,1.14,0.67,0.04,0.67,0.35,-25,11,-25,0,0,2,-2,-14.64,-1.3599999999999999,-0.82,-0.5899999999999999
ITA-Serie A,1920,2020-08-01 Brescia-Sampdoria,13465,2020-08-01 16:00:00,1,X,Brescia,Sampdoria,1,1,24,41,19,15,5,4,-11,6,0,0,0,0,2,1,0,0,1,1,0,0,1,1,2,5,0,0,0,0,2,3,0,0,11,31,2,5,0,0,1,2,1,3,0,1,72.45,52.55,Alessandro Semprini | Jesse Joronen | Sandro Tonali | Nikolas Spalek | Ales Mateju | Daniele Dessena | Jaromir Zmrhal | Andrea Papetti | Ernesto Torregrossa | Stefano Sabelli | Alfredo Donnarumma,Karol Linetty | Omar Colley | Maya Yoshida | Tommaso Augello | Bartosz Bereszynski | Fabio Depaoli | Manolo Gabbiadini | Emil Audero | Jakub Jankto | Morten Thorsby | Albin Ekdal,7,4,2,4,2,3,2,3,18,18,1,1,0.79,2.77,-0.79,-1.77,0.75,0.69,0,2,0,0,0.88,1.01,0.6,0.6,-0.18,0.07,0.18,-0.3,-17,4,-17,0,0,-3,3,19.900000000000006,-1.98,-0.13,0.0
ITA-Serie A,1920,2020-08-01 Atalanta-Inter,13459,2020-08-01 18:45:00,1,2,Atalanta,Inter,0,2,78,79,3,2,1,1,43,44,0,0,0,0,1,4,0,0,0,0,0,0,2,1,5,5,1,0,0,0,1,1,0,0,-12,-1,2,4,0,0,4,1,1,3,0,1,71.09,62.64,Berat Gjimshiti | Mario Pasalic | Remo Freuler | Duván Zapata | Timothy Castagne | Robin Gosens | Pierluigi Gollini | Mattia Caldara | Rafael Toloi | Alejandro Gomez | Marten de Roon,Stefan de Vrij | Samir Handanovic | Danilo D'Ambrosio | Alessandro Bastoni | Roberto Gagliardini | Romelu Lukaku | Marcelo Brozovic | Alexis Sánchez | Ashley Young | Lautaro Martínez | Antonio Candreva,11,9,0,1,0,1,4,2,15,19,0,1,1.14,0.6,0.86,1.4,0.76,0.47,1,1,0,0,1.06,1.91,0.78,0.82,0.22,-0.17,0.0,0.31,-1,1,-1,0,0,-2,2,8.450000000000003,0.5399999999999999,-0.8499999999999999,-0.039999999999999925
ITA-Serie A,1920,2020-08-01 Juventus-Roma,13467,2020-08-01 18:45:00,1,2,Juventus,Roma,1,3,83,67,1,5,1,2,48,32,0,0,0,0,1,3,0,0,1,0,0,0,1,0,4,5,0,0,0,0,1,1,0,0,36,-11,6,9,1,1,2,4,2,3,1,1,43.27,21.27,Danilo | Rodrigo Bentancur | Wojciech Szczesny | Juan Cuadrado | Cristiano Ronaldo | Matthijs de Ligt | Adrien Rabiot | Leonardo Bonucci | Federico Bernardeschi | Paulo Dybala | Miralem Pjanic,Henrikh Mkhitaryan | Chris Smalling | Leonardo Spinazzola | Edin Dzeko | Aleksandar Kolarov | Jordan Veretout | Bruno Peres | Lorenzo Pellegrini | Amadou Diawara | Gianluca Mancini | Pau López,5,1,0,1,6,9,1,0,18,14,0,0,1.26,2.42,-1.26,0.58,0.57,0.47,0,0,0,0,0.81,1.01,0.54,0.49,1.13,0.44,1.16,0.61,16,-4,16,0,0,-3,4,22.000000000000004,-1.16,-0.19999999999999996,0.050000000000000044
ITA-Serie A,1920,2020-08-01 AC Milan-Cagliari,13464,2020-08-01 18:45:00,1,1,AC Milan,Cagliari,3,0,63,45,6,13,3,4,28,10,0,0,0,0,1,2,0,0,1,1,0,0,2,4,5,4,0,0,0,0,2,1,0,0,-10,-9,2,3,0,0,0,2,0,1,2,1,74.18,69.0,Ismael Bennacer | Hakan Calhanoglu | Franck Kessié | Alessio Romagnoli | Zlatan Ibrahimovic | Alexis Saelemaekers | Simon Kjaer | Gianluigi Donnarumma | Ante Rebic | Theo Hernández | Davide Calabria,Giovanni Simeone | Nahitan Nández | João Pedro | Sebastian Walukiewicz | Artur Ionita | Charalampos Lykogiannis | Federico Mattiello | Luca Ceppitelli | Marko Rog | Alessio Cragno | Ragnar Klavan,8,9,1,0,2,2,3,3,15,16,1,1,3.11,1.07,0.89,0.93,0.5,0.78,2,0,0,0,1.9,0.6,1.13,0.44,-0.11,0.19,0.06,0.18,18,-7,18,0,0,-1,-1,5.180000000000007,2.04,1.2999999999999998,0.69
ITA-Serie A,1920,2020-08-01 Napoli-Lazio,13462,2020-08-01 18:45:00,1,1,Napoli,Lazio,3,1,59,78,7,4,4,1,24,43,0,0,0,0,1,1,0,0,0,0,0,0,1,1,5,5,0,0,0,0,3,3,0,0,6,-13,7,1,1,0,2,1,2,0,2,0,29.09,80.82,Lorenzo Insigne | Nikola Maksimovic | Giovanni Di Lorenzo | Fabián | Piotr Zielinski | Alex Meret | Diego Demme | Elseid Hysaj | Stanislav Lobotka | Kalidou Koulibaly | Mário Rui,Thomas Strakosha | Luis Alberto | Ciro Immobile | Marco Parolo | Francesco Acerbi | Sergej Milinkovic-Savic | Manuel Lazzari | Patric | Felipe Caicedo | Luiz Felipe | Jony,7,9,1,0,3,2,4,2,19,14,0,1,1.17,4.04,-1.17,-2.04,0.66,0.54,0,0,0,0,1.31,1.51,1.02,0.74,-0.56,-0.35,-0.54,-0.18,-19,3,-19,0,0,6,-2,-51.72999999999999,-2.87,-0.19999999999999996,0.28
