LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ITA-Serie A,2122,2021-12-19 Spezia-Empoli,16934,2021-12-19 14:00:00,1,X,Spezia,Empoli,1,1,12,26,17,9,4,4,2,16,0,0,1,1,1,1,0,0,0,0,1,1,0,2,4,5,1,0,0,0,0,2,0,1,-53,-1,3,5,0,0,0,2,2,2,1,1,72.18,50.64,Simone Bastoni | Petko Hristov | Ivan Provedel | Kelvin Adou | Martin Erlic | David Strelec | Dimitris Nikolaou | Emmanuel Gyasi | M'Bala Nzola | Viktor Kovalenko | Giulio Maggiore,Guglielmo Vicario | Nicolas Haas | Liam Henderson | Andrea Pinamonti | Patrick Cutrone | Petar Stojanovic | Federico Di Francesco | Riccardo Marchizza | Samuele Ricci | Lorenzo Tonelli | Sebastiano Luperto,8,9,3,1,0,1,4,2,15,19,1,1,0.61,0.64,-0.61,0.36,0.66,0.72,0,0,0,0,0.89,0.9,0.64,0.62,-0.17,0.12,-0.2,0.11,-14,8,-14,0,0,-2,-1,21.540000000000006,-0.030000000000000027,-0.010000000000000009,0.020000000000000018
ITA-Serie A,2122,2021-12-19 Torino-Verona,16935,2021-12-19 17:00:00,1,1,Torino,Verona,1,0,22,23,13,12,4,4,12,13,0,0,1,0,2,2,0,0,0,0,0,0,0,2,3,4,0,0,0,0,2,1,1,0,-1,31,1,1,0,0,1,2,0,2,0,0,77.0,76.55,Tommaso Pobega | Alessandro Buongiorno | Wilfried Stephane Singo | Bremer | Koffi Djidji | Josip Brekalo | Sasa Lukic | Dennis Praet | Mergim Vojvoda | Vanja Milinkovic-Savic | Ola Aina,Nicolò Casale | Antonin Barak | Giovanni Simeone | Lorenzo Montipò | Federico Ceccherini | Gianluca Caprari | Darko Lazovic | Miguel Veloso | Adrien Tameze | Pawel Dawidowicz | Marco Faraoni,8,8,3,1,0,2,2,0,14,15,1,1,2.13,1.01,-0.13,-0.01,0.75,0.5,0,0,0,-1,1.11,1.07,0.91,0.95,-0.07,-0.03,-0.12,0.3,-1,1,-1,0,1,0,0,0.45000000000000284,1.1199999999999999,0.040000000000000036,-0.039999999999999925
ITA-Serie A,2122,2021-12-19 Sampdoria-Venezia,16933,2021-12-19 17:00:00,1,X,Sampdoria,Venezia,1,1,18,16,15,16,4,4,8,6,0,0,1,1,2,4,0,0,0,0,0,1,0,2,4,5,0,0,0,0,1,3,0,1,22,53,0,4,0,0,0,2,1,1,1,2,85.0,57.27,Adrien Silva | Tommaso Augello | Antonio Candreva | Morten Thorsby | Francesco Caputo | Maya Yoshida | Albin Ekdal | Bartosz Bereszynski | Manolo Gabbiadini | Emil Audero | Omar Colley,Domen Crnigoj | Ethan Ampadu | Mattia Caldara | Sergio Romero | Ridgeciano Haps | Pietro Ceccaroni | Thomas Henry | David Okereke | Sofian Kiyine | Mattia Aramu | Gianluca Busio,11,7,0,3,0,1,0,3,16,18,1,1,2.1,0.43,0.9,0.57,0.7,0.76,0,0,0,1,1.05,0.48,0.77,0.56,-0.14,0.19,0.0,0.38,2,-1,2,0,0,-4,4,27.729999999999997,1.6700000000000002,0.5700000000000001,0.20999999999999996
ITA-Serie A,2122,2021-12-19 AC Milan-Napoli,16931,2021-12-19 19:45:00,1,2,AC Milan,Napoli,0,1,39,36,2,4,1,1,29,26,0,0,0,0,1,0,0,0,0,0,0,2,0,1,5,5,0,1,0,0,1,1,0,0,33,-35,4,3,0,0,1,1,2,1,1,1,64.36,59.18,Davide Calabria | Alexis Saelemaekers | Zlatan Ibrahimovic | Theo Hernández | Fikayo Tomori | Rade Krunic | Ciprian Tatarusanu | Simon Kjaer | Franck Kessié | Ismael Bennacer | Rafael Leão,Amir Rrahmani | Hirving Lozano | Eljif Elmas | David Ospina | Franck Zambo | Piotr Zielinski | Fabián | Lorenzo Insigne | Kalidou Koulibaly | Mário Rui | Giovanni Di Lorenzo,4,7,3,0,4,4,4,1,18,16,1,1,1.15,1.63,-0.15,-1.63,0.42,0.45,0,0,1,-1,1.28,0.43,0.53,0.5,-0.23,0.2,0.0,0.64,3,-2,3,0,0,1,-3,5.18,-0.48,0.8500000000000001,0.030000000000000027
ITA-Serie A,2122,2021-12-21 Genoa-Atalanta,16937,2021-12-21 19:45:00,1,X,Genoa,Atalanta,0,0,10,37,18,4,5,1,0,27,0,0,0,0,3,1,0,0,0,0,0,0,2,2,5,5,0,1,0,0,1,2,1,0,-9,-13,3,6,0,1,2,2,0,3,1,0,67.45,41.55,Paolo Ghiglione | Nicolo Rovella | Andrea Masiello | Caleb Ekuban | Stefano Sturaro | Johan Vásquez | Andrea Cambiaso | Domenico Criscito | Davide Biraschi | Milan Badelj | Salvatore Sirigu,Davide Zappacosta | Merih Demiral | Duván Zapata | Teun Koopmeiners | Juan Musso | Ruslan Malinovskiy | Remo Freuler | José Luis Palomino | Mario Pasalic | Marten de Roon | Joakim Maehle,8,7,2,3,1,1,2,3,19,19,1,0,0.17,1.47,0.83,-0.47,0.84,0.81,1,0,0,0,0.93,1.14,0.25,0.98,0.04,0.56,-0.35,0.41,-27,14,-27,0,0,-3,1,25.900000000000006,-1.3,-0.20999999999999985,-0.73
ITA-Serie A,2122,2021-12-21 Juventus-Cagliari,16940,2021-12-21 19:45:00,1,1,Juventus,Cagliari,2,0,31,10,7,19,4,5,20,-1,0,0,0,0,1,2,0,1,0,1,1,0,1,1,5,5,0,0,0,0,1,0,0,1,50,-11,2,4,0,0,1,2,1,2,0,1,73.09,55.09,Paulo Dybala | Alex Sandro | Matthijs de Ligt | Juan Cuadrado | Leonardo Bonucci | Wojciech Szczesny | Manuel Locatelli | Weston McKennie | Federico Bernardeschi | Álvaro Morata | Adrien Rabiot,Andrea Carboni | Luca Ceppitelli | Raoul Bellanova | Nahitan Nández | Alessio Cragno | Alberto Grassi | Charalampos Lykogiannis | João Pedro | Keita | Gabriele Zappa | Razvan Marin,8,8,2,1,1,2,1,1,17,14,1,1,1.4,0.18,0.6,-0.18,0.63,0.82,0,0,0,0,1.4,0.4,0.69,0.38,0.09,0.39,0.37,0.16,21,-12,21,0,0,-2,0,18.0,1.22,0.9999999999999999,0.30999999999999994
ITA-Serie A,2122,2021-12-22 Venezia-Lazio,16945,2021-12-22 15:30:00,1,2,Venezia,Lazio,1,3,17,28,16,8,4,4,6,17,0,0,0,0,1,0,0,0,0,0,0,0,2,1,5,5,0,0,0,0,1,3,0,0,-1,19,3,1,0,0,0,1,4,0,1,0,67.36,80.09,Pasquale Mazzocchi | Ethan Ampadu | Mattia Caldara | Sergio Romero | Ridgeciano Haps | Pietro Ceccaroni | Thomas Henry | David Okereke | Sofian Kiyine | Mattia Aramu | Gianluca Busio,Sergej Milinkovic-Savic | Adam Marusic | Ciro Immobile | Luis Alberto | Danilo Cataldi | Felipe Anderson | Elseid Hysaj | Luiz Felipe | Francesco Acerbi | Pedro | José Reina,7,7,3,2,1,2,3,0,18,13,1,1,0.83,2.07,0.17,0.93,0.8,0.68,2,2,1,2,0.53,0.7,0.43,0.56,-0.05,-0.15,0.28,0.48,-11,8,-11,0,0,2,0,-12.730000000000004,-1.2399999999999998,-0.16999999999999993,-0.13000000000000006
ITA-Serie A,2122,2021-12-22 Sassuolo-Bologna,16943,2021-12-22 15:30:00,1,2,Sassuolo,Bologna,0,3,24,24,11,12,4,4,13,13,0,0,0,0,5,1,0,0,0,0,0,0,1,3,5,5,0,0,0,0,2,4,1,0,-15,-21,5,3,1,0,3,3,1,1,1,0,46.18,67.55,Gianluca Scamacca | Vlad Chiriches | Maxime Lopez | Jeremy Toljan | Gianmarco Ferrari | Hamed Junior Traore | Rogerio | Davide Frattesi | Andrea Consigli | Giacomo Raspadori | Domenico Berardi,Lorenzo De Silvestri | Musa Barrow | Roberto Soriano | Aaron Hickey | Arthur Theate | Adama Soumaoro | Gary Medel | Marko Arnautovic | Nicolás Domínguez | Lukasz Skorupski | Mattias Svanberg,7,8,3,2,1,1,0,2,16,14,0,1,1.0,0.86,1.0,-0.86,0.77,0.7,0,0,-2,0,1.14,0.87,0.84,0.55,0.31,0.24,0.12,0.09,0,-1,0,0,0,2,-1,-21.369999999999997,0.14,0.2699999999999999,0.2899999999999999
ITA-Serie A,2122,2021-12-22 Inter-Torino,16939,2021-12-22 17:30:00,1,1,Inter,Torino,1,0,43,25,1,11,1,4,32,14,0,0,0,1,2,1,0,0,1,0,0,1,2,2,5,5,0,0,0,0,1,3,1,0,-16,11,3,3,0,0,1,2,1,1,1,0,65.73,64.73,Lautaro Martínez | Denzel Dumfries | Samir Handanovic | Hakan Calhanoglu | Edin Dzeko | Milan Skriniar | Marcelo Brozovic | Nicolò Barella | Stefan de Vrij | Alessandro Bastoni | Ivan Perisic,Tommaso Pobega | Alessandro Buongiorno | Wilfried Stephane Singo | Bremer | Koffi Djidji | Antonio Sanabria | Sasa Lukic | Dennis Praet | Mergim Vojvoda | Vanja Milinkovic-Savic | Ola Aina,10,9,0,1,1,1,0,2,14,15,1,1,3.31,0.86,1.69,0.14,0.66,0.83,2,0,0,0,1.91,1.24,1.04,0.73,-0.52,-0.13,0.06,-0.13,18,-10,18,0,-1,0,1,1.0,2.45,0.6699999999999999,0.31000000000000005
ITA-Serie A,2122,2021-12-22 Roma-Sampdoria,16942,2021-12-22 17:30:00,1,X,Roma,Sampdoria,1,1,31,19,6,15,3,4,20,8,0,0,0,1,3,2,0,0,0,0,1,0,2,1,4,4,0,0,0,0,0,2,0,1,6,-8,0,2,0,1,0,0,2,1,0,1,88.36,67.0,Jordan Veretout | Tammy Abraham | Rui Patrício | Ibañez | Henrikh Mkhitaryan | Rick Karsdorp | Gianluca Mancini | Bryan Cristante | Lorenzo Pellegrini | Matias Viña | Nicolo Zaniolo,Adrien Silva | Tommaso Augello | Antonio Candreva | Morten Thorsby | Francesco Caputo | Maya Yoshida | Albin Ekdal | Bartosz Bereszynski | Manolo Gabbiadini | Emil Audero | Omar Colley,10,9,0,1,1,1,2,0,14,15,1,0,2.03,1.81,1.97,-0.81,0.94,0.86,0,0,0,-2,1.37,0.93,0.9,0.73,-0.02,0.12,0.15,0.18,12,-9,12,0,-1,-2,1,21.36,0.21999999999999975,0.44000000000000006,0.17000000000000004
