LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ITA-Serie A,2324,2024-02-04 Atalanta-Lazio,22526,2024-02-04 17:00:00,1,1,Atalanta,Lazio,3,1,36,34,4,9,1,4,18,16,0,0,0,0,2,3,0,0,0,1,1,0,1,1,5,4,0,0,0,0,1,3,1,1,14,48,1,1,0,0,0,0,3,1,2,0,79.36,78.91,Sead Kolasinac | Berat Gjimshiti | Mario Pasalic | Charles De Ketelaere | Matteo Ruggeri | Ademola Lookman | Teun Koopmeiners | Éderson | Giorgio Scalvini | Marco Carnesecchi | Marten de Roon,Matteo Guendouzi | Mattia Zaccagni | Adam Marusic | Nicolo Rovella | Manuel Lazzari | Luis Alberto | Ciro Immobile | Patric | Ivan Provedel | Mario Gila | Felipe Anderson,9,8,0,1,2,2,0,0,12,16,1,1,1.32,0.41,0.68,-0.41,0.74,0.75,0,0,0,0,1.03,0.81,0.76,0.72,0.15,-0.03,0.34,0.21,2,-5,2,0,0,0,1,0.45000000000000284,0.9100000000000001,0.21999999999999997,0.040000000000000036
ITA-Serie A,2324,2024-02-04 Inter-Juventus,22532,2024-02-04 19:45:00,1,1,Inter,Juventus,1,0,54,53,1,2,1,1,36,35,0,0,0,0,3,1,0,1,0,1,0,0,2,1,5,3,0,1,0,0,2,2,1,0,-5,-42,4,3,0,0,2,1,2,1,0,1,50.91,64.55,Alessandro Bastoni | Carlos Augusto | Federico Dimarco | Nicolò Barella | Lautaro Martínez | Yann Sommer | Marcus Thuram | Henrikh Mkhitaryan | Hakan Calhanoglu | Matteo Darmian | Francesco Acerbi,Federico Gatti | Wojciech Szczesny | Andrea Cambiaso | Federico Chiesa | Dusan Vlahovic | Bremer | Manuel Locatelli | Weston McKennie | Filip Kostic | Danilo | Adrien Rabiot,10,10,1,1,0,0,1,0,16,15,1,1,0.62,1.02,0.38,-0.02,0.8,0.71,0,0,0,1,2.16,1.47,1.38,0.74,-0.51,-0.07,-0.01,0.23,1,-1,1,0,0,1,0,-13.64,-0.4,0.6900000000000002,0.6399999999999999
ITA-Serie A,2324,2024-02-05 Roma-Cagliari,22533,2024-02-05 19:45:00,1,1,Roma,Cagliari,4,0,35,18,6,18,3,5,17,0,0,0,0,0,3,2,0,0,0,0,0,1,2,0,3,5,0,1,0,0,2,0,1,1,48,-44,2,4,0,0,1,2,1,1,0,1,71.64,63.09,Paulo Dybala | Gianluca Mancini | Rui Patrício | Romelu Lukaku | Evan Ndicka | Leandro Paredes | Rasmus Kristensen | Lorenzo Pellegrini | Diego Llorente | Edoardo Bove | Bryan Cristante,Andrea Petagna | Tommaso Augello | Matteo Prati | Edoardo Goldaniga | Nicolas Viola | Simone Scuffet | Sulemana | Gabriele Zappa | Nahitan Nández | Antoine Makoumbou | Alberto Dossena,8,7,2,2,1,2,1,3,16,14,1,1,1.49,2.0,0.51,-1.0,0.96,0.48,0,1,3,-1,1.24,0.73,0.76,0.41,0.07,-0.02,0.05,0.03,17,-12,17,0,0,-2,1,8.549999999999997,-0.51,0.51,0.35000000000000003
ITA-Serie A,2324,2024-02-09 Salernitana-Empoli,22541,2024-02-09 19:45:00,1,2,Salernitana,Empoli,1,3,13,18,20,18,5,5,-5,0,0,0,0,0,1,2,0,0,0,1,1,0,2,2,4,5,0,0,0,0,1,1,1,1,-1,-3,2,1,0,0,1,1,0,0,1,0,75.82,75.0,Federico Fazio | Loum Tchaouna | Giulio Maggiore | Domagoj Bradaric | Benoit Costil | Antonio Candreva | Simy | Lassana Coulibaly | Mateusz Legowski | Pasquale Mazzocchi | Norbert Gyömbér,Sebastiano Luperto | Elia Caprile | Emmanuel Gyasi | Sebastian Walukiewicz | Liberato Cacace | Bartosz Bereszynski | Ardian Ismajli | Nicolò Cambiaghi | Youssef Maleh | Tyronne Ebuehi | Alberto Grassi,3,9,6,0,2,2,3,3,17,13,1,1,0.08,0.59,-0.08,-0.59,1.0,0.58,0,0,0,-2,0.75,0.91,0.6,0.41,-0.3,0.16,-0.24,-0.47,-5,2,-5,0,0,1,-6,0.8199999999999932,-0.51,-0.16000000000000003,0.19
ITA-Serie A,2324,2024-02-10 Cagliari-Lazio,22536,2024-02-10 14:00:00,1,2,Cagliari,Lazio,1,3,18,34,19,9,5,4,0,16,0,1,0,0,1,3,0,0,0,1,0,0,0,0,5,5,0,0,0,0,1,0,1,1,54,-24,3,3,0,0,1,1,3,1,0,1,64.73,59.73,Andrea Petagna | Tommaso Augello | Matteo Prati | Edoardo Goldaniga | Nicolas Viola | Simone Scuffet | Sulemana | Gabriele Zappa | Nahitan Nández | Antoine Makoumbou | Alberto Dossena,Matteo Guendouzi | Mattia Zaccagni | Adam Marusic | Nicolo Rovella | Manuel Lazzari | Luis Alberto | Patric | Ivan Provedel | Mario Gila | Valentín Castellanos | Felipe Anderson,5,6,4,3,2,2,3,1,16,15,1,1,0.5,1.3,-0.5,-0.3,0.52,0.85,0,1,0,0,0.68,0.77,0.57,0.61,0.05,0.04,0.0,0.18,-16,10,-16,-1,0,0,-1,5.000000000000007,-0.8,-0.08999999999999997,-0.040000000000000036
ITA-Serie A,2324,2024-02-10 Roma-Inter,22544,2024-02-10 17:00:00,1,2,Roma,Inter,2,4,38,57,5,1,2,1,20,39,0,0,0,0,1,2,0,0,0,0,1,1,1,2,5,5,0,0,0,0,1,1,1,1,-18,12,1,0,0,0,1,0,0,0,0,0,74.82,86.0,Paulo Dybala | Rui Patrício | Gianluca Mancini | Romelu Lukaku | Leandro Paredes | Rasmus Kristensen | Lorenzo Pellegrini | Stephan El Shaarawy | Diego Llorente | Edoardo Bove | Bryan Cristante,Alessandro Bastoni | Carlos Augusto | Federico Dimarco | Nicolò Barella | Lautaro Martínez | Yann Sommer | Marcus Thuram | Henrikh Mkhitaryan | Hakan Calhanoglu | Matteo Darmian | Francesco Acerbi,8,10,3,1,0,0,2,1,15,15,1,1,3.37,1.64,0.63,-0.64,0.48,0.79,1,0,0,3,1.55,2.08,1.31,1.38,-0.31,0.08,0.0,-0.02,-19,4,-19,0,0,1,-2,-11.180000000000007,1.7300000000000002,-0.53,-0.06999999999999984
ITA-Serie A,2324,2024-02-10 Sassuolo-Torino,22540,2024-02-10 19:45:00,1,X,Sassuolo,Torino,1,1,19,32,16,10,4,4,1,14,0,0,0,0,3,2,0,0,0,0,0,1,3,1,5,5,0,1,0,0,2,2,0,0,12,-23,1,3,0,0,0,4,1,2,1,1,75.82,60.27,Jeremy Toljan | Armand Lauriente | Daniel Boloca | Kristian Thorstvedt | Andrea Pinamonti | Matheus Henrique | Domenico Berardi | Marcus Pedersen | Gianmarco Ferrari | Martin Erlic | Andrea Consigli,Ricardo Rodríguez | Raoul Bellanova | Duván Zapata | Alessandro Buongiorno | Vanja Milinkovic-Savic | Adrien Tameze | Antonio Sanabria | Valentino Lazaro | Nikola Vlasic | Samuele Ricci | Ivan Ilic,7,9,1,1,3,1,1,5,17,14,1,0,0.9,0.74,1.1,-0.74,0.78,0.36,0,0,-3,0,0.87,1.09,0.54,0.8,-0.18,0.08,0.43,0.1,-13,6,-13,0,0,-2,-2,15.54999999999999,0.16000000000000003,-0.22000000000000008,-0.26
ITA-Serie A,2324,2024-02-11 Fiorentina-Frosinone,22537,2024-02-11 11:30:00,1,1,Fiorentina,Frosinone,5,1,34,23,9,14,4,4,16,5,0,0,0,0,3,1,0,0,1,0,0,0,2,0,5,5,0,0,0,0,1,5,1,0,-1,29,6,2,0,0,2,2,2,1,3,0,46.0,71.64,M'Bala Nzola | Arthur | Alfred Duncan | Michael Kayode | Luca Ranieri | Lucas Beltrán | Lucas Martínez Quarta | Pietro Terracciano | Giacomo Bonaventura | Cristiano Biraghi | Jonathan Ikone,Enzo Barrenechea | Francesco Gelli | Marco Brescianini | Stefano Turati | Ilario Monterisi | Simone Romagnoli | Abdou Harroui | Caleb Okoli | Kaio Jorge | Luca Mazzitelli | Matìas Soulè Malvano,7,9,3,2,1,0,1,3,17,15,1,1,1.08,1.07,0.92,0.93,0.76,0.72,1,0,0,-3,1.34,1.14,0.48,0.61,-0.35,0.07,-0.21,0.06,11,-5,11,0,0,4,-2,-25.64,0.010000000000000009,0.20000000000000018,-0.13
ITA-Serie A,2324,2024-02-11 Monza-Verona,22543,2024-02-11 14:00:00,1,X,Monza,Verona,0,0,29,18,12,18,4,5,11,0,0,0,0,0,2,2,0,0,0,1,0,0,1,2,5,5,0,0,0,0,1,4,0,1,-2,-6,4,2,0,0,3,1,0,1,1,1,57.45,73.09,Danilo D'Ambrosio | Dany Mota | Pedro Pereira | Patrick Ciurria | Valentín Carboni | Matteo Pessina | Andrea Colpani | Michele Di Gregorio | Pablo Marí | Luca Caldirola | Roberto Gagliardini,Diego Coppola | Ondrej Duda | Giangiacomo Magnani | Jackson Tchatchoua | Michael Folorunsho | Darko Lazovic | Lorenzo Montipò | Cyril Ngonge | Milan Djuric | Pawel Dawidowicz | Tomás Suslov,5,7,4,1,2,3,2,2,19,15,1,1,0.12,1.18,-0.12,-0.18,1.0,0.79,0,0,0,-1,0.63,0.58,0.39,0.6,0.41,0.13,0.1,0.86,11,-6,11,0,0,2,-2,-15.64,-1.06,0.050000000000000044,-0.20999999999999996
ITA-Serie A,2324,2024-02-11 Bologna-Lecce,22535,2024-02-11 14:00:00,1,1,Bologna,Lecce,4,0,36,24,8,13,4,4,17,5,0,0,0,0,1,3,0,0,1,1,0,0,2,1,4,4,0,0,0,0,2,3,1,1,-11,5,2,2,0,0,0,1,3,1,0,0,78.0,68.18,Lukasz Skorupski | Joshua Zirkzee | Alexis Saelemaekers | Giovanni Fabbian | Jhon Lucumí | Remo Freuler | Sam Beukema | Riccardo Calafiori | Stefan Posch | Lewis Ferguson | Victor Kristiansen,Lameck Banda | Nikola Krstovic | Mohamed Kaba | Remi Oudin | Marin Pongracic | Antonino Gallo | Valentin Gendrey | Ylber Ramadani | Joan Gonzàlez | Wladimiro Falcone | Federico Baschirotto,10,9,1,1,0,1,5,1,15,14,1,1,0.89,2.48,3.11,0.52,0.76,0.71,1,2,3,3,1.12,1.19,0.7,0.83,-0.21,-0.12,-0.18,0.02,12,-5,12,0,0,0,1,9.819999999999993,-1.5899999999999999,-0.06999999999999984,-0.13
