LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ITA-Serie A,2425,2025-03-30 Fiorentina-Atalanta,27661,2025-03-30 14:00:00,1,1,Fiorentina,Atalanta,1,0,48,58,8,3,4,1,25,35,0,0,0,0,2,1,0,1,0,1,0,0,2,2,5,5,0,0,0,0,3,4,1,1,20,12,1,1,0,0,1,0,0,1,1,0,79.55,75.82,Luca Ranieri | Albert Gudmundsson | Dodô | Robin Gosens | Marin Pongracic | Lucas Beltrán | Moise Kean | Rolando Mandragora | Danilo Cataldi | Michael Folorunsho | David de Gea,Sead Kolasinac | Marco Carnesecchi | Isak Hien | Charles De Ketelaere | Éderson | Ademola Lookman | Raoul Bellanova | Marten de Roon | Mateo Retegui | Berat Gjimshiti | Davide Zappacosta,8,10,2,0,1,1,3,4,16,14,1,1,0.51,0.68,2.49,-0.68,0.63,0.69,0,0,0,0,0.7,1.98,0.52,1.11,0.1,-0.07,0.22,-0.1,-10,5,-10,0,0,0,-2,3.730000000000004,-0.17000000000000004,-1.28,-0.5900000000000001
ITA-Serie A,2425,2025-03-30 Inter-Udinese,27655,2025-03-30 17:00:00,1,1,Inter,Udinese,2,1,64,40,1,10,1,4,41,17,0,0,1,0,1,5,1,0,1,0,1,0,1,3,5,5,0,0,0,0,1,2,0,1,18,-20,4,3,0,0,2,2,1,1,1,0,57.27,67.91,Henrikh Mkhitaryan | Nicolò Barella | Alessandro Bastoni | Yann Sommer | Carlos Augusto | Denzel Dumfries | Lautaro Martínez | Francesco Acerbi | Hakan Calhanoglu | Marcus Thuram | Benjamin Pavard,Jaka Bijol | Martín Payero | Sandi Lovric | Hassane Kamara | Razvan Sava | Florian Thauvin | Thomas Thiesson Kristensen | Jesper Karlström | Lorenzo Lucca | Oumar Solet | Jurgen Ekkelenkamp,7,8,2,1,2,2,1,3,16,16,1,1,2.28,0.32,-0.28,-0.32,0.71,0.52,0,0,0,-1,1.2,0.99,0.87,0.62,0.2,-0.07,0.22,0.24,24,-9,24,0,1,1,-1,-10.639999999999993,1.9599999999999997,0.20999999999999996,0.25
ITA-Serie A,2425,2025-03-30 Napoli-AC Milan,27654,2025-03-30 19:45:00,1,1,Napoli,AC Milan,2,1,61,47,2,9,1,4,38,24,0,0,0,1,1,3,0,0,0,1,2,0,2,1,5,5,0,0,0,0,4,1,0,1,-4,-4,3,4,0,0,1,1,1,1,1,2,65.55,58.64,Alex Meret | Franck Zambo | Amir Rrahmani | Stanislav Lobotka | Romelu Lukaku | Matteo Politano | Juan Jesus | Scott McTominay | Giacomo Raspadori | Giovanni Di Lorenzo | Leonardo Spinazzola,Rafael Leão | Yunus Musah | Christian Pulisic | Matteo Gabbia | Santiago Giménez | Theo Hernández | Tijjani Reijnders | Strahinja Pavlovic | Youssouf Fofana | Malick Thiaw | Mike Maignan,7,7,2,3,2,1,3,1,11,15,1,1,1.27,1.73,-1.27,0.27,0.71,0.75,0,1,0,2,0.9,1.11,0.76,1.0,0.39,0.57,0.51,0.58,14,-7,14,0,-1,-1,0,6.909999999999997,-0.45999999999999996,-0.21000000000000008,-0.24
ITA-Serie A,2425,2025-03-31 Verona-Parma Calcio 1913,27660,2025-03-31 17:30:00,1,X,Verona,Parma Calcio 1913,0,0,29,25,15,16,4,4,6,2,0,0,0,0,2,3,0,0,0,1,0,1,1,3,3,5,0,0,0,0,2,1,1,1,23,7,2,3,0,0,3,1,2,3,0,1,71.36,62.27,Pawel Dawidowicz | Nicolás Valentini | Tomás Suslov | Domagoj Bradaric | Lorenzo Montipò | Diego Coppola | Ondrej Duda | Daniele Ghilardi | Jackson Tchatchoua | Amin Sarr | Cheikh Niasse,Emanuele Valeri | Matteo Cancellieri | Giovanni Leoni | Mandela Keita | Ange-Yoan Bonny | Enrico Del Prato | Simon Sohm | Zion Suzuki | Alessandro Vogliacco | Pontus Almqvist | Lautaro Valenti,9,9,0,1,2,1,2,4,15,16,1,1,0.54,0.62,0.46,0.38,0.8,0.47,0,1,2,1,0.68,0.81,0.49,0.7,0.05,0.04,-0.17,-0.06,4,-1,4,0,0,-1,0,9.089999999999996,-0.07999999999999996,-0.13,-0.20999999999999996
ITA-Serie A,2425,2025-03-31 Lazio-Torino,27656,2025-03-31 19:45:00,1,X,Lazio,Torino,1,1,51,38,8,11,4,4,28,15,0,0,0,0,3,1,0,0,1,0,0,0,2,1,5,4,0,0,0,0,2,1,1,1,-1,-21,3,1,0,0,2,0,1,1,0,1,59.55,79.91,Mattia Zaccagni | Valentín Castellanos | Ivan Provedel | Adam Marusic | Nuno Tavares | Nicolo Rovella | Boulaye Dia | Matteo Guendouzi | Gustav Isaksen | Mario Gila | Alessio Romagnoli,Guillermo Maripán | Sebastian Walukiewicz | Samuele Ricci | Cesare Casadei | Valentino Lazaro | Che Adams | Yann Karamoh | Saúl Coco | Vanja Milinkovic-Savic | Borna Sosa | Nikola Vlasic,8,9,1,2,2,0,0,3,14,12,1,1,0.61,0.7,-0.61,0.3,0.65,0.77,0,0,0,3,1.31,0.86,1.09,0.61,-0.12,0.1,0.36,-0.05,13,-3,13,0,0,2,-1,-20.36,-0.08999999999999997,0.45000000000000007,0.4800000000000001
ITA-Serie A,2425,2025-04-04 Genoa-Udinese,27667,2025-04-04 18:45:00,1,1,Genoa,Udinese,1,0,35,40,12,10,4,4,12,17,0,0,0,0,2,0,0,0,0,0,0,0,2,1,4,5,0,0,0,0,1,1,1,0,5,0,3,2,0,0,2,0,2,1,0,1,63.91,73.18,Morten Frendrup | Koni de Winter | Stefano Sabelli | Nicola Leali | Patrizio Masini | Morten Thorsby | Alessandro Zanoli | Fabio Miretti | Andrea Pinamonti | Johan Vásquez | Aarón Martín,Jaka Bijol | Arthur Atta | Sandi Lovric | Hassane Kamara | Razvan Sava | Florian Thauvin | Thomas Thiesson Kristensen | Jesper Karlström | Lorenzo Lucca | Oumar Solet | Jurgen Ekkelenkamp,10,7,1,2,0,2,2,2,18,15,1,1,0.26,1.34,-0.26,-0.34,0.65,0.72,0,0,0,0,0.7,0.98,0.72,0.47,0.16,0.01,0.2,0.32,-5,2,-5,0,0,1,3,-9.27000000000001,-1.08,-0.28,0.25
ITA-Serie A,2425,2025-04-05 Monza-Como,27663,2025-04-05 13:00:00,1,2,Monza,Como,1,3,15,30,20,13,5,4,-8,7,0,0,0,0,2,2,0,0,0,0,0,0,1,0,5,5,0,0,0,0,3,2,1,0,-11,0,1,4,0,0,0,1,1,1,0,2,78.45,64.18,Dany Mota | Stefano Turati | Danilo D'Ambrosio | Patrick Ciurria | Georgios Kyriakopoulos | Alessandro Bianco | Pedro Pereira | Keita | Andrea Carboni | Armando Izzo | Kacper Urbanski,Nico Paz | Máximo Perrone | Edoardo Goldaniga | Assane Diao | Lucas Da Cunha | Maxence Caqueret | Ivan Smolcic | Alberto Dossena | Jean Butez | Álex Valle | Gabriel Strefezza,9,7,2,4,0,0,3,3,12,16,1,1,0.96,1.94,-0.96,-0.94,0.81,0.81,0,1,0,1,0.44,1.15,0.53,0.62,0.01,-0.28,-0.05,-0.26,-15,7,-15,0,0,-3,2,14.269999999999996,-0.98,-0.71,-0.08999999999999997
ITA-Serie A,2425,2025-04-05 Parma Calcio 1913-Inter,27670,2025-04-05 16:00:00,1,X,Parma Calcio 1913,Inter,2,2,26,67,16,1,4,1,3,44,0,1,0,1,1,2,0,0,0,0,0,0,3,1,5,5,0,0,0,0,2,1,0,0,7,-11,1,4,0,0,1,2,1,1,1,1,78.09,56.09,Emanuele Valeri | Matteo Cancellieri | Mandela Keita | Ange-Yoan Bonny | Enrico Del Prato | Simon Sohm | Zion Suzuki | Alessandro Vogliacco | Pontus Almqvist | Dennis Man | Lautaro Valenti,Henrikh Mkhitaryan | Nicolò Barella | Alessandro Bastoni | Yann Sommer | Carlos Augusto | Denzel Dumfries | Lautaro Martínez | Francesco Acerbi | Marcus Thuram | Hakan Calhanoglu | Benjamin Pavard,10,7,0,2,1,2,3,1,15,17,1,1,0.5,2.6,-0.5,-0.6,0.79,0.85,0,0,0,0,0.86,1.14,0.69,1.19,-0.05,0.06,-0.08,0.27,-41,15,-41,-1,-1,-3,3,22.0,-2.1,-0.2799999999999999,-0.5
ITA-Serie A,2425,2025-04-05 AC Milan-Fiorentina,27669,2025-04-05 18:45:00,1,X,AC Milan,Fiorentina,2,2,47,51,9,8,4,4,24,28,0,0,1,0,1,0,0,0,1,0,0,1,0,2,5,5,0,0,0,0,2,3,0,0,1,-11,4,0,0,0,2,0,1,0,1,0,56.45,85.0,Rafael Leão | Yunus Musah | Kyle Walker | Christian Pulisic | Matteo Gabbia | Santiago Giménez | Theo Hernández | Tijjani Reijnders | Strahinja Pavlovic | Youssouf Fofana | Mike Maignan,Luca Ranieri | Albert Gudmundsson | Dodô | Robin Gosens | Marin Pongracic | Lucas Beltrán | Moise Kean | Rolando Mandragora | Danilo Cataldi | David de Gea | Nicolo Fagioli,8,9,3,1,0,1,1,3,17,14,1,1,2.26,2.1,-1.26,-1.1,0.67,0.84,1,0,0,0,1.25,0.87,1.09,0.54,-0.14,-0.17,0.41,0.17,-4,1,-4,0,1,4,-1,-28.549999999999997,0.1599999999999997,0.38,0.55
ITA-Serie A,2425,2025-04-06 Lecce-Venezia,27668,2025-04-06 10:30:00,1,X,Lecce,Venezia,1,1,25,20,17,19,4,5,2,-3,0,0,0,0,1,4,0,0,0,0,0,0,2,1,5,5,0,0,0,0,1,1,1,1,11,30,1,5,0,0,0,2,0,1,1,2,75.45,52.73,Gaby Jean | Thórir Helgason | Balthazar Pierret | Tete Morente | Federico Baschirotto | Antonino Gallo | Wladimiro Falcone | Santiago Pierotti | Frederic Guilbert | Lassana Coulibaly | Nikola Krstovic,Mikael Ellertsson | Fali Candé | Kike Pérez | Hans Nicolussi Caviglia | Ionut Radu | Gianluca Busio | Issa Doumbia | Alessio Zerbin | Joël Schingtienne | Gaetano Oristanio | Jay Idzes,9,7,2,3,0,1,0,4,14,14,1,1,0.69,0.74,-0.69,-0.74,0.48,0.73,0,0,-3,-1,0.76,0.65,0.6,0.47,0.04,-0.11,-0.03,-0.14,5,-2,5,0,0,-4,2,22.720000000000006,-0.050000000000000044,0.10999999999999999,0.13
