LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ITA-Serie A,2021,2020-10-02 Fiorentina-Sampdoria,15446,2020-10-02 18:45:00,1,2,Fiorentina,Sampdoria,1,2,3,0,9,18,4,5,3,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,4,4,0,0,0,0,1,1,0,0,-19,14,1,4,0,0,0,1,0,2,1,1,77.64,59.18,Giacomo Bonaventura | Gaetano Castrovilli | Federico Chiesa | Christian Kouamé | Alfred Duncan | Bartlomiej Dragowski | Cristiano Biraghi | Nikola Milenkovic | Federico Ceccherini | Martín Cáceres | Franck Ribéry,Federico Bonazzoli | Fabio Quagliarella | Bartosz Bereszynski | Emil Audero | Valerio Verre | Albin Ekdal | Jakub Jankto | Lorenzo Tonelli | Morten Thorsby | Omar Colley | Tommaso Augello,9,7,1,2,1,2,2,2,12,14,1,1,2.25,1.36,0.75,0.64,0.96,0.81,0,0,-3,-1,2.2,0.51,1.42,0.66,0.02,-0.08,-0.11,0.41,3,-9,3,0,0,-3,2,18.46,0.8899999999999999,1.6900000000000002,0.7599999999999999
ITA-Serie A,2021,2020-10-03 Sassuolo-Crotone,15447,2020-10-03 13:00:00,1,1,Sassuolo,Crotone,4,1,4,0,5,20,2,5,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,5,4,0,0,0,0,2,3,1,1,-11,2,2,2,0,0,1,1,1,2,0,1,78.64,74.64,Gianmarco Ferrari | Jeremy Toljan | Francesco Caputo | Pedro Obiang | Georgios Kyriakopoulos | Filip Djuricic | Vlad Chiriches | Domenico Berardi | Gregoire Defrel | Manuel Locatelli | Andrea Consigli,Alex Cordaz | Salvatore Molina | Niccolò Zanellato | Denis Dragus | Pedro Pereira | Lisandro Magallán | Simy | Vladimir Golemic | Junior Messias | Luca Marrone | Luca Cigarini,9,9,2,2,0,0,3,3,13,13,1,1,2.67,0.11,1.33,-0.11,0.69,0.76,0,0,0,0,2.13,0.37,1.29,0.64,-0.6,0.33,-0.03,0.03,4,-15,4,0,0,0,0,4.0,2.56,1.7599999999999998,0.65
ITA-Serie A,2021,2020-10-03 Udinese-Roma,15449,2020-10-03 18:45:00,1,2,Udinese,Roma,0,1,0,2,18,15,5,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,2,0,0,0,0,1,0,0,0,-7,-5,3,0,0,0,1,0,2,0,0,0,64.45,86.73,Rodrigo de Paul | Kevin Lasagna | Hidde ter Avest | Stefano Okaka | Samir | Tolgay Arslan | Rodrigo Becão | Marvin Zeegelaar | Mamadou Coulibaly | Juan Musso | Sebastien De Maio,Marash Kumbulla | Jordan Veretout | Lorenzo Pellegrini | Bryan Cristante | Amadou Diawara | Ibañez | Gianluca Mancini | Leonardo Spinazzola | Henrikh Mkhitaryan | Antonio Mirante | Pedro,9,9,2,2,0,0,1,3,12,14,1,1,1.87,2.82,-1.87,-0.82,0.75,0.54,0,0,0,-2,1.6,2.67,0.61,1.76,0.54,-0.93,0.1,-0.77,-2,3,-2,0,0,3,0,-22.28,-0.9499999999999997,-1.0699999999999998,-1.15
ITA-Serie A,2021,2020-10-04 Atalanta-Cagliari,15450,2020-10-04 10:30:00,1,1,Atalanta,Cagliari,5,2,6,1,3,16,1,4,6,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,4,0,0,0,22,3,2,0,0,1,2,3,1,1,0,64.82,70.64,Remo Freuler | Marco Sportiello | José Luis Palomino | Ruslan Malinovskiy | Rafael Toloi | Bosko Sutalo | Alejandro Gomez | Duván Zapata | Marten de Roon | Robin Gosens | Hans Hateboer,Giovanni Simeone | Sebastian Walukiewicz | Nahitan Nández | Ragnar Klavan | João Pedro | Alessio Cragno | Paolo Faragò | Riccardo Sottil | Charalampos Lykogiannis | Razvan Marin | Marko Rog,7,9,3,2,1,0,4,3,15,12,1,1,1.9,0.92,2.1,-0.92,0.76,0.67,0,0,0,0,2.14,0.86,0.94,0.45,0.04,0.1,-0.17,0.02,5,-13,5,0,0,1,-2,-5.820000000000007,0.9799999999999999,1.2800000000000002,0.48999999999999994
ITA-Serie A,2021,2020-10-04 Benevento-Bologna,15451,2020-10-04 13:00:00,1,1,Benevento,Bologna,1,0,3,3,13,9,4,4,3,3,0,0,0,0,1,1,0,0,0,1,1,0,0,0,5,5,1,0,0,0,0,2,0,0,-24,7,4,2,0,0,2,1,3,1,0,0,65.45,74.27,Pasquale Schiattarella | Gaetano Letizia | Daam Foulon | Gianluca Caprari | Artur Ionita | Kamil Glik | Gabriele Moncini | Luca Caldirola | Lorenzo Montipò | Roberto Insigne | Bryan Dabo,Jerdy Schouten | Danilo | Lukasz Skorupski | Andreas Skov Olsen | Musa Barrow | Aaron Hickey | Roberto Soriano | Lorenzo De Silvestri | Takehiro Tomiyasu | Mitchell Dijks | Rodrigo Palacio,9,9,2,1,0,1,4,3,13,14,1,1,1.26,2.05,0.74,1.95,0.73,0.89,1,1,0,0,0.81,0.88,0.46,0.8,0.48,-0.22,0.17,0.03,0,4,0,0,0,2,0,-8.819999999999993,-0.7899999999999998,-0.06999999999999995,-0.34
ITA-Serie A,2021,2020-10-04 Lazio-Inter,15452,2020-10-04 13:00:00,1,X,Lazio,Inter,1,1,3,6,13,5,4,2,3,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,1,1,0,-13,-13,1,4,0,0,0,1,0,2,1,1,70.27,58.73,Lucas Leiva | Francesco Acerbi | Manuel Lazzari | Sergej Milinkovic-Savic | Patric | Felipe Caicedo | Luis Alberto | Adam Marusic | Stefan Radu | Thomas Strakosha | Ciro Immobile,Alexis Sánchez | Lautaro Martínez | Romelu Lukaku | Samir Handanovic | Aleksandar Kolarov | Ivan Perisic | Milan Skriniar | Marcelo Brozovic | Achraf Hakimi | Ashley Young | Nicolò Barella,10,7,1,4,0,0,2,4,12,18,1,1,1.82,4.84,-0.82,0.16,0.81,0.8,0,1,0,0,1.47,2.81,0.97,2.36,0.55,-1.86,0.45,-0.28,-3,8,-3,0,0,-3,3,11.54,-3.0199999999999996,-1.34,-1.39
ITA-Serie A,2021,2020-10-04 Parma Calcio 1913-Verona,15453,2020-10-04 13:00:00,1,1,Parma Calcio 1913,Verona,1,0,0,4,19,9,5,4,0,4,0,0,0,0,2,1,1,0,1,0,0,1,0,0,5,3,0,1,0,0,4,1,1,0,-10,21,3,2,0,0,2,0,1,1,0,1,62.18,77.27,Bruno Alves | Simone Iacoponi | Juraj Kucka | Andreas Cornelius | Hernani | Luigi Sepe | Yann Karamoh | Gastón Brugman | Alberto Grassi | Giuseppe Pezzella | Matteo Darmian,Federico Dimarco | Mattia Zaccagni | Samuel Di Carmine | Marco Faraoni | Koray Günter | Antonin Barak | Adrien Tameze | Miguel Veloso | Marco Silvestri | Yildirim Mert Cetin | Matteo Lovato,7,9,4,0,0,2,2,2,15,14,1,1,1.24,1.35,-0.24,-0.35,0.57,0.6,0,1,0,3,0.71,1.13,0.55,1.0,-0.62,-0.33,-0.09,-0.42,-4,10,-4,0,0,1,-2,-15.089999999999996,-0.1100000000000001,-0.41999999999999993,-0.44999999999999996
ITA-Serie A,2021,2020-10-04 AC Milan-Spezia,15454,2020-10-04 16:00:00,1,1,AC Milan,Spezia,3,0,6,3,5,13,2,4,6,3,0,0,0,0,3,3,0,1,0,1,1,1,0,0,5,5,0,0,0,0,2,0,1,1,14,-26,3,5,0,1,0,3,2,1,2,0,64.09,49.36,Brahim Diaz | Davide Calabria | Theo Hernández | Ismael Bennacer | Ante Rebic | Gianluigi Donnarumma | Simon Kjaer | Matteo Gabbia | Alexis Saelemaekers | Hakan Calhanoglu | Franck Kessié,Tommaso Pobega | Matteo Ricci | Martin Erlic | Cristian Dell'Orco | Jeroen Zoet | Salvador Ferrer | Juan Ramos | Julian Chabot | Andrej Galabinov | Emmanuel Gyasi | Paolo Bartolomei,7,6,3,2,1,3,2,6,14,17,1,0,2.44,0.81,-0.44,1.19,0.57,0.87,0,1,0,0,1.25,0.92,0.36,1.26,-0.37,0.19,0.52,-0.02,3,-8,3,0,0,-2,1,14.730000000000004,1.63,0.32999999999999996,-0.9
ITA-Serie A,2021,2020-10-17 Napoli-Atalanta,15456,2020-10-17 13:00:00,1,1,Napoli,Atalanta,4,1,6,9,5,1,2,1,6,9,0,1,0,0,1,0,0,0,0,0,1,0,0,0,5,5,1,0,0,0,1,1,0,0,-40,18,3,3,1,0,0,3,1,1,1,0,59.64,59.0,Elseid Hysaj | Victor Osimhen | Giovanni Di Lorenzo | Fabián | Dries Mertens | Hirving Lozano | Lorenzo Insigne | Alex Meret | Piotr Zielinski | Kostas Manolas | Kalidou Koulibaly,Remo Freuler | Marco Sportiello | Mario Pasalic | José Luis Palomino | Rafael Toloi | Alejandro Gomez | Duván Zapata | Marten de Roon | Robin Gosens | Hans Hateboer | Luis Muriel,8,8,1,3,2,0,2,3,13,16,0,1,2.34,3.8,3.66,1.2,0.7,0.7,2,1,0,0,1.25,1.53,1.04,1.43,0.25,0.61,0.46,1.0,-3,4,-3,-1,0,0,0,0.6400000000000006,-1.46,-0.28,-0.3899999999999999
ITA-Serie A,2021,2020-10-17 Inter-AC Milan,15457,2020-10-17 16:00:00,1,2,Inter,AC Milan,1,2,7,9,5,2,2,1,7,9,1,0,0,0,4,1,1,0,1,0,0,0,0,0,5,5,0,0,0,0,3,1,1,1,16,-12,3,5,0,0,2,1,1,3,0,1,63.55,57.73,Lautaro Martínez | Romelu Lukaku | Samir Handanovic | Aleksandar Kolarov | Ivan Perisic | Milan Skriniar | Alessandro Bastoni | Stefan de Vrij | Achraf Hakimi | Ashley Young | Nicolò Barella,Brahim Diaz | Davide Calabria | Theo Hernández | Ismael Bennacer | Ante Rebic | Gianluigi Donnarumma | Simon Kjaer | Matteo Gabbia | Alexis Saelemaekers | Hakan Calhanoglu | Franck Kessié,8,8,0,1,3,2,5,2,18,17,0,1,0.72,2.65,0.28,0.35,0.53,0.66,0,2,0,0,2.12,3.14,1.07,1.17,0.69,-1.89,-0.46,-1.63,-2,3,-2,1,0,-2,0,5.82,-1.93,-1.02,-0.09999999999999987
