LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ENG-Premier League,2223,2022-08-13 Brighton-Newcastle United,18213,2022-08-13 14:00:00,1,X,Brighton,Newcastle United,0,0,3,3,6,5,3,2,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,2,2,0,0,-13,-8,0,1,0,0,1,1,1,0,0,0,87.73,80.55,Adam Lallana | Leandro Trossard | Solly March | Moisés Caicedo | Joël Veltman | Pascal Groß | Adam Webster | Robert Sánchez | Danny Welbeck | Alexis Mac Allister | Lewis Dunk,Joelinton | Callum Wilson | Dan Burn | Allan Saint-Maximin | Fabian Schär | Kieran Trippier | Joe Willock | Matt Targett | Bruno Guimarães | Nick Pope | Miguel Almirón,11,10,0,1,0,0,4,2,11,11,1,1,1.76,1.86,0.24,0.14,0.74,0.38,0,0,0,0,1.76,1.86,1.08,1.26,-1.76,-1.86,0.0,0.0,0,1,0,0,0,-1,1,7.180000000000007,-0.10000000000000009,-0.10000000000000009,-0.17999999999999994
ENG-Premier League,2223,2022-08-13 Arsenal-Leicester,18217,2022-08-13 14:00:00,1,1,Arsenal,Leicester,4,2,3,1,5,11,2,4,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,0,-6,-16,0,0,0,0,0,0,0,0,0,0,88.91,88.55,Ben White | William Saliba | Bukayo Saka | Oleksandr Zinchenko | Gabriel | Granit Xhaka | Aaron Ramsdale | Gabriel Martinelli | Thomas Partey | Gabriel Jesus | Martin Odegaard,Wesley Fofana | Jonny Evans | James Maddison | Timothy Castagne | James Justin | Jamie Vardy | Wilfred Ndidi | Kiernan Dewsbury-Hall | Daniel Amartey | Danny Ward | Youri Tielemans,11,11,0,0,0,0,0,0,11,11,1,1,1.5,0.46,0.5,1.54,0.74,0.66,0,0,2,-2,1.5,0.46,0.83,0.28,-1.5,-0.46,0.0,0.0,2,-6,2,0,0,0,0,0.35999999999999943,1.04,1.04,0.5499999999999999
ENG-Premier League,2223,2022-08-13 Wolverhampton Wanderers-Fulham,18216,2022-08-13 14:00:00,1,X,Wolverhampton Wanderers,Fulham,0,0,0,1,15,10,4,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,-3,-22,0,0,0,0,0,0,1,0,1,0,89.73,88.0,Rúben Neves | Leander Dendoncker | Nathan Collins | Jonny | Max Kilman | Morgan Gibbs-White | Rayan Ait Nouri | Pedro Neto | Daniel Podence | José Sá | Hee-Chan Hwang,Harrison Reed | Andreas Pereira | Tosin Adarabioyo | João Palhinha | Aleksandar Mitrovic | Bobby Reid | Tim Ream | Kenny Tete | Antonee Robinson | Neeskens Kebano | Marek Rodák,11,11,0,0,0,0,3,1,11,11,1,1,1.1,1.27,-0.1,0.73,0.64,0.44,0,0,-1,0,1.1,1.27,1.06,0.38,-1.1,-1.27,0.0,0.0,-1,5,-1,0,0,0,0,1.730000000000004,-0.16999999999999993,-0.16999999999999993,0.68
ENG-Premier League,2223,2022-08-13 Southampton-Leeds,18215,2022-08-13 14:00:00,1,X,Southampton,Leeds,2,2,0,3,20,6,5,3,0,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,5,4,0,0,0,0,1,3,0,1,-42,-23,4,0,0,0,1,0,1,0,2,0,59.64,85.91,Jan Bednarek | Mohammed Salisu | Oriol Romeu | James Ward-Prowse | Romeo Lavia | Moussa Djenepo | Yan Valery | Kyle Walker-Peters | Adam Armstrong | Joe Ayodele-Aribo | Gavin Bazunu,Robin Koch | Jack Harrison | Marc Roca | Rasmus Kristensen | Tyler Adams | Brenden Aaronson | Illan Meslier | Rodrigo | Diego Llorente | Pascal Struijk | Patrick Bamford,7,11,4,0,0,0,5,1,11,11,1,1,0.39,0.89,0.61,1.11,0.71,0.98,0,0,0,3,0.21,0.75,0.32,0.71,-0.21,-0.75,0.09,0.0,-3,14,-3,0,0,4,-4,-26.269999999999996,-0.5,-0.54,-0.38999999999999996
ENG-Premier League,2223,2022-08-13 Manchester City-Bournemouth,18214,2022-08-13 14:00:00,1,1,Manchester City,Bournemouth,4,0,3,3,5,3,2,1,3,3,0,0,0,0,1,3,0,0,0,0,0,1,0,0,5,3,0,0,0,0,2,2,0,1,-8,-15,1,3,0,0,0,1,0,2,1,0,80.45,65.45,Jack Grealish | Rodri | João Cancelo | Kevin De Bruyne | Nathan Aké | Erling Haaland | Phil Foden | Ilkay Gündogan | Kyle Walker | Rúben Dias | Ederson,Jordan Zemura | Lloyd Kelly | Mark Travers | Jefferson Lerma | Adam Smith | Philip Billing | Ben Pearson | Chris Mepham | Marcus Tavernier | Kieffer Moore | Dominic Solanke,10,8,1,1,0,2,0,3,11,11,1,1,2.59,0.59,-0.59,1.41,0.61,0.94,0,0,0,0,2.45,0.39,1.15,0.35,-2.45,-0.39,0.06,0.2,0,2,0,0,0,-2,2,15.0,2.0,2.06,0.7999999999999999
ENG-Premier League,2223,2022-08-13 Brentford-Manchester United,18218,2022-08-13 16:30:00,1,1,Brentford,Manchester United,4,0,1,0,11,16,4,4,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,1,0,1,-30,-35,2,1,0,0,1,0,1,1,0,1,69.0,81.82,Rico Henry | David Raya | Christian Nørgaard | Ben Mee | Vitaly Janelt | Mathias Jensen | Bryan Mbeumo | Aaron Hickey | Ivan Toney | Yoane Wissa | Pontus Jansson,Diogo Dalot | Jadon Sancho | Bruno Fernandes | Harry Maguire | Luke Shaw | David de Gea | Lisandro Martínez | Fred | Scott McTominay | Christian Eriksen | Marcus Rashford,9,10,2,1,0,0,1,3,11,11,1,1,0.93,1.43,1.07,-0.43,0.7,0.61,1,0,1,0,0.8,1.36,0.76,0.82,-0.8,-1.36,0.03,-0.03,1,-5,1,0,0,1,-1,-12.819999999999993,-0.4999999999999999,-0.56,-0.05999999999999994
ENG-Premier League,2223,2022-08-14 Nottingham Forest-West Ham,18219,2022-08-14 13:00:00,1,1,Nottingham Forest,West Ham,1,0,0,0,19,18,5,5,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,3,5,0,1,0,0,2,0,1,0,-25,-62,2,1,0,0,0,0,3,1,1,0,75.45,76.18,Moussa Niakhate | Jesse Lingard | Scott McKenna | Joe Worrall | Dean Henderson | Brennan Johnson | Sam Surridge | Neco Williams | Jack Colback | Lewis O'Brien | Harry Toffolo,Kurt Zouma | Aaron Cresswell | Declan Rice | Vladimir Coufal | Manuel Lanzini | Pablo Fornals | Michail Antonio | Tomas Soucek | Ben Johnson | Alphonse Areola | Jarrod Bowen,9,9,1,2,1,0,7,4,11,11,1,1,0.24,0.25,-0.24,-0.25,1.0,0.84,0,0,0,-1,0.12,0.23,0.09,0.15,-0.12,-0.23,0.12,-0.01,0,1,0,0,0,1,0,-0.730000000000004,-0.010000000000000009,-0.11000000000000001,-0.06
ENG-Premier League,2223,2022-08-14 Chelsea-Tottenham,18220,2022-08-14 15:30:00,1,X,Chelsea,Tottenham,2,2,3,3,8,7,4,4,3,3,0,0,0,0,2,3,0,0,0,0,0,0,0,0,5,5,0,0,0,0,2,4,0,1,-16,-22,2,0,0,0,2,0,2,0,0,0,73.09,87.36,Edouard Mendy | Kalidou Koulibaly | César Azpilicueta | N'Golo Kanté | Ben Chilwell | Raheem Sterling | Mason Mount | Jorginho | Kai Havertz | Reece James | Thiago Silva,Hugo Lloris | Ryan Sessegnon | Harry Kane | Dejan Kulusevski | Cristian Romero | Emerson | Son Heung-Min | Eric Dier | Pierre-Emile Højbjerg | Rodrigo Bentancur | Ben Davies,9,11,2,0,0,0,3,1,11,11,1,1,1.92,1.62,-0.92,2.38,0.58,0.56,0,0,2,0,1.76,1.6,0.79,1.47,-1.76,-1.6,0.0,0.0,0,1,0,0,0,2,-2,-14.269999999999996,0.2999999999999998,0.15999999999999992,-0.6799999999999999
ENG-Premier League,2223,2022-08-15 Liverpool-Crystal Palace,18221,2022-08-15 19:00:00,1,X,Liverpool,Crystal Palace,1,1,1,0,13,17,4,4,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4,4,0,0,0,0,1,3,0,0,-37,-31,4,1,0,0,1,1,2,1,1,0,63.09,80.0,Virgil van Dijk | Thiago Alcántara | Roberto Firmino | Luis Díaz | Trent Alexander-Arnold | Andrew Robertson | Jordan Henderson | Alisson | Fabinho | Joel Matip | Mohamed Salah,Vicente Guaita | Wilfried Zaha | Marc Guehi | Joachim Andersen | Odsonne Edouard | Jeffrey Schlupp | Eberechi Eze | Tyrick Mitchell | Cheick Oumar Doucoure | Jordan Ayew | Nathaniel Clyne,7,10,1,1,3,0,2,4,11,11,1,1,2.34,1.21,-0.34,-1.21,0.65,0.76,2,0,1,-1,2.24,0.63,1.06,1.01,-2.24,-0.63,-1.63,0.52,1,-4,1,0,0,3,-3,-16.909999999999997,1.13,1.6100000000000003,0.050000000000000044
ENG-Premier League,2223,2022-08-20 Tottenham-Wolverhampton Wanderers,18222,2022-08-20 11:30:00,1,1,Tottenham,Wolverhampton Wanderers,1,0,4,1,4,14,1,4,4,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,4,3,0,0,0,0,3,2,0,0,-8,-27,2,3,0,0,2,1,0,2,0,2,72.45,66.45,Hugo Lloris | Ryan Sessegnon | Harry Kane | Dejan Kulusevski | Cristian Romero | Emerson | Son Heung-Min | Eric Dier | Pierre-Emile Højbjerg | Rodrigo Bentancur | Ben Davies,Rúben Neves | Leander Dendoncker | Nathan Collins | Jonny | Max Kilman | Rayan Ait Nouri | Morgan Gibbs-White | Pedro Neto | Daniel Podence | José Sá | Hee-Chan Hwang,9,8,1,2,1,1,1,3,11,11,1,1,1.59,0.98,0.41,-0.98,0.77,0.9,1,0,1,0,1.14,0.39,1.49,0.66,0.46,0.71,0.43,0.65,3,-10,3,0,0,-1,1,6.0,0.6100000000000001,0.7499999999999999,0.83
