LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ENG-Premier League,2122,2021-11-28 Manchester City-West Ham,16504,2021-11-28 14:00:00,0,1,Manchester City,West Ham,2,1,26,23,3,4,1,1,17,14,1,1,0,0,1,1,0,0,0,0,0,0,1,1,3,3,0,0,0,0,1,0,0,0,-29,38,3,1,0,0,1,0,0,0,2,1,67.09,77.27,Rodri | João Cancelo | Gabriel Jesus | Ilkay Gündogan | Phil Foden | Bernardo Silva | Jack Grealish | Rúben Dias | Aymeric Laporte | Ederson | Kyle Walker,Declan Rice | Angelo Ogbonna | Said Benrahma | Vladimir Coufal | Aaron Cresswell | Tomas Soucek | Pablo Fornals | Lukasz Fabianski | Kurt Zouma | Michail Antonio | Jarrod Bowen,9,8,0,2,2,1,0,2,15,12,1,1,2.73,0.44,0.27,-0.44,0.5,0.95,0,0,0,0,1.9,1.19,1.32,0.8,-0.28,0.59,-0.04,0.36,3,-1,3,0,0,2,1,-10.179999999999993,2.29,0.71,0.52
ENG-Premier League,2122,2021-11-28 Leicester-Watford,16502,2021-11-28 14:00:00,0,1,Leicester,Watford,4,2,15,13,13,16,4,4,6,4,1,0,0,0,3,2,0,0,0,1,0,1,0,0,3,3,0,0,0,0,1,1,1,0,-24,2,2,3,0,1,1,1,1,2,0,1,68.64,68.36,Timothy Castagne | Wilfred Ndidi | Daniel Amartey | Caglar Söyüncü | James Maddison | Jonny Evans | Youri Tielemans | Harvey Barnes | Jamie Vardy | Boubakary Soumare | Kasper Schmeichel,Ismaila Sarr | William Troost-Ekong | Adam Masina | Danny Rose | Emmanuel Dennis | Moussa Sissoko | Craig Cathcart | Juraj Kucka | Joshua King | Kiko Femenía | Ben Foster,9,7,1,1,1,3,1,6,16,18,1,0,0.5,2.76,-0.5,1.24,0.98,0.56,0,1,0,0,1.1,0.75,0.33,0.94,-0.09,0.12,0.02,0.32,2,-3,2,1,0,-1,2,0.28000000000000114,-2.26,0.3500000000000001,-0.6099999999999999
ENG-Premier League,2122,2021-11-28 Brentford-Everton,16497,2021-11-28 14:00:00,0,1,Brentford,Everton,1,0,13,15,15,13,4,4,4,6,0,0,0,0,2,1,0,0,0,2,0,1,1,0,3,3,0,1,0,0,1,0,1,0,51,-45,2,3,0,0,1,0,1,2,0,1,76.82,74.36,David Raya | Bryan Mbeumo | Sergi Canos | Rico Henry | Ethan Pinnock | Pontus Jansson | Ivan Toney | Vitaly Janelt | Zanka | Christian Nørgaard | Mathias Jensen,Michael Keane | Demarai Gray | Abdoulaye Doucouré | Richarlison | Lucas Digne | Allan | Ben Godfrey | Andros Townsend | Seamus Coleman | Jordan Pickford | Salomón Rondón,8,9,1,1,2,1,0,1,15,14,1,1,1.23,0.27,1.77,-0.27,0.91,1.0,0,0,1,-1,1.51,0.82,1.27,0.87,-0.01,0.16,-0.04,0.27,-2,2,-2,0,0,-1,-1,2.4599999999999937,0.96,0.6900000000000001,0.4
ENG-Premier League,2122,2021-11-28 Chelsea-Manchester United,16500,2021-11-28 16:30:00,0,X,Chelsea,Manchester United,1,1,29,17,1,10,1,4,20,8,1,1,0,0,1,1,0,1,0,1,1,1,0,1,3,4,0,0,0,0,1,1,1,1,-11,2,4,3,0,0,1,2,2,1,1,0,59.55,58.0,N'Golo Kanté | Edouard Mendy | Andreas Christensen | Callum Hudson-Odoi | Jorginho | Kai Havertz | Thiago Silva | Mateo Kovacic | Ben Chilwell | Antonio Rüdiger | Romelu Lukaku,Harry Maguire | Mason Greenwood | Victor Lindelöf | Raphael Varane | Bruno Fernandes | Luke Shaw | Aaron Wan-Bissaka | Fred | Cristiano Ronaldo | Scott McTominay | David de Gea,5,6,3,2,3,3,4,2,14,16,1,1,2.59,1.67,0.41,-0.67,0.63,0.72,2,1,0,0,1.35,0.51,1.28,0.7,0.02,0.62,0.37,0.65,12,-9,12,0,0,1,-1,1.5499999999999972,0.9199999999999999,0.8400000000000001,0.5800000000000001
ENG-Premier League,2122,2021-11-30 Newcastle United-Norwich,16513,2021-11-30 19:30:00,0,X,Newcastle United,Norwich,1,1,6,9,20,19,5,5,-3,0,0,0,0,0,3,2,0,0,2,0,0,1,1,0,3,3,0,1,0,0,0,1,1,1,-3,-13,3,2,0,0,3,0,0,2,0,0,63.73,78.73,Javier Manquillo | Allan Saint-Maximin | Joe Willock | Karl Darlow | Joelinton | Isaac Hayden | Sean Longstaff | Matt Ritchie | Callum Wilson | Jamaal Lascelles | Ciaran Clark,Ben Gibson | Grant Hanley | Mathias Normann | Kenny McLean | Joshua Sargent | Max Aarons | Teemu Pukki | Brandon Williams | Tim Krul | Milot Rashica | Ozan Kabak,6,8,3,1,2,2,3,6,16,15,0,1,0.19,1.4,-0.19,-1.4,0.54,0.82,0,0,0,0,0.97,0.68,0.56,0.48,0.08,0.13,0.11,0.15,-3,1,-3,0,0,1,-2,-15.000000000000007,-1.21,0.2899999999999999,0.08000000000000007
ENG-Premier League,2122,2021-11-30 Leeds-Crystal Palace,16508,2021-11-30 20:15:00,0,1,Leeds,Crystal Palace,1,0,12,16,17,12,4,4,2,6,0,0,0,0,3,3,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,1,0,1,-13,3,3,3,0,0,2,0,4,1,1,2,67.73,65.55,Jack Harrison | Rodrigo | Liam Cooper | Jamie Shackleton | Diego Llorente | Raphinha | Illan Meslier | Daniel James | Pascal Struijk | Stuart Dallas | Kalvin Phillips,Joachim Andersen | James McArthur | Cheikhou Kouyaté | Christian Benteke | Marc Guehi | Vicente Guaita | Wilfried Zaha | Odsonne Edouard | Tyrick Mitchell | Conor Gallagher | Joel Ward,8,8,3,1,0,2,5,1,14,15,1,1,0.87,0.96,-0.87,0.04,0.77,0.7,0,0,1,0,0.93,1.15,0.7,0.84,0.15,0.15,0.05,0.25,-4,5,-4,0,0,0,0,2.180000000000007,-0.08999999999999997,-0.21999999999999986,-0.14
ENG-Premier League,2122,2021-12-01 Southampton-Leicester,16514,2021-12-01 19:30:00,0,X,Southampton,Leicester,2,2,14,18,16,10,4,4,4,8,0,1,0,0,1,0,0,0,0,0,0,0,1,0,3,2,0,0,0,0,0,1,0,0,-10,29,3,0,0,0,1,0,2,0,0,0,65.55,88.82,Valentino Livramento | Oriol Romeu | Kyle Walker-Peters | Alex McCarthy | Mohammed Salisu | Che Adams | James Ward-Prowse | Mohamed Elyounoussi | Nathan Redmond | Jan Bednarek | Adam Armstrong,Timothy Castagne | Wilfred Ndidi | Ademola Lookman | Caglar Söyüncü | James Maddison | Jonny Evans | Youri Tielemans | Harvey Barnes | Jamie Vardy | Boubakary Soumare | Kasper Schmeichel,10,10,1,0,0,1,1,2,15,15,1,1,1.06,2.42,-1.06,1.58,0.91,0.55,0,0,0,0,0.85,1.22,0.92,0.52,0.01,-0.12,0.3,0.13,-4,6,-4,-1,0,3,0,-23.269999999999996,-1.3599999999999999,-0.37,0.4
ENG-Premier League,2122,2021-12-01 Watford-Chelsea,16509,2021-12-01 19:30:00,0,2,Watford,Chelsea,1,2,13,30,17,1,4,1,3,20,0,0,0,0,0,2,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,3,0,0,-19,14,1,6,0,0,0,2,2,3,1,1,76.45,42.0,Ismaila Sarr | William Troost-Ekong | Adam Masina | Danny Rose | Emmanuel Dennis | Moussa Sissoko | Craig Cathcart | Juraj Kucka | Joshua King | Kiko Femenía | Ben Foster,Edouard Mendy | Andreas Christensen | Callum Hudson-Odoi | Trevoh Chalobah | Jorginho | Thiago Silva | Mateo Kovacic | Kai Havertz | Ben Chilwell | Reece James | Antonio Rüdiger,7,5,2,3,2,3,6,2,17,17,1,1,2.39,2.35,-0.39,-1.35,0.54,0.49,0,0,0,-2,0.93,1.4,0.94,0.92,-0.18,-0.05,0.32,0.06,-17,16,-17,0,0,-5,2,34.45,0.040000000000000036,-0.46999999999999986,0.019999999999999907
ENG-Premier League,2122,2021-12-01 West Ham-Brighton,16510,2021-12-01 19:30:00,0,X,West Ham,Brighton,1,1,23,18,4,10,1,4,13,8,0,0,0,0,0,1,0,0,0,0,1,0,1,2,3,3,0,0,0,0,0,2,0,1,0,4,2,2,0,0,1,0,1,1,2,1,74.91,71.82,Declan Rice | Angelo Ogbonna | Said Benrahma | Ben Johnson | Pablo Fornals | Aaron Cresswell | Tomas Soucek | Lukasz Fabianski | Kurt Zouma | Michail Antonio | Jarrod Bowen,Lewis Dunk | Robert Sánchez | Shane Duffy | Leandro Trossard | Pascal Groß | Marc Cucurella | Jakub Moder | Joël Veltman | Neal Maupay | Yves Bissouma | Adam Lallana,9,9,0,2,2,0,2,2,13,16,1,1,0.17,1.97,0.83,-1.97,0.83,0.86,1,0,0,-2,1.35,0.77,0.96,0.53,-0.16,0.01,0.01,0.11,5,-6,5,0,0,0,0,3.0900000000000034,-1.8,0.5800000000000001,0.42999999999999994
ENG-Premier League,2122,2021-12-01 Wolverhampton Wanderers-Burnley,16511,2021-12-01 19:30:00,0,X,Wolverhampton Wanderers,Burnley,0,0,20,9,6,19,3,5,10,-1,0,0,0,0,2,2,0,0,1,2,0,0,0,1,3,2,0,0,0,0,1,2,0,0,-6,19,2,2,0,0,0,1,1,1,1,0,75.45,72.55,José Sá | Romain Saiss | Rúben Neves | Trincão | Raúl Jiménez | Rayan Ait Nouri | Max Kilman | Hee-Chan Hwang | João Moutinho | Conor Coady | Nélson Semedo,Chris Wood | Ashley Westwood | Josh Brownhill | Charlie Taylor | Ben Mee | Dwight McNeil | Johann Berg Gudmundsson | Maxwel Cornet | James Tarkowski | Matthew Lowton | Nick Pope,9,9,1,0,1,2,1,0,12,11,1,1,0.3,1.04,-0.3,1.96,0.83,0.73,0,0,1,1,1.01,1.05,0.67,0.84,0.4,0.06,0.23,0.07,11,-13,11,0,0,0,0,2.9000000000000057,-0.74,-0.040000000000000036,-0.16999999999999993
