LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ENG-Premier League,2425,2025-02-02 Manchester United-Crystal Palace,26838,2025-02-02 14:00:00,1,2,Manchester United,Crystal Palace,0,2,29,27,12,14,4,4,12,10,1,0,0,0,1,2,0,0,0,0,1,1,1,2,5,3,0,0,0,0,3,2,1,1,-7,3,2,1,0,0,1,0,0,1,3,0,74.55,79.55,André Onana | Harry Maguire | Kobbie Mainoo | Diogo Dalot | Noussair Mazraoui | Manuel Ugarte | Matthijs de Ligt | Amad Diallo Traore | Bruno Fernandes | Rasmus Højlund | Lisandro Martínez,Jefferson Lerma | Daniel Muñoz | Jean-Philippe Mateta | Ismaila Sarr | Dean Henderson | Will Hughes | Maxence Lacroix | Eberechi Eze | Tyrick Mitchell | Chris Richards | Marc Guehi,9,10,2,1,0,0,4,0,14,12,1,1,0.2,1.23,0.8,-0.23,1.0,0.81,0,1,3,0,1.14,1.36,0.68,1.2,0.1,0.25,-0.12,0.17,2,-2,2,1,0,1,-1,-5.0,-1.03,-0.2200000000000002,-0.5199999999999999
ENG-Premier League,2425,2025-02-02 Brentford-Tottenham,26834,2025-02-02 14:00:00,1,2,Brentford,Tottenham,0,2,31,24,11,16,4,4,14,7,0,1,0,0,2,1,0,0,0,0,2,0,2,0,3,3,0,0,0,0,1,0,0,0,-13,-1,2,3,1,0,1,1,0,2,0,1,69.82,65.45,Sepp van den Berg | Vitaly Janelt | Mads Roerslev | Kevin Schade | Mikkel Damsgaard | Christian Nørgaard | Yoane Wissa | Keane Lewis-Potter | Bryan Mbeumo | Mark Flekken | Nathan Collins,Fraser Forster | Pedro Porro | Dejan Kulusevski | Son Heung-Min | Djed Spence | Brennan Johnson | Dominic Solanke | Radu Dragusin | Pape Sarr | Lucas Bergvall | Archie Gray,9,5,0,2,2,4,1,3,13,15,0,1,1.92,1.28,0.08,-0.28,0.8,0.7,0,0,0,-3,1.69,0.98,1.14,1.05,-0.03,0.08,-0.06,0.6,7,-5,7,-1,0,-1,4,4.36999999999999,0.6399999999999999,0.71,0.08999999999999986
ENG-Premier League,2425,2025-02-02 Arsenal-Manchester City,26833,2025-02-02 16:30:00,1,1,Arsenal,Manchester City,5,1,47,41,2,4,1,1,30,24,1,1,0,0,1,3,1,0,0,0,0,0,1,0,2,2,1,0,0,0,0,1,1,0,-42,-8,1,3,0,1,0,1,1,1,0,1,77.45,67.27,David Raya | William Saliba | Declan Rice | Thomas Partey | Gabriel Martinelli | Kai Havertz | Myles Lewis-Skelly | Jurriën Timber | Martin Odegaard | Gabriel | Leandro Trossard,Stefan Ortega Moreno | Mateo Kovacic | Josko Gvardiol | Kevin De Bruyne | Erling Haaland | Rico Lewis | Phil Foden | Bernardo Silva | Ilkay Gündogan | Manuel Akanji | Sávio,11,8,0,3,0,0,1,3,14,17,1,0,0.89,2.36,0.11,0.64,0.87,0.5,1,0,0,0,1.75,2.0,1.45,1.43,-0.11,-0.44,0.0,-0.03,6,-2,6,0,0,-2,3,10.180000000000007,-1.4699999999999998,-0.25,0.020000000000000018
ENG-Premier League,2425,2025-02-03 Chelsea-West Ham,26835,2025-02-03 20:00:00,1,1,Chelsea,West Ham,2,1,40,27,6,15,3,4,23,10,0,0,1,0,2,3,0,0,0,0,0,0,0,0,3,4,0,0,0,0,2,2,1,0,-6,37,2,2,1,0,1,0,0,1,0,1,68.45,72.64,Jadon Sancho | Enzo Fernández | Tosin Adarabioyo | Cole Palmer | Nicolas Jackson | Malo Gusto | Noni Madueke | Levi Colwill | Marc Cucurella | Moisés Caicedo | Robert Sánchez,Tomas Soucek | Max Kilman | Emerson | Jarrod Bowen | Aaron Wan-Bissaka | Mohammed Kudus | Lucas Paquetá | Konstantinos Mavropanos | Edson Álvarez | Lukasz Fabianski | Carlos Soler,9,7,2,2,0,2,1,4,16,14,0,1,1.5,1.68,-0.5,-0.68,0.78,0.72,0,0,0,1,2.13,0.92,1.2,0.71,0.18,-0.04,0.02,0.28,13,-9,13,0,1,0,2,-4.189999999999998,-0.17999999999999994,1.21,0.49
ENG-Premier League,2425,2025-02-12 Everton-Liverpool,26748,2025-02-12 19:30:00,1,X,Everton,Liverpool,2,2,26,56,16,1,4,1,9,39,0,0,1,1,0,3,0,0,0,0,0,1,2,2,4,4,0,0,0,0,2,2,0,1,69,-9,0,1,0,0,0,1,0,0,0,0,89.0,79.64,Vitalii Mykolenko | Jarrad Branthwaite | Idrissa Gueye | Orel Mangala | Dominic Calvert-Lewin | Ashley Young | Iliman Ndiaye | Jordan Pickford | Jesper Lindstrom | Abdoulaye Doucouré | James Tarkowski,Mohamed Salah | Andrew Robertson | Virgil van Dijk | Curtis Jones | Dominik Szoboszlai | Ryan Gravenberch | Trent Alexander-Arnold | Luis Díaz | Alexis Mac Allister | Alisson | Cody Gakpo,8,9,1,2,2,0,0,2,13,12,1,1,3.11,2.72,0.89,-0.72,0.51,0.65,0,1,0,0,0.87,2.48,0.74,1.61,-0.23,0.11,0.14,0.06,-30,15,-30,0,0,-1,-1,9.36,0.3899999999999997,-1.6099999999999999,-0.8700000000000001
ENG-Premier League,2425,2025-02-14 Brighton-Chelsea,26843,2025-02-14 20:00:00,1,1,Brighton,Chelsea,3,0,34,43,10,4,4,1,17,26,0,0,0,0,3,3,0,0,0,0,1,0,3,2,4,5,0,0,0,0,1,0,0,1,-3,-8,2,4,0,0,2,2,1,0,0,2,65.18,62.91,Carlos Baleba | Bart Verbruggen | Lewis Dunk | Georginio Rutter | Yasin Ayari | Jan Paul van Hecke | Joël Veltman | João Pedro | Tariq Lamptey | Estupiñán | Kaoru Mitoma,Jadon Sancho | Enzo Fernández | Tosin Adarabioyo | Cole Palmer | Nicolas Jackson | Noni Madueke | Marc Cucurella | Levi Colwill | Moisés Caicedo | Robert Sánchez | Pedro Neto,7,7,2,3,2,1,3,3,15,15,1,1,0.76,1.42,-0.76,0.58,0.77,0.49,0,1,0,3,0.84,1.71,0.47,1.25,0.23,0.42,-0.15,0.36,-9,6,-9,0,0,-2,0,2.2700000000000102,-0.6599999999999999,-0.87,-0.78
ENG-Premier League,2425,2025-02-15 Leicester-Arsenal,26846,2025-02-15 12:30:00,1,2,Leicester,Arsenal,0,2,17,50,18,2,5,1,0,33,0,0,0,0,0,2,0,0,0,0,0,1,2,0,4,4,0,0,0,0,2,2,0,0,-12,43,2,2,0,0,1,0,1,0,0,2,72.18,73.27,Jannik Vestergaard | James Justin | Jakub Stolarczyk | Harry Winks | Conor Coady | Victor Kristiansen | Bilal El Khannouss | Stephy Mavididi | Jamie Vardy | Jordan Ayew | Boubakary Soumare,David Raya | William Saliba | Declan Rice | Thomas Partey | Gabriel Martinelli | Kai Havertz | Myles Lewis-Skelly | Jurriën Timber | Martin Odegaard | Gabriel | Leandro Trossard,6,9,5,0,0,2,3,1,13,13,1,1,0.45,1.53,-0.45,3.47,0.81,0.81,0,1,0,0,1.04,1.08,0.57,1.21,-0.02,0.67,-0.04,0.64,-33,16,-33,0,0,0,-3,-1.0899999999999892,-1.08,-0.040000000000000036,-0.64
ENG-Premier League,2425,2025-02-15 West Ham-Brentford,26851,2025-02-15 15:00:00,1,2,West Ham,Brentford,0,1,27,31,16,11,4,4,10,14,0,0,0,0,1,0,0,0,0,0,1,0,0,2,5,3,0,0,0,0,3,2,1,0,-10,14,3,1,0,1,1,0,1,0,2,0,64.45,78.36,Tomas Soucek | Max Kilman | Jarrod Bowen | Aaron Wan-Bissaka | Mohammed Kudus | Emerson | Lucas Paquetá | Konstantinos Mavropanos | Edson Álvarez | Lukasz Fabianski | Carlos Soler,Sepp van den Berg | Vitaly Janelt | Mads Roerslev | Kevin Schade | Mikkel Damsgaard | Christian Nørgaard | Yoane Wissa | Keane Lewis-Potter | Bryan Mbeumo | Mark Flekken | Nathan Collins,10,10,0,0,1,1,2,1,16,14,1,0,1.19,1.67,-0.19,-1.67,0.69,0.7,0,0,-3,-3,1.26,1.71,0.83,1.23,-0.34,-0.02,0.0,-0.03,-4,5,-4,0,0,2,0,-13.909999999999997,-0.48,-0.44999999999999996,-0.4
ENG-Premier League,2425,2025-02-15 Southampton-Bournemouth,26849,2025-02-15 15:00:00,1,2,Southampton,Bournemouth,1,3,9,40,20,7,5,4,-8,23,0,0,0,0,3,2,0,0,0,0,1,1,0,2,5,2,0,0,0,0,2,1,1,0,-14,-12,3,0,0,0,1,0,3,0,1,0,69.27,87.82,Chimuanya Ugochukwu | Tyler Dibling | Joe Ayodele-Aribo | Aaron Ramsdale | James Bree | Nathan Wood | Jan Bednarek | Adam Armstrong | Mateus Fernandes | Kyle Walker-Peters | Taylor Harwood-Bellis,Dean Huijsen | Lewis Cook | Tyler Adams | Ryan Christie | Kepa | Justin Kluivert | Dango Ouattara | Illia Zabarnyi | Milos Kerkez | Antoine Semenyo | David Brooks,7,11,3,0,1,0,3,3,17,11,1,1,1.22,1.66,0.78,-1.66,0.81,0.62,0,0,3,0,0.8,1.87,0.51,1.31,-0.07,0.18,-0.03,0.0,-31,13,-31,0,0,3,-4,-18.549999999999997,-0.43999999999999995,-1.07,-0.8
ENG-Premier League,2425,2025-02-15 Manchester City-Newcastle United,26848,2025-02-15 15:00:00,1,1,Manchester City,Newcastle United,4,0,41,41,7,6,4,3,24,24,1,0,0,0,0,4,0,0,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,0,17,-15,5,2,1,0,2,1,3,1,1,0,46.0,77.82,Stefan Ortega Moreno | Mateo Kovacic | Josko Gvardiol | Kevin De Bruyne | Erling Haaland | Matheus Nunes | Phil Foden | Bernardo Silva | Ilkay Gündogan | Manuel Akanji | Sávio,Sandro Tonali | Anthony Gordon | Joelinton | Martin Dubravka | Bruno Guimarães | Alexander Isak | Fabian Schär | Dan Burn | Lewis Hall | Valentino Livramento | Jacob Murphy,5,9,5,1,1,1,4,1,17,12,0,1,0.74,1.23,0.26,-0.23,1.0,0.71,0,0,-1,-1,1.63,2.13,0.82,1.59,0.37,0.16,0.19,0.15,0,1,0,1,0,3,-4,-31.819999999999993,-0.49,-0.5,-0.7700000000000001
