LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ENG-Premier League,2021,2021-01-19 Leicester-Chelsea,14609,2021-01-19 20:15:00,0,1,Leicester,Chelsea,2,0,35,29,3,8,1,4,23,17,0,0,1,1,2,3,0,0,0,0,0,0,1,0,3,3,0,0,0,0,1,2,1,1,-29,0,0,4,0,0,0,1,2,1,0,2,85.82,60.73,Youri Tielemans | Wesley Fofana | Harvey Barnes | James Maddison | Jamie Vardy | James Justin | Christian Fuchs | Kasper Schmeichel | Wilfred Ndidi | Marc Albrighton | Jonny Evans,Mateo Kovacic | N'Golo Kanté | Ben Chilwell | Reece James | Christian Pulisic | Edouard Mendy | Thiago Silva | Mason Mount | Timo Werner | Tammy Abraham | Kurt Zouma,10,8,0,2,1,1,4,2,18,16,1,1,2.12,1.38,-0.12,-0.38,0.61,0.62,0,0,0,0,1.22,1.16,0.82,1.06,0.02,0.35,-0.06,0.31,6,-5,6,0,0,-4,2,25.089999999999996,0.7400000000000002,0.06000000000000005,-0.2400000000000001
ENG-Premier League,2021,2021-01-20 Manchester City-Aston Villa,14089,2021-01-20 20:00:00,0,1,Manchester City,Aston Villa,2,0,35,26,3,11,1,4,23,14,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,2,0,0,0,0,0,2,0,0,-7,-4,3,1,0,0,1,0,1,1,1,1,63.82,80.91,John Stones | Gabriel Jesus | Rúben Dias | Raheem Sterling | Kevin De Bruyne | João Cancelo | Kyle Walker | Ilkay Gündogan | Rodri | Bernardo Silva | Ederson,Tyrone Mings | Emiliano Martinez | Douglas Luiz | Ezri Konsa Ngoyo | Bertrand Traoré | John McGinn | Anwar El Ghazi | Ollie Watkins | Matt Targett | Matthew Cash | Jack Grealish,10,10,1,1,0,0,2,2,16,12,1,1,0.97,1.56,3.03,-0.56,0.93,0.84,0,0,0,0,1.77,1.53,1.45,1.35,0.08,0.38,0.03,0.31,9,-8,9,0,1,2,0,-17.089999999999996,-0.5900000000000001,0.24,0.09999999999999987
ENG-Premier League,2021,2021-01-20 Fulham-Manchester United,14607,2021-01-20 20:15:00,0,2,Fulham,Manchester United,1,2,12,37,18,3,5,1,0,25,0,0,1,1,2,1,1,0,2,0,0,0,0,3,3,2,1,0,0,0,3,1,0,0,-25,-23,2,3,0,0,1,1,2,1,0,2,72.73,65.45,Joachim Andersen | Harrison Reed | Ivan Cavaleiro | Ademola Lookman | Antonee Robinson | Ruben Loftus-Cheek | Ola Aina | Tosin Adarabioyo | Alphonse Areola | Franck Zambo | Bobby Reid,Bruno Fernandes | Paul Pogba | Aaron Wan-Bissaka | Fred | Marcus Rashford | David de Gea | Luke Shaw | Anthony Martial | Harry Maguire | Scott McTominay | Victor Lindelöf,9,8,0,2,2,1,4,2,12,14,1,1,0.46,1.19,-0.46,-1.19,0.73,0.94,0,0,-1,1,0.95,1.59,0.57,1.23,0.13,0.15,0.14,0.06,-25,15,-25,0,0,-1,1,7.280000000000001,-0.73,-0.6400000000000001,-0.66
ENG-Premier League,2021,2021-01-21 Liverpool-Burnley,14613,2021-01-21 20:00:00,0,2,Liverpool,Burnley,0,1,34,16,4,17,1,4,22,4,0,0,1,1,2,1,0,0,0,0,0,0,0,1,3,3,0,0,0,0,3,0,0,1,15,-22,3,2,0,0,1,1,0,1,2,0,64.55,73.64,Joel Matip | Roberto Firmino | Mohamed Salah | Fabinho | Curtis Jones | Sadio Mané | Jordan Henderson | Trent Alexander-Arnold | Georginio Wijnaldum | Andrew Robertson | Alisson,Ashley Westwood | Matthew Lowton | Robbie Brady | Dwight McNeil | Chris Wood | Ben Mee | Josh Brownhill | James Tarkowski | Ashley Barnes | Charlie Taylor | Nick Pope,7,11,3,0,1,0,1,0,15,12,1,1,1.21,0.4,-1.21,-0.4,0.59,0.65,0,0,1,0,0.61,0.75,0.99,0.65,0.89,0.08,0.98,0.0,18,-13,18,0,0,1,-4,-9.090000000000003,0.8099999999999999,-0.14,0.33999999999999997
ENG-Premier League,2021,2021-01-23 Aston Villa-Newcastle United,14535,2021-01-23 20:00:00,0,1,Aston Villa,Newcastle United,2,0,26,19,11,15,4,4,14,7,0,0,0,0,2,0,0,0,1,0,1,0,1,1,3,3,0,0,0,0,1,2,1,0,-10,25,1,4,0,0,0,3,1,1,0,0,77.0,56.18,Tyrone Mings | Emiliano Martinez | Douglas Luiz | Ezri Konsa Ngoyo | Bertrand Traoré | John McGinn | Anwar El Ghazi | Ollie Watkins | Matt Targett | Matthew Cash | Jack Grealish,Ciaran Clark | DeAndre Yedlin | Karl Darlow | Joelinton | Miguel Almirón | Matt Ritchie | Jamal Lewis | Sean Longstaff | Isaac Hayden | Federico Fernández | Callum Wilson,9,5,1,3,1,3,2,2,13,20,1,1,0.6,0.17,-0.6,-0.17,0.87,0.79,0,0,0,0,1.31,0.8,1.23,0.34,0.22,0.05,0.34,0.01,7,-4,7,0,0,-3,4,20.82,0.42999999999999994,0.51,0.8899999999999999
ENG-Premier League,2021,2021-01-26 Crystal Palace-West Ham,14634,2021-01-26 18:00:00,0,2,Crystal Palace,West Ham,2,3,23,32,13,7,4,4,11,20,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,0,1,1,0,0,-13,-5,3,1,0,0,1,0,0,1,2,1,62.64,81.45,Christian Benteke | Joel Ward | Patrick van Aanholt | Vicente Guaita | Cheikhou Kouyaté | Jeffrey Schlupp | Wilfried Zaha | Luka Milivojevic | Andros Townsend | Eberechi Eze | James McArthur,Fabián Balbuena | Tomas Soucek | Lukasz Fabianski | Pablo Fornals | Said Benrahma | Declan Rice | Sébastien Haller | Aaron Cresswell | Angelo Ogbonna | Vladimir Coufal | Jarrod Bowen,9,9,1,1,1,1,2,1,15,14,1,1,0.05,2.18,-0.05,-0.18,1.0,0.66,0,1,0,2,0.67,1.28,0.67,0.81,-0.37,-0.16,0.24,-0.11,-9,6,-9,0,-1,2,0,-18.810000000000002,-2.1300000000000003,-0.61,-0.14
ENG-Premier League,2021,2021-01-26 Newcastle United-Leeds,14631,2021-01-26 18:00:00,0,2,Newcastle United,Leeds,1,2,19,23,16,12,4,4,7,11,0,0,0,0,3,1,0,0,0,0,0,0,1,0,3,3,0,0,0,0,1,1,0,0,4,2,2,3,0,1,0,1,2,2,0,0,74.55,60.0,Ciaran Clark | Karl Darlow | Joelinton | Miguel Almirón | Jonjo Shelvey | Matt Ritchie | Jamal Lewis | Sean Longstaff | Isaac Hayden | Federico Fernández | Callum Wilson,Mateusz Klich | Illan Meslier | Luke Ayling | Raphinha | Kalvin Phillips | Rodrigo | Patrick Bamford | Ezgjan Alioski | Liam Cooper | Jack Harrison | Stuart Dallas,6,10,3,1,2,0,4,2,20,13,1,0,0.4,0.25,-0.4,-0.25,0.73,0.92,0,0,0,0,0.64,1.53,0.38,0.96,0.16,0.23,0.02,0.15,-4,4,-4,0,0,-1,-4,14.549999999999997,0.15000000000000002,-0.89,-0.58
ENG-Premier League,2021,2021-01-26 West Bromwich Albion-Manchester City,14629,2021-01-26 20:15:00,0,2,West Bromwich Albion,Manchester City,0,5,11,38,19,2,5,1,-1,26,0,0,0,1,1,0,0,0,0,0,0,2,0,0,2,3,0,1,0,0,1,0,0,0,2,-34,3,2,0,0,1,1,2,1,0,1,66.36,79.36,Romaine Sawyers | Kieran Gibbs | Sam Johnstone | Grady Diangana | Conor Gallagher | Darnell Furlong | Dara O'Shea | Matt Phillips | Callum Robinson | Karlan Grant | Semi Ajayi,John Stones | Gabriel Jesus | Rúben Dias | Raheem Sterling | Kevin De Bruyne | João Cancelo | Kyle Walker | Ilkay Gündogan | Rodri | Bernardo Silva | Ederson,8,8,2,2,1,1,3,2,17,15,1,1,0.46,3.71,0.54,-1.71,0.96,0.56,0,0,0,0,0.59,1.76,0.34,1.2,0.08,0.01,-0.07,0.26,-27,17,-27,0,-1,1,0,-13.0,-3.25,-1.17,-0.8599999999999999
ENG-Premier League,2021,2021-01-26 Southampton-Arsenal,14632,2021-01-26 20:15:00,0,2,Southampton,Arsenal,1,3,29,27,10,11,4,4,17,15,0,0,1,1,2,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,1,2,1,0,32,1,3,2,0,0,2,1,1,0,1,1,64.0,70.82,Jan Bednarek | Jannik Vestergaard | Oriol Romeu | Ryan Bertrand | Kyle Walker-Peters | Alex McCarthy | James Ward-Prowse | Danny Ings | Stuart Armstrong | Che Adams | Theo Walcott,Héctor Bellerín | Bukayo Saka | Pierre-Emerick Aubameyang | Emile Smith-Rowe | Rob Holding | Bernd Leno | Granit Xhaka | Alexandre Lacazette | Mohamed Elneny | Dani Ceballos | Kieran Tierney,7,7,0,1,4,3,0,2,15,15,1,1,0.38,2.33,-0.38,0.67,0.65,0.62,0,0,0,0,0.86,1.14,0.58,1.0,-0.35,0.21,-0.01,0.2,2,-1,2,0,0,1,0,-6.819999999999993,-1.9500000000000002,-0.2799999999999999,-0.42000000000000004
ENG-Premier League,2021,2021-01-27 Burnley-Aston Villa,14626,2021-01-27 18:00:00,0,1,Burnley,Aston Villa,3,2,19,29,15,10,4,4,7,17,0,0,1,0,1,0,0,0,0,0,1,0,1,1,2,3,0,0,0,0,0,2,0,0,3,12,2,1,0,0,1,0,0,1,1,0,75.09,80.36,Ashley Westwood | Matthew Lowton | Robbie Brady | Dwight McNeil | Chris Wood | Ben Mee | Josh Brownhill | James Tarkowski | Ashley Barnes | Charlie Taylor | Nick Pope,Tyrone Mings | Emiliano Martinez | Douglas Luiz | Ezri Konsa Ngoyo | Bertrand Traoré | John McGinn | Anwar El Ghazi | Ollie Watkins | Matt Targett | Matthew Cash | Jack Grealish,9,10,0,1,2,0,0,2,13,13,1,1,1.08,2.66,-0.08,-0.66,0.65,0.74,0,0,2,0,0.56,1.36,0.62,1.26,0.19,-0.05,0.17,0.22,-10,5,-10,0,1,1,-1,-5.269999999999996,-1.58,-0.8,-0.64
