LIGA,TEMPORADA,PARTIDO,GAMEID,DATE,RULE5SUBS,RESULTADO,HOMETEAM,AWAYTEAM,HOMEGOALS,AWAYGOALS,HOMETEAMPOINTS,AWAYTEAMPOINTS,HOMEPOSITION,AWAYPOSITION,HOMESITUACION,AWAYSITUACION,HOMEDIST_DESCENSO,AWAYDIST_DESCENSO,HOMEEUROPA,AWAYEUROPA,HOMENATIONALCUP,AWAYNATIONALCUP,HOME_YELLOW_PREV,AWAY_YELLOW_PREV,HOME_RED_PREV,AWAY_RED_PREV,HOME_PREV_SUSPENDED,AWAY_PREV_SUSPENDED,HOME_SUBS_INJURY,AWAY_SUBS_INJURY,HOME_YELLOW_ACCUM,AWAY_YELLOW_ACCUM,HOME_TOTAL_SUBS,AWAY_TOTAL_SUBS,HOME_EARLY_SUBS_U45,AWAY_EARLY_SUBS_U45,HOME_HT_SUBS,AWAY_HT_SUBS,HOME_LATE_SUBS_O75,AWAY_LATE_SUBS_O75,HOME_SUBS_AFTER_CARD,AWAY_SUBS_AFTER_CARD,HOME_REACTION_TIME,AWAY_REACTION_TIME,HOME_CHURN_STARTERS,AWAY_CHURN_STARTERS,HOME_ROTATION_GK,AWAY_ROTATION_GK,HOME_ROTATION_DF,AWAY_ROTATION_DF,HOME_ROTATION_MID,AWAY_ROTATION_MID,HOME_ROTATION_FW,AWAY_ROTATION_FW,HOME_FATIGUE_LOAD,AWAY_FATIGUE_LOAD,HOME_IDEAL_11_MINS,AWAY_IDEAL_11_MINS,HOME_FIDELIDAD_IDEAL,AWAY_FIDELIDAD_IDEAL,HOME_BENCHED_IDEAL,AWAY_BENCHED_IDEAL,HOME_ABSENT_IDEAL,AWAY_ABSENT_IDEAL,HOME_POS_SKEW_IDEAL,AWAY_POS_SKEW_IDEAL,HOME_TURNOVER_3J,AWAY_TURNOVER_3J,HOME_DEF_STABILITY,AWAY_DEF_STABILITY,HOME_TEAM_XG_ACC,AWAY_TEAM_XG_ACC,HOME_LUCK_RATIO,AWAY_LUCK_RATIO,HOME_CREATIVE_DEP,AWAY_CREATIVE_DEP,HOME_SUB_CONTRIB,AWAY_SUB_CONTRIB,HOME_POINTS_SAVED,AWAY_POINTS_SAVED,HOME_STARTING_XG_POWER,AWAY_STARTING_XG_POWER,HOME_STARTING_XA_POWER,AWAY_STARTING_XA_POWER,HOME_POWER_DROP_PREV,AWAY_POWER_DROP_PREV,HOME_POWER_DROP_IDEAL,AWAY_POWER_DROP_IDEAL,DIFF_POINTS,DIFF_POSITION,DIFF_DESCENSO,DIFF_EUROPA,DIFF_CUP,DIFF_CHURN,DIFF_FIDELIDAD,DIFF_FATIGUE,DIFF_XG,DIFF_XG_POWER,DIFF_XA_POWER
ENG-Premier League,2324,2024-04-06 Brighton-Arsenal,22206,2024-04-06 16:30:00,1,2,Brighton,Arsenal,0,3,43,68,9,3,4,1,18,43,0,1,0,0,1,1,0,0,0,0,0,0,2,0,4,5,0,0,0,0,3,2,0,1,-7,3,5,4,0,0,2,0,1,2,2,2,52.45,56.27,Simon Adingra | Evan Ferguson | Jan Paul van Hecke | Bart Verbruggen | Pascal Groß | Facundo Buonanotte | Billy Gilmour | Tariq Lamptey | Estupiñán | Lewis Dunk | Danny Welbeck,Martin Odegaard | Declan Rice | Bukayo Saka | Jakub Kiwior | Leandro Trossard | Ben White | William Saliba | David Raya | Kai Havertz | Gabriel | Gabriel Martinelli,8,8,1,3,2,0,1,2,17,17,1,1,1.24,1.19,-1.24,0.81,0.62,0.65,0,0,0,0,1.11,1.81,0.99,1.38,0.16,-0.61,0.07,0.32,-25,6,-25,-1,0,1,0,-3.8200000000000003,0.050000000000000044,-0.7,-0.3899999999999999
ENG-Premier League,2324,2024-04-07 Manchester United-Liverpool,22211,2024-04-07 14:30:00,1,X,Manchester United,Liverpool,2,2,48,70,6,2,3,1,23,45,0,1,0,0,0,0,0,0,0,0,0,0,5,0,5,4,0,0,0,0,1,2,0,0,4,-23,2,3,0,0,1,2,0,1,1,0,74.45,64.27,Raphael Varane | Marcus Rashford | Bruno Fernandes | Diogo Dalot | Rasmus Højlund | Scott McTominay | Kobbie Mainoo | Harry Maguire | Casemiro | André Onana | Alejandro Garnacho,Luis Díaz | Ibrahima Konaté | Wataru Endo | Conor Bradley | Alexis Mac Allister | Darwin Núñez | Joseph Gomez | Harvey Elliott | Curtis Jones | Virgil van Dijk | Caoimhin Kelleher,9,7,0,4,2,0,2,2,15,14,1,1,1.57,2.52,1.43,0.48,0.59,0.54,0,2,-1,0,1.67,2.57,1.1,1.69,-0.26,-0.02,0.2,-0.58,-22,4,-22,-1,0,-1,2,10.180000000000007,-0.95,-0.8999999999999999,-0.5899999999999999
ENG-Premier League,2324,2024-04-07 Sheffield United-Chelsea,22212,2024-04-07 16:30:00,1,X,Sheffield United,Chelsea,2,2,15,43,20,9,5,4,-10,18,0,0,0,0,1,2,0,0,0,0,0,0,2,2,5,5,0,0,0,0,1,4,0,0,-20,7,2,3,0,0,0,2,1,1,1,2,72.91,64.27,Ivo Grbic | Vinicius Souza | Ben Brereton Díaz | Jack Robinson | James McAtee | Auston Trusty | Wes Foderingham | Anel Ahmedhodzic | Jayden Bogle | Gustavo Hamer | Ben Osborn,Nicolas Jackson | Moisés Caicedo | Enzo Fernández | Thiago Silva | Raheem Sterling | Djordje Petrovic | Malo Gusto | Conor Gallagher | Axel Disasi | Cole Palmer | Ben Chilwell,8,8,3,1,0,2,3,0,15,13,1,1,0.72,3.48,0.28,0.52,0.95,0.69,0,0,0,0,1.15,1.72,0.67,1.28,0.09,0.08,-0.18,0.19,-28,11,-28,0,0,-1,0,8.64,-2.76,-0.5700000000000001,-0.61
ENG-Premier League,2324,2024-04-07 Tottenham-Nottingham Forest,22213,2024-04-07 19:00:00,1,1,Tottenham,Nottingham Forest,3,1,57,29,5,17,2,4,32,4,0,0,0,0,4,0,0,0,0,0,0,0,0,1,5,4,0,0,0,0,2,3,1,1,23,25,1,0,0,0,0,0,1,0,0,0,80.73,86.82,Iyenoma Destiny Udogie | Guglielmo Vicario | Timo Werner | Pedro Porro | Brennan Johnson | Yves Bissouma | Micky van de Ven | Cristian Romero | Dejan Kulusevski | Son Heung-Min | James Maddison,Murillo | Ryan Yates | Nicolás Domínguez | Anthony Elanga | Andrew Omobamidele | Matz Sels | Morgan Gibbs-White | Danilo | Neco Williams | Harry Toffolo | Callum Hudson-Odoi,10,9,1,2,0,0,2,4,14,16,1,1,1.39,1.95,-0.39,1.05,0.7,0.71,0,0,0,0,1.63,1.18,1.43,0.93,0.0,-0.15,0.08,-0.3,28,-12,28,0,0,1,1,-6.089999999999989,-0.56,0.44999999999999996,0.4999999999999999
ENG-Premier League,2324,2024-04-13 Newcastle United-Tottenham,22222,2024-04-13 11:30:00,1,1,Newcastle United,Tottenham,4,0,47,60,8,4,4,1,22,35,0,0,0,0,2,2,0,0,0,0,1,0,1,0,4,5,1,0,0,0,0,2,0,0,-36,-23,2,1,0,0,1,0,1,1,1,0,78.27,79.82,Fabian Schär | Sean Longstaff | Martin Dubravka | Sven Botman | Bruno Guimarães | Kieran Trippier | Jacob Murphy | Anthony Gordon | Lewis Miley | Alexander Isak | Dan Burn,Iyenoma Destiny Udogie | Guglielmo Vicario | Timo Werner | Pedro Porro | Brennan Johnson | Yves Bissouma | Micky van de Ven | Cristian Romero | Dejan Kulusevski | Son Heung-Min | James Maddison,8,10,1,1,2,0,1,2,15,14,1,1,1.21,1.62,-0.21,1.38,0.64,0.71,0,1,2,3,2.07,1.62,1.02,1.42,-0.19,0.01,-0.11,0.12,-13,4,-13,0,0,1,-2,-1.5499999999999972,-0.41000000000000014,0.44999999999999973,-0.3999999999999999
ENG-Premier League,2324,2024-04-13 Brentford-Sheffield United,22217,2024-04-13 14:00:00,1,1,Brentford,Sheffield United,2,0,29,16,16,20,4,5,4,-9,0,0,0,0,2,4,0,0,0,0,1,0,1,3,5,3,0,0,0,0,5,2,0,1,11,13,1,1,0,0,0,1,0,0,1,0,79.36,80.73,Kristoffer Ajer | Sergio Reguilón | Mads Roerslev | Zanka | Nathan Collins | Ivan Toney | Yoane Wissa | Mathias Jensen | Mark Flekken | Vitaly Janelt | Christian Nørgaard,Ivo Grbic | Vinicius Souza | Ben Brereton Díaz | Jack Robinson | James McAtee | Mason Holgate | Auston Trusty | Anel Ahmedhodzic | Jayden Bogle | Gustavo Hamer | Ben Osborn,8,8,1,2,2,1,2,1,14,13,1,1,1.44,1.74,1.56,0.26,0.93,0.63,0,1,-2,1,1.15,1.16,0.88,0.74,-0.12,-0.01,0.09,-0.11,13,-4,13,0,0,0,0,-1.3700000000000045,-0.30000000000000004,-0.010000000000000009,0.14
ENG-Premier League,2324,2024-04-13 Burnley-Brighton,22218,2024-04-13 14:00:00,1,X,Burnley,Brighton,1,1,19,43,19,10,5,4,-6,18,0,0,0,0,1,1,1,0,1,0,0,0,0,2,5,3,0,0,0,0,3,1,0,1,-13,3,2,2,0,0,2,1,0,0,0,1,71.45,73.0,Vitinho | David Datro Fofana | Josh Cullen | Jacob Bruun Larsen | Wilson Odobert | Charlie Taylor | Dara O'Shea | Sander Berge | James Trafford | Maxime Estève | Lorenz Assignon,Simon Adingra | Jan Paul van Hecke | Bart Verbruggen | Pascal Groß | Facundo Buonanotte | Carlos Baleba | Billy Gilmour | Tariq Lamptey | Estupiñán | Lewis Dunk | Danny Welbeck,8,8,2,1,1,2,3,2,13,16,1,1,0.35,0.43,-0.35,-0.43,1.0,0.6,0,0,0,0,0.98,1.27,0.71,0.84,-0.02,-0.16,-0.13,-0.24,-24,9,-24,0,0,0,0,-1.5499999999999972,-0.08000000000000002,-0.29000000000000004,-0.13
ENG-Premier League,2324,2024-04-13 Manchester City-Luton,22221,2024-04-13 14:00:00,1,1,Manchester City,Luton,5,1,70,25,3,18,1,5,45,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,4,3,0,0,0,0,2,1,1,0,-31,6,5,2,1,0,2,2,2,1,2,0,50.27,73.0,Bernardo Silva | John Stones | Kevin De Bruyne | Nathan Aké | Rúben Dias | Rodri | Phil Foden | Manuel Akanji | Ederson | Erling Haaland | Julián Álvarez,Ross Barkley | Chiedozie Ogbene | Tahith Chong | Issa Kabore | Reece Burke | Teden Mengi | Andros Townsend | Thomas Kaminski | Jordan Clark | Carlton Morris | Alfie Doughty,6,8,4,0,1,3,3,2,17,14,0,1,2.26,1.31,1.74,0.69,0.72,0.67,0,2,0,0,1.58,1.12,1.45,0.78,0.3,-0.06,0.53,0.24,45,-15,45,1,0,3,-2,-22.729999999999997,0.9499999999999997,0.45999999999999996,0.6699999999999999
ENG-Premier League,2324,2024-04-13 Nottingham Forest-Wolverhampton Wanderers,22223,2024-04-13 14:00:00,1,X,Nottingham Forest,Wolverhampton Wanderers,2,2,29,42,17,11,4,4,4,17,0,0,0,0,4,5,0,0,0,0,0,1,2,0,5,5,0,0,0,0,2,4,1,1,-2,-15,1,1,0,0,0,0,0,2,1,1,77.82,82.36,Murillo | Ryan Yates | Nicolás Domínguez | Anthony Elanga | Andrew Omobamidele | Morgan Gibbs-White | Matz Sels | Danilo | Neco Williams | Chris Wood | Callum Hudson-Odoi,Tommy Doyle | Max Kilman | Nélson Semedo | Toti | Craig Dawson | Mario Lemina | Pablo Sarabia | João Gomes | Rayan Ait Nouri | José Sá | Pedro Neto,9,8,1,1,1,2,3,6,14,13,1,1,2.06,1.78,-1.06,-0.78,0.8,0.85,0,0,-1,-3,1.03,1.25,0.82,0.72,0.15,-0.33,0.36,-0.03,-13,6,-13,0,0,0,1,-4.540000000000006,0.28,-0.21999999999999997,0.09999999999999998
ENG-Premier League,2324,2024-04-13 Bournemouth-Manchester United,22215,2024-04-13 16:30:00,1,X,Bournemouth,Manchester United,2,2,41,49,12,7,4,4,16,24,0,0,0,0,0,5,0,0,0,0,1,1,6,3,5,3,0,0,0,0,1,2,0,1,13,17,3,0,0,0,1,0,0,0,2,0,66.27,87.0,Illia Zabarnyi | Dominic Solanke | Justin Kluivert | Ryan Christie | Lloyd Kelly | Marcus Tavernier | Neto | Lewis Cook | Antoine Semenyo | Milos Kerkez | Adam Smith,Raphael Varane | Marcus Rashford | Bruno Fernandes | Diogo Dalot | Rasmus Højlund | Victor Lindelöf | Kobbie Mainoo | Harry Maguire | Casemiro | André Onana | Alejandro Garnacho,8,9,1,0,2,2,0,0,16,15,1,1,0.62,0.81,0.38,1.19,0.65,0.74,0,0,0,-2,1.23,1.66,0.86,1.12,0.26,0.01,0.2,0.05,-8,5,-8,0,0,3,-1,-20.730000000000004,-0.19000000000000006,-0.42999999999999994,-0.2600000000000001
ENG-Premier League,2324,2024-04-14 Liverpool-Crystal Palace,22220,2024-04-14 13:00:00,1,2,Liverpool,Crystal Palace,0,1,71,30,3,17,1,4,46,5,1,0,0,0,2,1,0,0,0,0,0,0,0,1,4,5,0,0,0,0,0,4,0,1,4,-6,3,2,1,0,1,1,1,0,0,1,61.91,71.18,Luis Díaz | Ibrahima Konaté | Wataru Endo | Conor Bradley | Alexis Mac Allister | Darwin Núñez | Joseph Gomez | Virgil van Dijk | Jarell Quansah | Andrew Robertson | Caoimhin Kelleher,Adam Wharton | Dean Henderson | Daniel Muñoz | Chris Richards | Jordan Ayew | Eberechi Eze | Joachim Andersen | Joel Ward | Tyrick Mitchell | Jean-Philippe Mateta | Jefferson Lerma,8,8,3,2,0,1,4,2,14,12,0,1,4.46,1.49,-2.46,0.51,0.53,0.74,0,2,1,0,2.75,1.2,1.87,0.97,-0.18,-0.2,-0.87,-0.13,41,-14,41,1,0,1,0,-9.27000000000001,2.9699999999999998,1.55,0.9000000000000001
ENG-Premier League,2324,2024-04-14 West Ham-Fulham,22224,2024-04-14 13:00:00,1,2,West Ham,Fulham,0,2,48,39,8,13,4,4,23,14,1,0,0,0,2,1,0,0,0,0,1,0,1,1,3,5,0,0,0,0,0,0,0,1,-42,38,3,1,0,0,1,0,1,1,1,0,65.45,80.0,Vladimir Coufal | Konstantinos Mavropanos | Mohammed Kudus | James Ward-Prowse | Edson Álvarez | Jarrod Bowen | Lucas Paquetá | Tomas Soucek | Emerson | Alphonse Areola | Kurt Zouma,Willian | Andreas Pereira | Rodrigo Muniz | Calvin Bassey | João Palhinha | Sasa Lukic | Antonee Robinson | Alex Iwobi | Timothy Castagne | Bernd Leno | Tosin Adarabioyo,7,11,2,0,2,0,0,1,13,14,1,1,1.14,0.84,0.86,-0.84,0.84,0.37,0,0,3,0,0.98,1.33,0.8,0.8,0.16,0.02,0.09,0.0,9,-5,9,1,0,2,-4,-14.549999999999997,0.29999999999999993,-0.3500000000000001,0.0
ENG-Premier League,2324,2024-04-14 Arsenal-Aston Villa,22216,2024-04-14 15:30:00,1,2,Arsenal,Aston Villa,0,2,71,60,2,4,1,1,46,35,1,1,0,0,2,2,0,0,0,1,0,0,1,3,5,4,0,0,0,0,1,0,1,0,0,3,1,2,0,0,0,0,1,0,1,2,79.09,73.73,Jorginho | Martin Odegaard | Declan Rice | Bukayo Saka | Jakub Kiwior | Ben White | William Saliba | David Raya | Kai Havertz | Gabriel | Gabriel Martinelli,Emiliano Martinez | Youri Tielemans | Douglas Luiz | Clement Lenglet | Ezri Konsa Ngoyo | Álex Moreno | Pau Torres | Ollie Watkins | Matthew Cash | John McGinn | Leon Bailey,8,6,3,4,0,1,2,3,16,18,1,1,4.17,1.17,-1.17,1.83,0.42,0.78,1,0,0,1,2.14,1.37,1.51,0.86,-0.33,0.18,-0.18,0.22,11,-2,11,0,0,-1,2,5.359999999999999,3.0,0.77,0.65
ENG-Premier League,2324,2024-04-15 Chelsea-Everton,22219,2024-04-15 19:00:00,1,1,Chelsea,Everton,6,0,44,35,9,14,4,4,19,10,0,0,1,0,2,2,0,0,0,0,0,0,2,2,4,2,0,0,0,0,2,2,0,0,0,22,2,2,0,0,1,0,1,1,1,1,72.36,73.64,Nicolas Jackson | Moisés Caicedo | Enzo Fernández | Thiago Silva | Conor Gallagher | Raheem Sterling | Djordje Petrovic | Malo Gusto | Cole Palmer | Axel Disasi | Ben Chilwell,Dwight McNeil | Dominic Calvert-Lewin | Abdoulaye Doucouré | James Tarkowski | Ben Godfrey | Ashley Young | Jarrad Branthwaite | Jack Harrison | Vitalii Mykolenko | James Garner | Jordan Pickford,7,8,1,2,3,1,0,1,14,16,1,1,0.52,0.66,1.48,0.34,0.82,0.7,0,0,-2,0,1.74,1.04,1.51,0.91,-0.02,0.09,0.09,0.29,9,-5,9,0,1,0,-1,-1.2800000000000011,-0.14,0.7,0.6
